genia tagger: 7249['nghs', [2313, 2317]]
['nghs', [2558, 2562]]
['nghs', [4398, 4402]]
['nghs', [4718, 4722]]
['nghs', [4852, 4856]]
['nghs', [5235, 5239]]
['nghs', [5376, 5380]]
['nghs', [6108, 6112]]
['nghs', [6459, 6463]]
['nghs', [6644, 6648]]
['nghs', [7718, 7722]]
['nghs', [9562, 9566]]
['nghs', [9848, 9852]]
['nghs', [11117, 11121]]
['nghs', [15589, 15593]]
['nghs', [15834, 15838]]
['nghs', [17674, 17678]]
['nghs', [17994, 17998]]
['nghs', [18128, 18132]]
['nghs', [18511, 18515]]
['nghs', [18652, 18656]]
['nghs', [19384, 19388]]
['nghs', [19735, 19739]]
['nghs', [19920, 19924]]
['nghs', [20995, 20999]]
['nghs', [22839, 22843]]
['nghs', [23125, 23129]]
['nghs', [24306, 24310]]
['nghs', [26151, 26155]]
['nghs', [26437, 26441]]
['nghs', [27707, 27711]]
['nghs', [30483, 30487]]
['nghs', [47791, 47795]]
['cardiovascular', [2485, 2499]]
['cardiovascular', [2686, 2700]]
['cardiovascular', [15761, 15775]]
['cardiovascular', [15962, 15976]]
['disease', [2500, 2507]]
['disease', [2701, 2708]]
['disease', [15776, 15783]]
['disease', [15977, 15984]]
['disease', [52284, 52291]]
['risk', [2508, 2512]]
['risk', [2669, 2673]]
['risk', [15784, 15788]]
['risk', [15945, 15949]]
['risk', [46667, 46671]]
['risk', [49399, 49403]]
['risk', [51805, 51809]]
['factors', [2513, 2520]]
['factors', [2674, 2681]]
['factors', [15789, 15796]]
['factors', [15950, 15957]]
['black', [455, 460]]
['black', [1017, 1022]]
['black', [1241, 1246]]
['black', [1549, 1554]]
['black', [2403, 2408]]
['black', [2724, 2729]]
['black', [4315, 4320]]
['black', [6688, 6693]]
['black', [6969, 6974]]
['black', [15679, 15684]]
['black', [16000, 16005]]
['black', [17591, 17596]]
['black', [19964, 19969]]
['black', [20245, 20250]]
['black', [35076, 35081]]
['black', [35340, 35345]]
['black', [35455, 35460]]
['black', [35731, 35736]]
['black', [35844, 35849]]
['black', [35906, 35911]]
['black', [35996, 36001]]
['black', [36026, 36031]]
['black', [36285, 36290]]
['black', [36581, 36586]]
['black', [36733, 36738]]
['black', [36928, 36933]]
['black', [37084, 37089]]
['black', [37403, 37408]]
['black', [37700, 37705]]
['black', [37740, 37745]]
['black', [37767, 37772]]
['black', [38017, 38022]]
['black', [38136, 38141]]
['black', [38712, 38717]]
['black', [39458, 39463]]
['black', [40041, 40046]]
['black', [40427, 40432]]
['black', [40691, 40696]]
['black', [40806, 40811]]
['black', [41082, 41087]]
['black', [41195, 41200]]
['black', [41257, 41262]]
['black', [41347, 41352]]
['black', [41377, 41382]]
['black', [41636, 41641]]
['black', [41932, 41937]]
['black', [42084, 42089]]
['black', [42279, 42284]]
['black', [42435, 42440]]
['black', [42754, 42759]]
['black', [43051, 43056]]
['black', [43091, 43096]]
['black', [43118, 43123]]
['black', [43368, 43373]]
['black', [43487, 43492]]
['black', [44063, 44068]]
['black', [44809, 44814]]
['black', [45392, 45397]]
['black', [45846, 45851]]
['black', [46158, 46163]]
['black', [46469, 46474]]
['black', [47146, 47151]]
['black', [47362, 47367]]
['black', [47905, 47910]]
['black', [48712, 48717]]
['black', [48931, 48936]]
['black', [49079, 49084]]
['black', [49121, 49126]]
['black', [49568, 49573]]
['black', [49872, 49877]]
['black', [50452, 50457]]
['black', [50836, 50841]]
['black', [52566, 52571]]
['black', [53972, 53977]]
['black', [55392, 55397]]
['black', [56054, 56059]]
['black', [57226, 57231]]
['black', [58796, 58801]]
['black', [59065, 59070]]
['black', [59354, 59359]]
['black', [59629, 59634]]
['black', [59918, 59923]]
['black', [60209, 60214]]
['black', [60561, 60566]]
['black', [61097, 61102]]
['black', [61145, 61150]]
['black', [61192, 61197]]
['black', [61238, 61243]]
['black', [61860, 61865]]
['girls', [444, 449]]
['girls', [1040, 1045]]
['girls', [2419, 2424]]
['girls', [2730, 2735]]
['girls', [2746, 2751]]
['girls', [3879, 3884]]
['girls', [4036, 4041]]
['girls', [4303, 4308]]
['girls', [4389, 4394]]
['girls', [4492, 4497]]
['girls', [4675, 4680]]
['girls', [6009, 6014]]
['girls', [6501, 6506]]
['girls', [6708, 6713]]
['girls', [6741, 6746]]
['girls', [6798, 6803]]
['girls', [9122, 9127]]
['girls', [10017, 10022]]
['girls', [10221, 10226]]
['girls', [10517, 10522]]
['girls', [10624, 10629]]
['girls', [11026, 11031]]
['girls', [11455, 11460]]
['girls', [12293, 12298]]
['girls', [13016, 13021]]
['girls', [13326, 13331]]
['girls', [15695, 15700]]
['girls', [16006, 16011]]
['girls', [16022, 16027]]
['girls', [17155, 17160]]
['girls', [17312, 17317]]
['girls', [17579, 17584]]
['girls', [17665, 17670]]
['girls', [17768, 17773]]
['girls', [17951, 17956]]
['girls', [19285, 19290]]
['girls', [19777, 19782]]
['girls', [19984, 19989]]
['girls', [20017, 20022]]
['girls', [20074, 20079]]
['girls', [22399, 22404]]
['girls', [23294, 23299]]
['girls', [23498, 23503]]
['girls', [25711, 25716]]
['girls', [26606, 26611]]
['girls', [26810, 26815]]
['girls', [27107, 27112]]
['girls', [27214, 27219]]
['girls', [27616, 27621]]
['girls', [28045, 28050]]
['girls', [28883, 28888]]
['girls', [29606, 29611]]
