genia tagger: 383['\xe2\x80\x9cnetwork', [882, 892]]
['\xe2\x80\x9cnetwork', [27761, 27771]]
['\xe2\x80\x9cnetwork', [27854, 27864]]
['inhibition', [893, 903]]
['inhibition', [4011, 4021]]
['inhibition', [6753, 6763]]
['inhibition', [25982, 25992]]
['inhibition', [27772, 27782]]
['inhibition', [27865, 27875]]
['inhibition', [28348, 28358]]
['inhibition', [30021, 30031]]
['inhibition', [30929, 30939]]
['hypothesis\xe2\x80\x9d', [904, 917]]
['hypothesis\xe2\x80\x9d', [27910, 27923]]
['neurological', [1540, 1552]]
['phenomena\\.', [1553, 1564]]
['1', [1564, 1565]]
['1', [3259, 3260]]
['1', [4548, 4549]]
['1', [5298, 5299]]
['1', [5299, 5300]]
['1', [5732, 5733]]
['1', [5733, 5734]]
['1', [6107, 6108]]
['1', [6112, 6113]]
['1', [6849, 6850]]
['1', [7698, 7699]]
['1', [7705, 7706]]
['1', [7707, 7708]]
['1', [7708, 7709]]
['1', [7969, 7970]]
['1', [8188, 8189]]
['1', [8451, 8452]]
['1', [8559, 8560]]
['1', [9126, 9127]]
['1', [9965, 9966]]
['1', [9970, 9971]]
['1', [10275, 10276]]
['1', [10288, 10289]]
['1', [10928, 10929]]
['1', [11334, 11335]]
['1', [12102, 12103]]
['1', [12648, 12649]]
['1', [12695, 12696]]
['1', [14015, 14016]]
['1', [14749, 14750]]
['1', [15915, 15916]]
['1', [18389, 18390]]
['1', [18450, 18451]]
['1', [24148, 24149]]
['1', [24483, 24484]]
['1', [25906, 25907]]
['1', [27161, 27162]]
['1', [27984, 27985]]
['1', [28126, 28127]]
['1', [28162, 28163]]
['1', [28259, 28260]]
['1', [28410, 28411]]
['1', [29442, 29443]]
['1', [31684, 31685]]
['1', [33476, 33477]]
['\xe2\x80\x93', [579, 582]]
['\xe2\x80\x93', [988, 991]]
['\xe2\x80\x93', [1566, 1569]]
['\xe2\x80\x93', [1636, 1639]]
['\xe2\x80\x93', [2241, 2244]]
['\xe2\x80\x93', [2610, 2613]]
['\xe2\x80\x93', [4315, 4318]]
['\xe2\x80\x93', [4550, 4553]]
['\xe2\x80\x93', [4935, 4938]]
['\xe2\x80\x93', [5605, 5608]]
['\xe2\x80\x93', [5997, 6000]]
['\xe2\x80\x93', [7353, 7356]]
['\xe2\x80\x93', [7702, 7705]]
['\xe2\x80\x93', [12173, 12176]]
['\xe2\x80\x93', [12326, 12329]]
['\xe2\x80\x93', [14751, 14754]]
['\xe2\x80\x93', [18445, 18448]]
['\xe2\x80\x93', [21910, 21913]]
['\xe2\x80\x93', [22630, 22633]]
['\xe2\x80\x93', [22916, 22919]]
['\xe2\x80\x93', [24047, 24050]]
['\xe2\x80\x93', [24450, 24453]]
['\xe2\x80\x93', [27156, 27159]]
['\xe2\x80\x93', [27352, 27355]]
['\xe2\x80\x93', [27608, 27611]]
['\xe2\x80\x93', [28026, 28029]]
['\xe2\x80\x93', [28372, 28375]]
['\xe2\x80\x93', [28462, 28465]]
['\xe2\x80\x93', [28970, 28973]]
['\xe2\x80\x93', [30158, 30161]]
['\xe2\x80\x93', [32515, 32518]]
['\xe2\x80\x93', [33478, 33481]]
['3', [1570, 1571]]
['3', [6023, 6024]]
['3', [6113, 6114]]
['3', [7700, 7701]]
['3', [10277, 10278]]
['3', [12107, 12108]]
['3', [12295, 12296]]
['3', [14448, 14449]]
['3', [14748, 14749]]
['3', [14755, 14756]]
['3', [14756, 14757]]
['3', [14956, 14957]]
['3', [15105, 15106]]
['3', [15240, 15241]]
['3', [15833, 15834]]
['3', [15960, 15961]]
['3', [16129, 16130]]
['3', [16626, 16627]]
['3', [16832, 16833]]
['3', [17053, 17054]]
['3', [17224, 17225]]
['3', [17473, 17474]]
['3', [17478, 17479]]
['3', [17911, 17912]]
['3', [18437, 18438]]
['3', [18442, 18443]]
['3', [18573, 18574]]
['3', [19203, 19204]]
['3', [19399, 19400]]
['3', [19549, 19550]]
['3', [24776, 24777]]
['3', [25029, 25030]]
['3', [28201, 28202]]
['3', [30076, 30077]]
['gtc', [4326, 4329]]
['gtc', [5166, 5169]]
['gtc', [5250, 5253]]
['gtc', [6169, 6172]]
['gtc', [31487, 31490]]
['gtc', [31830, 31833]]
['gtc', [31919, 31922]]
['gtc', [32727, 32730]]
['epigastric', [6671, 6681]]
['sensations\\.', [6682, 6694]]
['complex', [772, 779]]
['complex', [2256, 2263]]
['complex', [3116, 3123]]
['complex', [4135, 4142]]
['complex', [6392, 6399]]
['complex', [6545, 6552]]
['complex', [6694, 6701]]
['complex', [6857, 6864]]
['complex', [9230, 9237]]
['complex', [11855, 11862]]
['complex', [11979, 11986]]
['complex', [23505, 23512]]
['complex', [27396, 27403]]
['complex', [31510, 31517]]
['complex', [31864, 31871]]
['complex', [31927, 31934]]
['complex', [32707, 32714]]
['complex', [32880, 32887]]
['intralaminar', [12210, 12222]]
['intralaminar', [12270, 12282]]
['regions', [3959, 3966]]
['regions', [5074, 5081]]
['regions', [5365, 5372]]
['regions', [5522, 5529]]
['regions', [12223, 12230]]
['regions', [19444, 19451]]
['regions', [22841, 22848]]
['regions', [24670, 24677]]
['regions', [27687, 27694]]
['regions', [31134, 31141]]
['regions', [31667, 31674]]
['regions', [33593, 33600]]
['verbal', [13952, 13958]]
['verbal', [14100, 14106]]
['verbal', [14310, 14316]]
['verbal', [15049, 15055]]
['verbal', [18732, 18738]]
['verbal', [18880, 18886]]
['verbal', [19222, 19228]]
['verbal', [19531, 19537]]
['determinants', [18739, 18751]]
['response\\.', [18784, 18794]]
['response\\.', [19538, 19548]]
['43', [19548, 19550]]
['pierre', [19551, 19557]]
['pierre', [21832, 21838]]
['gloor', [18071, 18076]]
['gloor', [19558, 19563]]
['gloor', [21839, 21844]]
['44', [19564, 19566]]
['44', [20431, 20433]]
['44', [26911, 26913]]
['psychological', [20595, 20608]]
['psychological', [20786, 20799]]
['factors', [20609, 20616]]
['cbf', [23057, 23060]]
['cbf', [23151, 23154]]
['cbf', [23253, 23256]]
['cbf', [23344, 23347]]
['cbf', [23394, 23397]]
['cbf', [23566, 23569]]
['cbf', [23657, 23660]]
['cbf', [27523, 27526]]
['cbf', [28952, 28955]]
['cbf', [29556, 29559]]
['decreases', [2576, 2585]]
['decreases', [23257, 23266]]
['decreases', [23553, 23562]]
['decreases', [23711, 23720]]
['decreases', [27585, 27594]]
['decreases', [31847, 31856]]
['temporal', [758, 766]]
['temporal', [933, 941]]
['temporal', [3132, 3140]]
['temporal', [4121, 4129]]
['temporal', [5350, 5358]]
['temporal', [6454, 6462]]
['temporal', [6585, 6593]]
['temporal', [6710, 6718]]
['temporal', [7215, 7223]]
['temporal', [7512, 7520]]
['temporal', [11700, 11708]]
['temporal', [15253, 15261]]
['temporal', [15423, 15431]]
['temporal', [15547, 15555]]
['temporal', [15728, 15736]]
['temporal', [15845, 15853]]
['temporal', [15928, 15936]]
['temporal', [15983, 15991]]
['temporal', [16078, 16086]]
['temporal', [16164, 16172]]
['temporal', [16311, 16319]]
['temporal', [16346, 16354]]
['temporal', [16471, 16479]]
['temporal', [16510, 16518]]
['temporal', [16562, 16570]]
['temporal', [16669, 16677]]
['temporal', [16799, 16807]]
['temporal', [16928, 16936]]
['temporal', [16972, 16980]]
['temporal', [17116, 17124]]
['temporal', [17205, 17213]]
['temporal', [17288, 17296]]
['temporal', [17410, 17418]]
['temporal', [17526, 17534]]
['temporal', [17606, 17614]]
['temporal', [17773, 17781]]
