genia tagger: 22964['wt1', [37, 40]]
['wt1', [88, 91]]
['wt1', [154, 157]]
['wt1', [268, 271]]
['wt1', [700, 703]]
['wt1', [709, 712]]
['wt1', [810, 813]]
['wt1', [887, 890]]
['wt1', [977, 980]]
['wt1', [1072, 1075]]
['wt1', [1135, 1138]]
['wt1', [1149, 1152]]
['wt1', [1278, 1281]]
['wt1', [1329, 1332]]
['wt1', [1457, 1460]]
['wt1', [1535, 1538]]
['wt1', [1595, 1598]]
['wt1', [1707, 1710]]
['wt1', [2242, 2245]]
['wt1', [2323, 2326]]
['wt1', [2505, 2508]]
['wt1', [2770, 2773]]
['wt1', [3069, 3072]]
['wt1', [3330, 3333]]
['wt1', [3407, 3410]]
['wt1', [3486, 3489]]
['wt1', [3662, 3665]]
['wt1', [3684, 3687]]
['wt1', [3794, 3797]]
['wt1', [3840, 3843]]
['wt1', [3958, 3961]]
['wt1', [3973, 3976]]
['wt1', [3996, 3999]]
['wt1', [4042, 4045]]
['wt1', [4134, 4137]]
['wt1', [5194, 5197]]
['wt1', [5238, 5241]]
['wt1', [5247, 5250]]
['wt1', [5513, 5516]]
['wt1', [5670, 5673]]
['wt1', [5849, 5852]]
['wt1', [5978, 5981]]
['wt1', [6025, 6028]]
['wt1', [6037, 6040]]
['wt1', [6129, 6132]]
['wt1', [6165, 6168]]
['wt1', [6336, 6339]]
['wt1', [6410, 6413]]
['wt1', [6458, 6461]]
['wt1', [7043, 7046]]
['wt1', [7159, 7162]]
['wt1', [7201, 7204]]
['wt1', [7637, 7640]]
['wt1', [7679, 7682]]
['wt1', [8069, 8072]]
['wt1', [8111, 8114]]
['wt1', [8154, 8157]]
['wt1', [8170, 8173]]
['wt1', [8445, 8448]]
['wt1', [8621, 8624]]
['wt1', [8637, 8640]]
['wt1', [8759, 8762]]
['wt1', [8837, 8840]]
['wt1', [9137, 9140]]
['wt1', [9303, 9306]]
['wt1', [10166, 10169]]
['wt1', [10233, 10236]]
['wt1', [10433, 10436]]
['wt1', [11085, 11088]]
['wt1', [11334, 11337]]
['wt1', [11423, 11426]]
['wt1', [12011, 12014]]
['wt1', [12307, 12310]]
['wt1', [12805, 12808]]
['wt1', [12996, 12999]]
['wt1', [13243, 13246]]
['wt1', [13610, 13613]]
['wt1', [13677, 13680]]
['wt1', [14215, 14218]]
['wt1', [14935, 14938]]
['wt1', [16084, 16087]]
['wt1', [16245, 16248]]
['wt1', [16261, 16264]]
['wt1', [16307, 16310]]
['wt1', [16511, 16514]]
['wt1', [17086, 17089]]
['wt1', [17477, 17480]]
['wt1', [18421, 18424]]
['wt1', [18546, 18549]]
['wt1', [19054, 19057]]
['wt1', [19853, 19856]]
['wt1', [19901, 19904]]
['wt1', [20486, 20489]]
['wt1', [20602, 20605]]
['wt1', [20644, 20647]]
['wt1', [21080, 21083]]
['wt1', [21122, 21125]]
['wt1', [21512, 21515]]
['wt1', [21554, 21557]]
['wt1', [21597, 21600]]
['wt1', [21613, 21616]]
['wt1', [21888, 21891]]
['wt1', [22064, 22067]]
['wt1', [22080, 22083]]
['wt1', [22202, 22205]]
['wt1', [22280, 22283]]
['wt1', [22581, 22584]]
['wt1', [22747, 22750]]
['wt1', [23611, 23614]]
['wt1', [23678, 23681]]
['wt1', [23878, 23881]]
['wt1', [24531, 24534]]
['wt1', [24780, 24783]]
['wt1', [24869, 24872]]
['wt1', [25458, 25461]]
['wt1', [25754, 25757]]
['wt1', [26252, 26255]]
['wt1', [26444, 26447]]
['wt1', [26691, 26694]]
['wt1', [27059, 27062]]
['wt1', [27126, 27129]]
['wt1', [27665, 27668]]
['wt1', [28385, 28388]]
['wt1', [29535, 29538]]
['wt1', [29696, 29699]]
['wt1', [29712, 29715]]
['wt1', [29758, 29761]]
