genia tagger: 11217['non-hiv', [289, 296]]
['non-hiv', [515, 522]]
['non-hiv', [1374, 1381]]
['non-hiv', [3954, 3961]]
['non-hiv', [4729, 4736]]
['non-hiv', [27846, 27853]]
['pathogens', [297, 306]]
['pathogens', [523, 532]]
['pathogens', [1382, 1391]]
['pathogens', [3962, 3971]]
['pathogens', [5557, 5566]]
['pathogens', [22922, 22931]]
['pathogens', [24453, 24462]]
['pathogens', [24721, 24730]]
['pathogens', [27854, 27863]]
['pathogens', [43130, 43139]]
['pathogens', [44093, 44102]]
['pathogens', [44383, 44392]]
['pathogens', [44730, 44739]]
['pathogens', [47738, 47747]]
['pathogens', [48408, 48417]]
['pathogens', [49496, 49505]]
['hiv', [54, 57]]
['hiv', [178, 181]]
['hiv', [293, 296]]
['hiv', [310, 313]]
['hiv', [519, 522]]
['hiv', [569, 572]]
['hiv', [710, 713]]
['hiv', [796, 799]]
['hiv', [856, 859]]
['hiv', [1022, 1025]]
['hiv', [1191, 1194]]
['hiv', [1298, 1301]]
['hiv', [1378, 1381]]
['hiv', [1395, 1398]]
['hiv', [1551, 1554]]
['hiv', [1652, 1655]]
['hiv', [1948, 1951]]
['hiv', [2247, 2250]]
['hiv', [2318, 2321]]
['hiv', [2433, 2436]]
['hiv', [2602, 2605]]
['hiv', [3049, 3052]]
['hiv', [3293, 3296]]
['hiv', [3367, 3370]]
['hiv', [3534, 3537]]
['hiv', [3644, 3647]]
['hiv', [3719, 3722]]
['hiv', [3829, 3832]]
['hiv', [3958, 3961]]
['hiv', [4308, 4311]]
['hiv', [4328, 4331]]
['hiv', [4590, 4593]]
['hiv', [4733, 4736]]
['hiv', [4754, 4757]]
['hiv', [5088, 5091]]
['hiv', [5162, 5165]]
['hiv', [5318, 5321]]
['hiv', [5577, 5580]]
['hiv', [5608, 5611]]
['hiv', [5718, 5721]]
['hiv', [5797, 5800]]
['hiv', [6013, 6016]]
['hiv', [6033, 6036]]
['hiv', [6156, 6159]]
['hiv', [6244, 6247]]
['hiv', [6270, 6273]]
['hiv', [6287, 6290]]
['hiv', [6674, 6677]]
['hiv', [7185, 7188]]
['hiv', [7570, 7573]]
['hiv', [7679, 7682]]
['hiv', [7907, 7910]]
['hiv', [9234, 9237]]
['hiv', [9326, 9329]]
['hiv', [10067, 10070]]
['hiv', [10161, 10164]]
['hiv', [10318, 10321]]
['hiv', [10420, 10423]]
['hiv', [10619, 10622]]
['hiv', [10869, 10872]]
['hiv', [11093, 11096]]
['hiv', [11160, 11163]]
['hiv', [11199, 11202]]
['hiv', [11636, 11639]]
['hiv', [11764, 11767]]
['hiv', [12251, 12254]]
['hiv', [12608, 12611]]
['hiv', [12763, 12766]]
['hiv', [13000, 13003]]
['hiv', [13302, 13305]]
['hiv', [13582, 13585]]
['hiv', [13749, 13752]]
['hiv', [13833, 13836]]
['hiv', [13972, 13975]]
['hiv', [14124, 14127]]
['hiv', [15490, 15493]]
['hiv', [15582, 15585]]
['hiv', [16323, 16326]]
['hiv', [16417, 16420]]
['hiv', [16574, 16577]]
['hiv', [16676, 16679]]
['hiv', [16875, 16878]]
['hiv', [17125, 17128]]
['hiv', [17349, 17352]]
['hiv', [17417, 17420]]
['hiv', [17456, 17459]]
['hiv', [17893, 17896]]
['hiv', [18021, 18024]]
['hiv', [18508, 18511]]
['hiv', [18865, 18868]]
['hiv', [19020, 19023]]
['hiv', [19257, 19260]]
['hiv', [19559, 19562]]
['hiv', [19839, 19842]]
['hiv', [20006, 20009]]
['hiv', [20090, 20093]]
['hiv', [20229, 20232]]
['hiv', [20381, 20384]]
['hiv', [20498, 20501]]
['hiv', [20597, 20600]]
['hiv', [20871, 20874]]
['hiv', [21258, 21261]]
['hiv', [21349, 21352]]
['hiv', [21450, 21453]]
['hiv', [21493, 21496]]
['hiv', [21616, 21619]]
['hiv', [21904, 21907]]
['hiv', [22205, 22208]]
['hiv', [22313, 22316]]
['hiv', [22463, 22466]]
['hiv', [22888, 22891]]
['hiv', [22950, 22953]]
['hiv', [23104, 23107]]
['hiv', [23212, 23215]]
['hiv', [23337, 23340]]
['hiv', [23382, 23385]]
['hiv', [23540, 23543]]
['hiv', [23636, 23639]]
['hiv', [23821, 23824]]
['hiv', [23941, 23944]]
['hiv', [24020, 24023]]
['hiv', [24315, 24318]]
['hiv', [24554, 24557]]
['hiv', [24752, 24755]]
['hiv', [24995, 24998]]
['hiv', [25022, 25025]]
['hiv', [25134, 25137]]
['hiv', [25241, 25244]]
['hiv', [25527, 25530]]
['hiv', [25699, 25702]]
['hiv', [25805, 25808]]
['hiv', [25856, 25859]]
['hiv', [26552, 26555]]
['hiv', [26711, 26714]]
['hiv', [27043, 27046]]
['hiv', [27466, 27469]]
['hiv', [27650, 27653]]
['hiv', [27850, 27853]]
['hiv', [27888, 27891]]
['hiv', [28334, 28337]]
['hiv', [28397, 28400]]
['hiv', [28486, 28489]]
['hiv', [28657, 28660]]
['hiv', [28901, 28904]]
['hiv', [29063, 29066]]
['hiv', [29202, 29205]]
['hiv', [29302, 29305]]
['hiv', [29377, 29380]]
['hiv', [29642, 29645]]
['hiv', [29838, 29841]]
['hiv', [29902, 29905]]
['hiv', [30222, 30225]]
['hiv', [30404, 30407]]
['hiv', [30440, 30443]]
['hiv', [30608, 30611]]
['hiv', [31107, 31110]]
['hiv', [31213, 31216]]
['hiv', [31360, 31363]]
['hiv', [31456, 31459]]
['hiv', [31607, 31610]]
['hiv', [31785, 31788]]
['hiv', [31981, 31984]]
['hiv', [32094, 32097]]
['hiv', [32379, 32382]]
['hiv', [32867, 32870]]
['hiv', [33077, 33080]]
['hiv', [33168, 33171]]
['hiv', [33243, 33246]]
['hiv', [33346, 33349]]
['hiv', [33879, 33882]]
['hiv', [34056, 34059]]
['hiv', [34216, 34219]]
['hiv', [34471, 34474]]
['hiv', [34504, 34507]]
['hiv', [34886, 34889]]
['hiv', [34999, 35002]]
['hiv', [35146, 35149]]
['hiv', [35293, 35296]]
['hiv', [35403, 35406]]
['hiv', [35686, 35689]]
['hiv', [36294, 36297]]
['hiv', [36433, 36436]]
['hiv', [36776, 36779]]
['hiv', [36923, 36926]]
['hiv', [36943, 36946]]
['hiv', [36996, 36999]]
['hiv', [37259, 37262]]
['hiv', [37492, 37495]]
['hiv', [37634, 37637]]
['hiv', [37747, 37750]]
['hiv', [37962, 37965]]
['hiv', [38197, 38200]]
['hiv', [38243, 38246]]
['hiv', [38381, 38384]]
['hiv', [38777, 38780]]
['hiv', [38874, 38877]]
['hiv', [38986, 38989]]
['hiv', [39077, 39080]]
['hiv', [39213, 39216]]
