genia tagger: 0

spacy + metamap: 6538['seer', [41, 45]]
['seer', [249, 253]]
['seer', [3680, 3684]]
['seer', [4298, 4302]]
['seer', [4635, 4639]]
['seer', [4777, 4781]]
['seer', [6097, 6101]]
['seer', [7915, 7919]]
['seer', [8057, 8061]]
['seer', [9378, 9382]]
['seer', [11203, 11207]]
['seer', [13666, 13670]]
['seer', [15990, 15994]]
['seer', [16101, 16105]]
['seer', [16954, 16958]]
['seer', [17811, 17815]]
['seer', [20274, 20278]]
['seer', [22598, 22602]]
['seer', [22709, 22713]]
['seer', [23562, 23566]]
['seer', [24411, 24415]]
['seer', [26123, 26127]]
['seer', [29336, 29340]]
['seer', [31663, 31667]]
['seer', [33988, 33992]]
['seer', [34099, 34103]]
['seer', [34979, 34983]]
['seer', [35090, 35094]]
['seer', [35944, 35948]]
['seer', [36770, 36774]]
['database', [46, 54]]
['database', [3686, 3694]]
['database', [4303, 4311]]
['database', [6718, 6726]]
['database', [9999, 10007]]
['database', [11208, 11216]]
['database', [13671, 13679]]
['database', [17816, 17824]]
['database', [20279, 20287]]
['database', [24416, 24424]]
['database', [26128, 26136]]
['database', [29341, 29349]]
['database', [31668, 31676]]
['less than', [100, 109]]
['diagnoses', [140, 149]]
['patients', [198, 206]]
['patients', [597, 605]]
['patients', [4372, 4380]]
['patients', [4535, 4543]]
['patients', [4605, 4613]]
['patients', [4887, 4895]]
['patients', [5110, 5118]]
['patients', [5156, 5164]]
['patients', [5232, 5240]]
['patients', [5402, 5410]]
['patients', [5453, 5461]]
['patients', [5626, 5634]]
['patients', [5675, 5683]]
['patients', [5732, 5740]]
['patients', [6044, 6052]]
['patients', [7885, 7893]]
['patients', [8167, 8175]]
['patients', [8390, 8398]]
['patients', [8436, 8444]]
['patients', [8512, 8520]]
['patients', [8682, 8690]]
['patients', [8733, 8741]]
['patients', [8907, 8915]]
['patients', [8956, 8964]]
['patients', [9013, 9021]]
['patients', [9325, 9333]]
['patients', [11433, 11441]]
['patients', [12033, 12041]]
['patients', [12067, 12075]]
['patients', [12404, 12412]]
['patients', [12418, 12426]]
['patients', [12529, 12537]]
['patients', [13271, 13279]]
['patients', [13681, 13689]]
['patients', [13729, 13737]]
['patients', [14073, 14081]]
['patients', [14232, 14240]]
['patients', [14292, 14300]]
['patients', [14440, 14448]]
['patients', [14699, 14707]]
['patients', [14858, 14866]]
['patients', [15066, 15074]]
['patients', [15241, 15249]]
['patients', [15359, 15367]]
['patients', [15442, 15450]]
['patients', [15764, 15772]]
['patients', [15844, 15852]]
['patients', [16214, 16222]]
['patients', [16356, 16364]]
['patients', [16504, 16512]]
['patients', [16524, 16532]]
['patients', [16588, 16596]]
['patients', [17429, 17437]]
['patients', [17500, 17508]]
['patients', [18041, 18049]]
['patients', [18641, 18649]]
['patients', [18675, 18683]]
['patients', [19012, 19020]]
['patients', [19026, 19034]]
['patients', [19137, 19145]]
['patients', [19879, 19887]]
['patients', [20289, 20297]]
