genia tagger: 9880['jnk', [96, 99]]
['jnk', [221, 224]]
['jnk', [326, 329]]
['jnk', [424, 427]]
['jnk', [715, 718]]
['jnk', [844, 847]]
['jnk', [928, 931]]
['jnk', [1177, 1180]]
['jnk', [1305, 1308]]
['jnk', [1691, 1694]]
['jnk', [1820, 1823]]
['jnk', [1859, 1862]]
['jnk', [5177, 5180]]
['jnk', [5465, 5468]]
['jnk', [5660, 5663]]
['jnk', [5816, 5819]]
['jnk', [6390, 6393]]
['jnk', [6489, 6492]]
['jnk', [6969, 6972]]
['jnk', [7176, 7179]]
['jnk', [7193, 7196]]
['jnk', [7199, 7202]]
['jnk', [7209, 7212]]
['jnk', [7413, 7416]]
['jnk', [10982, 10985]]
['jnk', [11049, 11052]]
['jnk', [11098, 11101]]
['jnk', [11151, 11154]]
['jnk', [11626, 11629]]
['jnk', [16102, 16105]]
['jnk', [16119, 16122]]
['jnk', [16125, 16128]]
['jnk', [16135, 16138]]
['jnk', [16339, 16342]]
['jnk', [19912, 19915]]
['jnk', [19979, 19982]]
['jnk', [20028, 20031]]
['jnk', [20081, 20084]]
['jnk', [20556, 20559]]
['jnk', [28425, 28428]]
['jnk', [28627, 28630]]
['jnk', [28884, 28887]]
['jnk', [29272, 29275]]
['jnk', [29498, 29501]]
['jnk', [29572, 29575]]
['jnk', [29665, 29668]]
['jnk', [29780, 29783]]
['jnk', [29994, 29997]]
['jnk', [30251, 30254]]
['jnk', [30398, 30401]]
['jnk', [30635, 30638]]
['jnk', [35517, 35520]]
['jnk', [35719, 35722]]
['jnk', [35976, 35979]]
['jnk', [36364, 36367]]
['jnk', [36590, 36593]]
['jnk', [36664, 36667]]
['jnk', [36757, 36760]]
['jnk', [36872, 36875]]
['jnk', [37086, 37089]]
['jnk', [37343, 37346]]
['jnk', [37490, 37493]]
['jnk', [37727, 37730]]
['jnk', [44554, 44557]]
['jnk', [44756, 44759]]
['jnk', [45013, 45016]]
['jnk', [45401, 45404]]
['jnk', [45627, 45630]]
['jnk', [45728, 45731]]
['jnk', [45930, 45933]]
