genia tagger: 5448['igf-i', [6, 11]]
['igf-i', [120, 125]]
['igf-i', [199, 204]]
['igf-i', [358, 363]]
['igf-i', [424, 429]]
['igf-i', [664, 669]]
['igf-i', [834, 839]]
['igf-i', [946, 951]]
['igf-i', [1139, 1144]]
['igf-i', [1192, 1197]]
['igf-i', [1208, 1213]]
['igf-i', [1520, 1525]]
['igf-i', [1625, 1630]]
['igf-i', [1712, 1717]]
['igf-i', [1932, 1937]]
['igf-i', [3536, 3541]]
['igf-i', [3836, 3841]]
['igf-i', [3905, 3910]]
['igf-i', [3946, 3951]]
['igf-i', [4050, 4055]]
['igf-i', [4173, 4178]]
['igf-i', [4337, 4342]]
['igf-i', [4545, 4550]]
['igf-i', [4698, 4703]]
['igf-i', [4806, 4811]]
['igf-i', [4858, 4863]]
['igf-i', [5141, 5146]]
['igf-i', [5234, 5239]]
['igf-i', [6433, 6438]]
['igf-i', [6638, 6643]]
['igf-i', [6664, 6669]]
['igf-i', [6693, 6698]]
['igf-i', [6715, 6720]]
['igf-i', [6827, 6832]]
['igf-i', [6875, 6880]]
['igf-i', [6922, 6927]]
['igf-i', [6945, 6950]]
['igf-i', [7106, 7111]]
['igf-i', [7310, 7315]]
['igf-i', [8368, 8373]]
['igf-i', [8525, 8530]]
['igf-i', [8633, 8638]]
['igf-i', [9622, 9627]]
['igf-i', [13596, 13601]]
['igf-i', [13718, 13723]]
['igf-i', [13813, 13818]]
['igf-i', [15485, 15490]]
['igf-i', [15690, 15695]]
['igf-i', [15716, 15721]]
['igf-i', [15745, 15750]]
['igf-i', [15767, 15772]]
['igf-i', [15879, 15884]]
['igf-i', [15927, 15932]]
['igf-i', [15974, 15979]]
['igf-i', [15997, 16002]]
['igf-i', [16158, 16163]]
['igf-i', [16362, 16367]]
['igf-i', [17420, 17425]]
['igf-i', [17577, 17582]]
['igf-i', [17685, 17690]]
['igf-i', [18674, 18679]]
['igf-i', [22651, 22656]]
['igf-i', [22773, 22778]]
['igf-i', [22868, 22873]]
['igf-i', [23504, 23509]]
['igf-i', [23595, 23600]]
['igf-i', [23737, 23742]]
['igf-i', [23764, 23769]]
['igf-i', [23822, 23827]]
['igf-i', [24306, 24311]]
['igf-i', [24536, 24541]]
['igf-i', [24867, 24872]]
['igf-i', [25003, 25008]]
['igf-i', [25224, 25229]]
['igf-i', [25413, 25418]]
['igf-i', [25737, 25742]]
['igf-i', [25889, 25894]]
['igf-i', [26878, 26883]]
['igf-i', [26966, 26971]]
['igf-i', [27107, 27112]]
['igf-i', [27487, 27492]]
['igf-i', [28057, 28062]]
['igf-i', [28114, 28119]]
['igf-i', [28223, 28228]]
['igf-i', [28276, 28281]]
['igf-i', [28449, 28454]]
['igf-i', [28603, 28608]]
['igf-i', [28638, 28643]]
['igf-i', [28864, 28869]]
['igf-i', [28898, 28903]]
['igf-i', [28975, 28980]]
['igf-i', [29030, 29035]]
['igf-i', [29071, 29076]]
['igf-i', [29109, 29114]]
['igf-i', [29210, 29215]]
['igf-i', [29346, 29351]]
['igf-i', [29418, 29423]]
['igf-i', [29451, 29456]]
['igf-i', [29477, 29482]]
['igf-i', [29930, 29935]]
['igf-i', [30162, 30167]]
['igf-i', [30723, 30728]]
['igf-i', [30795, 30800]]
['igf-i', [30974, 30979]]
['igf-i', [31699, 31704]]
['igf-i', [31822, 31827]]
['igf-i', [32252, 32257]]
['igf-i', [32427, 32432]]
['igf-i', [32564, 32569]]
['igf-i', [32655, 32660]]
['igf-i', [32797, 32802]]
['igf-i', [32824, 32829]]
['igf-i', [32882, 32887]]
['igf-i', [33366, 33371]]
['igf-i', [33596, 33601]]
['igf-i', [33927, 33932]]
['igf-i', [34063, 34068]]
['igf-i', [34284, 34289]]
['igf-i', [34473, 34478]]
['igf-i', [34797, 34802]]
['igf-i', [34949, 34954]]
['igf-i', [35938, 35943]]
['igf-i', [36026, 36031]]
['igf-i', [36167, 36172]]
['igf-i', [36547, 36552]]
['igf-i', [37117, 37122]]
