genia tagger: 3898['rrs', [718, 721]]
['rrs', [5936, 5939]]
['rrs', [9719, 9722]]
['cis', [753, 756]]
['cis', [2366, 2369]]
['cis', [5971, 5974]]
['cis', [9754, 9757]]
['iarc', [2001, 2005]]
['iarc', [2125, 2129]]
['iarc', [2359, 2363]]
['iarc', [19766, 19770]]
['iarc', [25218, 25222]]
['\xe2\x80\x9d', [4606, 4609]]
['\xe2\x80\x9d', [4723, 4726]]
['\xe2\x80\x9d', [4772, 4775]]
['\xe2\x80\x9d', [8388, 8391]]
['\xe2\x80\x9d', [8505, 8508]]
['\xe2\x80\x9d', [8554, 8557]]
['lifestyle', [4990, 4999]]
['lifestyle', [8772, 8781]]
['factors', [839, 846]]
['factors', [5000, 5007]]
['factors', [8782, 8789]]
['factors', [19189, 19196]]
['factors', [24641, 24648]]
['statistical', [7008, 7019]]
['statistical', [10791, 10802]]
['statistical', [19961, 19972]]
['statistical', [20653, 20664]]
['statistical', [25413, 25424]]
['statistical', [26105, 26116]]
['program', [7020, 7027]]
['program', [10803, 10810]]
['r', [2, 3]]
['r', [19, 20]]
['r', [34, 35]]
['r', [36, 37]]
['r', [47, 48]]
['r', [62, 63]]
['r', [109, 110]]
['r', [122, 123]]
['r', [129, 130]]
['r', [135, 136]]
['r', [152, 153]]
['r', [162, 163]]
['r', [200, 201]]
['r', [210, 211]]
['r', [212, 213]]
['r', [245, 246]]
['r', [259, 260]]
['r', [273, 274]]
['r', [298, 299]]
['r', [335, 336]]
['r', [368, 369]]
['r', [432, 433]]
['r', [455, 456]]
['r', [465, 466]]
['r', [484, 485]]
['r', [486, 487]]
['r', [497, 498]]
['r', [512, 513]]
['r', [544, 545]]
['r', [552, 553]]
['r', [565, 566]]
['r', [596, 597]]
['r', [625, 626]]
['r', [637, 638]]
['r', [654, 655]]
['r', [658, 659]]
['r', [670, 671]]
['r', [682, 683]]
['r', [702, 703]]
['r', [711, 712]]
['r', [718, 719]]
['r', [719, 720]]
['r', [746, 747]]
['r', [766, 767]]
['r', [768, 769]]
['r', [792, 793]]
['r', [815, 816]]
['r', [844, 845]]
['r', [853, 854]]
['r', [872, 873]]
['r', [876, 877]]
['r', [887, 888]]
['r', [901, 902]]
['r', [906, 907]]
['r', [919, 920]]
['r', [929, 930]]
['r', [931, 932]]
['r', [1001, 1002]]
['r', [1008, 1009]]
['r', [1014, 1015]]
['r', [1030, 1031]]
['r', [1049, 1050]]
['r', [1060, 1061]]
['r', [1067, 1068]]
['r', [1068, 1069]]
['r', [1104, 1105]]
['r', [1105, 1106]]
['r', [1144, 1145]]
['r', [1145, 1146]]
['r', [1183, 1184]]
['r', [1191, 1192]]
['r', [1192, 1193]]
['r', [1276, 1277]]
['r', [1283, 1284]]
['r', [1303, 1304]]
['r', [1310, 1311]]
['r', [1313, 1314]]
['r', [1314, 1315]]
['r', [1366, 1367]]
['r', [1372, 1373]]
['r', [1378, 1379]]
['r', [1379, 1380]]
['r', [1409, 1410]]
['r', [1415, 1416]]
['r', [1498, 1499]]
['r', [1550, 1551]]
['r', [1567, 1568]]
['r', [1582, 1583]]
['r', [1584, 1585]]
['r', [1601, 1602]]
['r', [1634, 1635]]
['r', [1639, 1640]]
['r', [1643, 1644]]
['r', [1654, 1655]]
['r', [1667, 1668]]
['r', [1700, 1701]]
['r', [1715, 1716]]
['r', [1751, 1752]]
['r', [1777, 1778]]
['r', [1792, 1793]]
['r', [1803, 1804]]
['r', [1831, 1832]]
['r', [1845, 1846]]
['r', [1853, 1854]]
['r', [1869, 1870]]
['r', [1904, 1905]]
['r', [1927, 1928]]
['r', [1960, 1961]]
['r', [1979, 1980]]
['r', [1981, 1982]]
['r', [1986, 1987]]
['r', [1998, 1999]]
['r', [2003, 2004]]
['r', [2011, 2012]]
['r', [2025, 2026]]
['r', [2029, 2030]]
['r', [2078, 2079]]
['r', [2099, 2100]]
['r', [2127, 2128]]
['r', [2132, 2133]]
['r', [2139, 2140]]
['r', [2159, 2160]]
['r', [2206, 2207]]
['r', [2225, 2226]]
['r', [2242, 2243]]
['r', [2260, 2261]]
['r', [2271, 2272]]
['r', [2292, 2293]]
['r', [2361, 2362]]
['r', [2381, 2382]]
['r', [2435, 2436]]
['r', [2445, 2446]]
['r', [2464, 2465]]
['r', [2500, 2501]]
['r', [2513, 2514]]
['r', [2520, 2521]]
['r', [2526, 2527]]
['r', [2543, 2544]]
['r', [2553, 2554]]
['r', [2593, 2594]]
['r', [2595, 2596]]
['r', [2603, 2604]]
['r', [2610, 2611]]
['r', [2617, 2618]]
['r', [2637, 2638]]
['r', [2655, 2656]]
['r', [2669, 2670]]
['r', [2681, 2682]]
['r', [2722, 2723]]
['r', [2736, 2737]]
['r', [2750, 2751]]
['r', [2775, 2776]]
['r', [2852, 2853]]
['r', [2856, 2857]]
['r', [2902, 2903]]
['r', [2980, 2981]]
['r', [2982, 2983]]
['r', [3007, 3008]]
['r', [3019, 3020]]
['r', [3025, 3026]]
['r', [3051, 3052]]
['r', [3062, 3063]]
['r', [3065, 3066]]
['r', [3094, 3095]]
['r', [3098, 3099]]
['r', [3134, 3135]]
['r', [3144, 3145]]
['r', [3163, 3164]]
['r', [3165, 3166]]
['r', [3195, 3196]]
['r', [3228, 3229]]
['r', [3270, 3271]]
['r', [3282, 3283]]
['r', [3288, 3289]]
['r', [3296, 3297]]
['r', [3310, 3311]]
['r', [3422, 3423]]
['r', [3441, 3442]]
['r', [3446, 3447]]
['r', [3480, 3481]]
['r', [3497, 3498]]
['r', [3505, 3506]]
['r', [3555, 3556]]
['r', [3630, 3631]]
['r', [3678, 3679]]
['r', [3703, 3704]]
['r', [3721, 3722]]
['r', [3745, 3746]]
['r', [3757, 3758]]
['r', [3774, 3775]]
['r', [3807, 3808]]
['r', [3828, 3829]]
['r', [3830, 3831]]
['r', [3859, 3860]]
['r', [3878, 3879]]
['r', [3894, 3895]]
['r', [3935, 3936]]
['r', [3956, 3957]]
['r', [3971, 3972]]
['r', [3977, 3978]]
['r', [4019, 4020]]
['r', [4033, 4034]]
['r', [4072, 4073]]
['r', [4083, 4084]]
['r', [4120, 4121]]
['r', [4136, 4137]]
['r', [4173, 4174]]
['r', [4203, 4204]]
['r', [4218, 4219]]
['r', [4240, 4241]]
['r', [4252, 4253]]
['r', [4259, 4260]]
['r', [4269, 4270]]
['r', [4280, 4281]]
['r', [4286, 4287]]
['r', [4304, 4305]]
['r', [4313, 4314]]
['r', [4323, 4324]]
['r', [4355, 4356]]
['r', [4381, 4382]]
['r', [4396, 4397]]
['r', [4434, 4435]]
['r', [4457, 4458]]
['r', [4479, 4480]]
['r', [4482, 4483]]
['r', [4489, 4490]]
['r', [4496, 4497]]
['r', [4505, 4506]]
['r', [4526, 4527]]
['r', [4540, 4541]]
['r', [4567, 4568]]
['r', [4574, 4575]]
['r', [4590, 4591]]
['r', [4600, 4601]]
['r', [4632, 4633]]
['r', [4645, 4646]]
['r', [4649, 4650]]
['r', [4670, 4671]]
['r', [4684, 4685]]
['r', [4717, 4718]]
['r', [4746, 4747]]
['r', [4766, 4767]]
['r', [4780, 4781]]
['r', [4786, 4787]]
['r', [4830, 4831]]
['r', [4847, 4848]]
['r', [4858, 4859]]
['r', [4869, 4870]]
['r', [4889, 4890]]
['r', [4913, 4914]]
['r', [4917, 4918]]
['r', [4920, 4921]]
['r', [4935, 4936]]
['r', [4957, 4958]]
['r', [5005, 5006]]
['r', [5040, 5041]]
['r', [5050, 5051]]
['r', [5113, 5114]]
['r', [5123, 5124]]
['r', [5130, 5131]]
['r', [5140, 5141]]
['r', [5157, 5158]]
['r', [5196, 5197]]
['r', [5198, 5199]]
['r', [5204, 5205]]
['r', [5258, 5259]]
['r', [5330, 5331]]
['r', [5357, 5358]]
['r', [5371, 5372]]
['r', [5403, 5404]]
['r', [5430, 5431]]
['r', [5450, 5451]]
['r', [5491, 5492]]
['r', [5508, 5509]]
['r', [5522, 5523]]
['r', [5591, 5592]]
['r', [5604, 5605]]
['r', [5634, 5635]]
['r', [5663, 5664]]
['r', [5676, 5677]]
['r', [5696, 5697]]
['r', [5767, 5768]]
['r', [5781, 5782]]
['r', [5788, 5789]]
['r', [5799, 5800]]
['r', [5827, 5828]]
['r', [5834, 5835]]
['r', [5840, 5841]]
['r', [5858, 5859]]
['r', [5867, 5868]]
['r', [5871, 5872]]
['r', [5883, 5884]]
['r', [5920, 5921]]
['r', [5929, 5930]]
['r', [5936, 5937]]
['r', [5937, 5938]]
['r', [5964, 5965]]
['r', [6001, 6002]]
['r', [6056, 6057]]
['r', [6072, 6073]]
['r', [6084, 6085]]
['r', [6101, 6102]]
['r', [6124, 6125]]
['r', [6152, 6153]]
['r', [6220, 6221]]
['r', [6242, 6243]]
['r', [6300, 6301]]
['r', [6313, 6314]]
['r', [6332, 6333]]
['r', [6346, 6347]]
['r', [6354, 6355]]
['r', [6361, 6362]]
['r', [6373, 6374]]
['r', [6383, 6384]]
['r', [6389, 6390]]
['r', [6403, 6404]]
['r', [6419, 6420]]
['r', [6445, 6446]]
['r', [6495, 6496]]
['r', [6502, 6503]]
['r', [6511, 6512]]
['r', [6535, 6536]]
['r', [6539, 6540]]
['r', [6554, 6555]]
['r', [6568, 6569]]
['r', [6579, 6580]]
['r', [6626, 6627]]
['r', [6661, 6662]]
['r', [6674, 6675]]
['r', [6683, 6684]]
['r', [6697, 6698]]
['r', [6709, 6710]]
['r', [6717, 6718]]
['r', [6723, 6724]]
['r', [6738, 6739]]
['r', [6778, 6779]]
['r', [6798, 6799]]
['r', [6819, 6820]]
['r', [6837, 6838]]
['r', [6861, 6862]]
['r', [6908, 6909]]
['r', [6917, 6918]]
['r', [6930, 6931]]
['r', [6936, 6937]]
['r', [6940, 6941]]
['r', [6988, 6989]]
['r', [6993, 6994]]
['r', [6996, 6997]]
['r', [7021, 7022]]
['r', [7024, 7025]]
['r', [7028, 7029]]
['r', [7033, 7034]]
['r', [7059, 7060]]
['r', [7203, 7204]]
['r', [7222, 7223]]
['r', [7227, 7228]]
['r', [7261, 7262]]
['r', [7278, 7279]]
['r', [7286, 7287]]
['r', [7336, 7337]]
['r', [7411, 7412]]
['r', [7459, 7460]]
['r', [7484, 7485]]
['r', [7502, 7503]]
['r', [7526, 7527]]
['r', [7538, 7539]]
['r', [7555, 7556]]
['r', [7588, 7589]]
['r', [7609, 7610]]
['r', [7611, 7612]]
['r', [7640, 7641]]
['r', [7659, 7660]]
['r', [7675, 7676]]
['r', [7716, 7717]]
['r', [7737, 7738]]
['r', [7752, 7753]]
['r', [7758, 7759]]
['r', [7800, 7801]]
['r', [7814, 7815]]
['r', [7853, 7854]]
['r', [7864, 7865]]
['r', [7902, 7903]]
['r', [7918, 7919]]
['r', [7955, 7956]]
['r', [7985, 7986]]
['r', [8000, 8001]]
['r', [8022, 8023]]
['r', [8034, 8035]]
['r', [8041, 8042]]
['r', [8051, 8052]]
['r', [8062, 8063]]
['r', [8068, 8069]]
['r', [8086, 8087]]
['r', [8095, 8096]]
['r', [8105, 8106]]
['r', [8137, 8138]]
['r', [8163, 8164]]
['r', [8178, 8179]]
['r', [8216, 8217]]
['r', [8239, 8240]]
['r', [8261, 8262]]
['r', [8264, 8265]]
['r', [8271, 8272]]
['r', [8278, 8279]]
['r', [8287, 8288]]
['r', [8308, 8309]]
['r', [8322, 8323]]
['r', [8349, 8350]]
['r', [8356, 8357]]
['r', [8372, 8373]]
['r', [8382, 8383]]
['r', [8414, 8415]]
['r', [8427, 8428]]
['r', [8431, 8432]]
['r', [8452, 8453]]
['r', [8466, 8467]]
['r', [8499, 8500]]
['r', [8528, 8529]]
['r', [8548, 8549]]
['r', [8562, 8563]]
['r', [8568, 8569]]
['r', [8612, 8613]]
['r', [8629, 8630]]
['r', [8640, 8641]]
['r', [8651, 8652]]
['r', [8671, 8672]]
['r', [8695, 8696]]
['r', [8699, 8700]]
['r', [8702, 8703]]
['r', [8717, 8718]]
['r', [8739, 8740]]
['r', [8787, 8788]]
['r', [8822, 8823]]
['r', [8832, 8833]]
['r', [8895, 8896]]
['r', [8905, 8906]]
['r', [8912, 8913]]
['r', [8922, 8923]]
['r', [8939, 8940]]
['r', [8978, 8979]]
['r', [8980, 8981]]
['r', [8986, 8987]]
['r', [9040, 9041]]
['r', [9112, 9113]]
['r', [9139, 9140]]
['r', [9153, 9154]]
['r', [9185, 9186]]
['r', [9212, 9213]]
['r', [9232, 9233]]
['r', [9273, 9274]]
['r', [9290, 9291]]
['r', [9304, 9305]]
['r', [9373, 9374]]
['r', [9386, 9387]]
['r', [9416, 9417]]
['r', [9445, 9446]]
['r', [9458, 9459]]
['r', [9478, 9479]]
['r', [9550, 9551]]
['r', [9564, 9565]]
['r', [9571, 9572]]
['r', [9582, 9583]]
['r', [9610, 9611]]
['r', [9617, 9618]]
['r', [9623, 9624]]
['r', [9641, 9642]]
['r', [9650, 9651]]
['r', [9654, 9655]]
['r', [9666, 9667]]
['r', [9703, 9704]]
['r', [9712, 9713]]
['r', [9719, 9720]]
['r', [9720, 9721]]
['r', [9747, 9748]]
['r', [9784, 9785]]
['r', [9839, 9840]]
['r', [9855, 9856]]
['r', [9867, 9868]]
['r', [9884, 9885]]
['r', [9907, 9908]]
['r', [9935, 9936]]
['r', [10003, 10004]]
['r', [10025, 10026]]
['r', [10083, 10084]]
['r', [10096, 10097]]
['r', [10115, 10116]]
['r', [10129, 10130]]
['r', [10137, 10138]]
['r', [10144, 10145]]
['r', [10156, 10157]]
['r', [10166, 10167]]
['r', [10172, 10173]]
['r', [10186, 10187]]
['r', [10202, 10203]]
['r', [10228, 10229]]
['r', [10278, 10279]]
['r', [10285, 10286]]
['r', [10294, 10295]]
['r', [10318, 10319]]
['r', [10322, 10323]]
['r', [10337, 10338]]
['r', [10351, 10352]]
