genia tagger: 4229['t2dm', [85, 89]]
['t2dm', [258, 262]]
['t2dm', [412, 416]]
['t2dm', [1492, 1496]]
['t2dm', [1557, 1561]]
['t2dm', [1961, 1965]]
['t2dm', [2239, 2243]]
['t2dm', [2391, 2395]]
['t2dm', [2721, 2725]]
['t2dm', [5263, 5267]]
['t2dm', [5738, 5742]]
['t2dm', [34280, 34284]]
['t2dm', [34609, 34613]]
['t2dm', [34936, 34940]]
['t2dm', [35273, 35277]]
['t2dm', [40161, 40165]]
['t2dm', [41027, 41031]]
['t2dm', [41286, 41290]]
['t2dm', [41533, 41537]]
['t2dm', [41674, 41678]]
['t2dm', [42003, 42007]]
['t2dm', [42330, 42334]]
['t2dm', [42667, 42671]]
['t2dm', [47555, 47559]]
['t2dm', [48421, 48425]]
['t2dm', [48680, 48684]]
['t2dm', [48927, 48931]]
['nash', [127, 131]]
['nash', [267, 271]]
['nash', [417, 421]]
['nash', [1502, 1506]]
['nash', [1595, 1599]]
['nash', [1970, 1974]]
['nash', [2245, 2249]]
['nash', [2730, 2734]]
['nash', [5193, 5197]]
['nash', [5272, 5276]]
['nash', [5604, 5608]]
['nash', [5743, 5747]]
['nash', [34286, 34290]]
['nash', [34614, 34618]]
['nash', [34945, 34949]]
['nash', [35282, 35286]]
['nash', [35395, 35399]]
['nash', [40169, 40173]]
['nash', [41033, 41037]]
['nash', [41546, 41550]]
['nash', [41680, 41684]]
['nash', [42008, 42012]]
['nash', [42339, 42343]]
['nash', [42676, 42680]]
['nash', [42789, 42793]]
['nash', [47563, 47567]]
['nash', [48427, 48431]]
['nash', [48940, 48944]]
['cns', [457, 460]]
['cns', [728, 731]]
['cns', [1270, 1273]]
['cns', [5825, 5828]]
['cns', [6148, 6151]]
['cns', [12018, 12021]]
['cns', [37288, 37291]]
['cns', [40507, 40510]]
['cns', [44682, 44685]]
['cns', [47901, 47904]]
['pro-ceramide', [491, 503]]
['pro-ceramide', [5843, 5855]]
['pro-ceramide', [34683, 34695]]
['pro-ceramide', [42077, 42089]]
['gene', [39, 43]]
['gene', [193, 197]]
['gene', [295, 299]]
['gene', [504, 508]]
['gene', [661, 665]]
['gene', [925, 929]]
['gene', [1015, 1019]]
['gene', [1365, 1369]]
['gene', [1662, 1666]]
['gene', [1941, 1945]]
['gene', [2420, 2424]]
['gene', [2460, 2464]]
['gene', [2813, 2817]]
['gene', [3125, 3129]]
['gene', [3281, 3285]]
['gene', [3728, 3732]]
['gene', [5620, 5624]]
['gene', [5686, 5690]]
['gene', [5766, 5770]]
['gene', [5856, 5860]]
['gene', [5966, 5970]]
['gene', [5984, 5988]]
['gene', [6338, 6342]]
['gene', [6458, 6462]]
['gene', [6497, 6501]]
['gene', [6658, 6662]]
['gene', [7325, 7329]]
['gene', [7479, 7483]]
['gene', [7651, 7655]]
['gene', [8166, 8170]]
['gene', [8270, 8274]]
['gene', [8395, 8399]]
['gene', [9101, 9105]]
['gene', [9676, 9680]]
['gene', [9958, 9962]]
['gene', [10985, 10989]]
['gene', [11192, 11196]]
['gene', [11337, 11341]]
['gene', [11874, 11878]]
['gene', [12208, 12212]]
['gene', [12328, 12332]]
['gene', [12367, 12371]]
['gene', [12528, 12532]]
['gene', [13195, 13199]]
['gene', [13349, 13353]]
['gene', [13522, 13526]]
['gene', [14037, 14041]]
['gene', [14141, 14145]]
['gene', [14266, 14270]]
['gene', [14972, 14976]]
['gene', [15547, 15551]]
['gene', [15829, 15833]]
['gene', [16858, 16862]]
['gene', [17065, 17069]]
['gene', [17210, 17214]]
['gene', [17748, 17752]]
['gene', [19484, 19488]]
['gene', [20355, 20359]]
['gene', [20463, 20467]]
['gene', [20627, 20631]]
['gene', [20772, 20776]]
['gene', [21348, 21352]]
['gene', [23572, 23576]]
['gene', [24443, 24447]]
['gene', [24551, 24555]]
['gene', [24715, 24719]]
['gene', [24860, 24864]]
['gene', [25436, 25440]]
['gene', [29147, 29151]]
['gene', [30018, 30022]]
['gene', [30238, 30242]]
['gene', [31109, 31113]]
['gene', [31218, 31222]]
['gene', [31382, 31386]]
['gene', [31527, 31531]]
['gene', [32103, 32107]]
['gene', [32715, 32719]]
['gene', [32879, 32883]]
['gene', [33024, 33028]]
['gene', [33600, 33604]]
['gene', [34308, 34312]]
['gene', [34579, 34583]]
['gene', [34696, 34700]]
['gene', [35017, 35021]]
['gene', [35694, 35698]]
['gene', [35813, 35817]]
['gene', [36713, 36717]]
['gene', [36901, 36905]]
['gene', [37035, 37039]]
['gene', [37200, 37204]]
['gene', [37610, 37614]]
['gene', [37829, 37833]]
['gene', [39107, 39111]]
['gene', [39922, 39926]]
['gene', [40592, 40596]]
['gene', [40610, 40614]]
['gene', [41702, 41706]]
['gene', [41973, 41977]]
['gene', [42090, 42094]]
['gene', [42411, 42415]]
['gene', [43088, 43092]]
['gene', [43207, 43211]]
['gene', [44107, 44111]]
['gene', [44295, 44299]]
['gene', [44429, 44433]]
['gene', [44594, 44598]]
['gene', [45004, 45008]]
['gene', [45223, 45227]]
['gene', [46501, 46505]]
['gene', [47316, 47320]]
