genia tagger: 29832['adam8', [0, 5]]
['adam8', [120, 125]]
['adam8', [183, 188]]
['adam8', [259, 264]]
['adam8', [446, 451]]
['adam8', [488, 493]]
['adam8', [655, 660]]
['adam8', [714, 719]]
['adam8', [832, 837]]
['adam8', [5129, 5134]]
['adam8', [5249, 5254]]
['adam8', [5372, 5377]]
['adam8', [9834, 9839]]
['adam8', [9954, 9959]]
['adam8', [10077, 10082]]
['adam8', [10310, 10315]]
['adam8', [10320, 10325]]
['adam8', [10496, 10501]]
['adam8', [10699, 10704]]
['adam8', [10751, 10756]]
['adam8', [10868, 10873]]
['adam8', [11205, 11210]]
['adam8', [11458, 11463]]
['adam8', [11786, 11791]]
['adam8', [11900, 11905]]
['adam8', [12031, 12036]]
['adam8', [12177, 12182]]
['adam8', [12682, 12687]]
['adam8', [12988, 12993]]
['adam8', [13069, 13074]]
['adam8', [13219, 13224]]
['adam8', [13373, 13378]]
['adam8', [13761, 13766]]
['adam8', [13867, 13872]]
['adam8', [14067, 14072]]
['adam8', [14118, 14123]]
['adam8', [14245, 14250]]
['adam8', [14400, 14405]]
['adam8', [14468, 14473]]
['adam8', [14572, 14577]]
['adam8', [15009, 15014]]
['adam8', [15068, 15073]]
['adam8', [15123, 15128]]
['adam8', [15270, 15275]]
['adam8', [15343, 15348]]
['adam8', [15425, 15430]]
['adam8', [15916, 15921]]
['adam8', [15970, 15975]]
['adam8', [16361, 16366]]
['adam8', [16484, 16489]]
['adam8', [16654, 16659]]
['adam8', [16701, 16706]]
['adam8', [16805, 16810]]
['adam8', [16965, 16970]]
['adam8', [17031, 17036]]
['adam8', [17181, 17186]]
['adam8', [17267, 17272]]
['adam8', [17323, 17328]]
['adam8', [17512, 17517]]
['adam8', [17615, 17620]]
['adam8', [17666, 17671]]
['adam8', [17762, 17767]]
['adam8', [18323, 18328]]
['adam8', [18540, 18545]]
['adam8', [18748, 18753]]
['adam8', [18877, 18882]]
['adam8', [18931, 18936]]
['adam8', [19107, 19112]]
['adam8', [19310, 19315]]
['adam8', [19362, 19367]]
['adam8', [19479, 19484]]
['adam8', [19816, 19821]]
['adam8', [20069, 20074]]
['adam8', [20397, 20402]]
['adam8', [20511, 20516]]
['adam8', [20642, 20647]]
['adam8', [20788, 20793]]
['adam8', [21293, 21298]]
['adam8', [21599, 21604]]
['adam8', [21680, 21685]]
['adam8', [21830, 21835]]
['adam8', [21984, 21989]]
['adam8', [22372, 22377]]
['adam8', [22478, 22483]]
['adam8', [22678, 22683]]
['adam8', [22729, 22734]]
['adam8', [22856, 22861]]
['adam8', [23011, 23016]]
['adam8', [23079, 23084]]
['adam8', [23183, 23188]]
['adam8', [23620, 23625]]
['adam8', [23714, 23719]]
['adam8', [24042, 24047]]
['adam8', [24157, 24162]]
['adam8', [24288, 24293]]
['adam8', [24434, 24439]]
['adam8', [24939, 24944]]
['adam8', [25245, 25250]]
['adam8', [25326, 25331]]
['adam8', [25476, 25481]]
['adam8', [25630, 25635]]
['adam8', [26019, 26024]]
['adam8', [26125, 26130]]
['adam8', [26325, 26330]]
['adam8', [26376, 26381]]
['adam8', [26503, 26508]]
['adam8', [26658, 26663]]
['adam8', [26726, 26731]]
['adam8', [26830, 26835]]
['adam8', [27268, 27273]]
['adam8', [27328, 27333]]
['adam8', [27383, 27388]]
['adam8', [27530, 27535]]
['adam8', [27603, 27608]]
['adam8', [27685, 27690]]
['adam8', [28176, 28181]]
['adam8', [28230, 28235]]
['adam8', [28621, 28626]]
['adam8', [28744, 28749]]
['adam8', [28915, 28920]]
['adam8', [28962, 28967]]
['adam8', [29066, 29071]]
['adam8', [29226, 29231]]
['adam8', [29292, 29297]]
['adam8', [29442, 29447]]
['adam8', [29528, 29533]]
['adam8', [29584, 29589]]
['adam8', [29773, 29778]]
['adam8', [29876, 29881]]
['adam8', [29927, 29932]]
['adam8', [30023, 30028]]
['adam8', [30584, 30589]]
['adam8', [30801, 30806]]
['adam8', [31009, 31014]]
['adam8', [31138, 31143]]
['adam8', [31191, 31196]]
['adam8', [31227, 31232]]
['adam8', [31277, 31282]]
['adam8', [31346, 31351]]
['adam8', [31503, 31508]]
['adam8', [31620, 31625]]
['adam8', [31729, 31734]]
['adam8', [31831, 31836]]
['adam8', [32062, 32067]]
['adam8', [32141, 32146]]
['adam8', [32304, 32309]]
['adam8', [32380, 32385]]
['adam8', [32566, 32571]]
['adam8', [32716, 32721]]
['adam8', [33010, 33015]]
['adam8', [33070, 33075]]
['adam8', [33322, 33327]]
['adam8', [33523, 33528]]
['adam8', [33619, 33624]]
['adam8', [33715, 33720]]
['adam8', [34687, 34692]]
['adam8', [34898, 34903]]
['adam8', [35058, 35063]]
['adam8', [35167, 35172]]
['adam8', [35188, 35193]]
['adam8', [35350, 35355]]
['adam8', [35369, 35374]]
['adam8', [35535, 35540]]
['adam8', [35569, 35574]]
['adam8', [35741, 35746]]
['adam8', [35997, 36002]]
['adam8', [36116, 36121]]
['adam8', [36252, 36257]]
['adam8', [36434, 36439]]
['adam8', [36509, 36514]]
['adam8', [36637, 36642]]
['adam8', [36721, 36726]]
['adam8', [37010, 37015]]
['adam8', [37017, 37022]]
['adam8', [37182, 37187]]
['adam8', [37468, 37473]]
['adam8', [37568, 37573]]
['adam8', [38211, 38216]]
['adam8', [38261, 38266]]
['adam8', [38330, 38335]]
['adam8', [38487, 38492]]
['adam8', [38604, 38609]]
['adam8', [38713, 38718]]
['adam8', [38815, 38820]]
['adam8', [39046, 39051]]
['adam8', [39125, 39130]]
['adam8', [39288, 39293]]
['adam8', [39364, 39369]]
['adam8', [39550, 39555]]
['adam8', [39700, 39705]]
['adam8', [39994, 39999]]
['adam8', [40054, 40059]]
['adam8', [40306, 40311]]
['adam8', [40507, 40512]]
['adam8', [40603, 40608]]
['adam8', [40700, 40705]]
['adam8', [41672, 41677]]
['adam8', [41883, 41888]]
['adam8', [42043, 42048]]
['adam8', [42153, 42158]]
['adam8', [42174, 42179]]
