genia tagger: 14194['japanese', [235, 243]]
['japanese', [680, 688]]
['japanese', [1765, 1773]]
['japanese', [28496, 28504]]
['japanese', [33377, 33385]]
['japanese', [41198, 41206]]
['japanese', [54007, 54015]]
['japanese', [62587, 62595]]
['japanese', [67468, 67476]]
['japanese', [75290, 75298]]
['japanese', [88100, 88108]]
['japanese', [89021, 89029]]
['japanese', [98134, 98142]]
['a-bomb', [244, 250]]
['a-bomb', [1774, 1780]]
['a-bomb', [2335, 2341]]
['a-bomb', [22389, 22395]]
['a-bomb', [27106, 27112]]
['a-bomb', [28676, 28682]]
['a-bomb', [31503, 31509]]
['a-bomb', [33386, 33392]]
['a-bomb', [36935, 36941]]
['a-bomb', [37372, 37378]]
['a-bomb', [40564, 40570]]
['a-bomb', [41207, 41213]]
['a-bomb', [42038, 42044]]
['a-bomb', [42304, 42310]]
['a-bomb', [42780, 42786]]
['a-bomb', [43134, 43140]]
['a-bomb', [44600, 44606]]
['a-bomb', [54016, 54022]]
['a-bomb', [56479, 56485]]
['a-bomb', [61196, 61202]]
['a-bomb', [62767, 62773]]
['a-bomb', [65594, 65600]]
['a-bomb', [67477, 67483]]
['a-bomb', [71026, 71032]]
['a-bomb', [71463, 71469]]
['a-bomb', [74656, 74662]]
['a-bomb', [75299, 75305]]
['a-bomb', [76130, 76136]]
['a-bomb', [76396, 76402]]
['a-bomb', [76872, 76878]]
['a-bomb', [77226, 77232]]
['a-bomb', [78692, 78698]]
['a-bomb', [88109, 88115]]
['a-bomb', [89030, 89036]]
['a-bomb', [96721, 96727]]
['a-bomb', [98143, 98149]]
['a-bomb', [100395, 100401]]
['a-bomb', [101565, 101571]]
['survivors', [251, 260]]
['survivors', [1781, 1790]]
['survivors', [2342, 2351]]
['survivors', [20523, 20532]]
['survivors', [20569, 20578]]
['survivors', [21168, 21177]]
['survivors', [21281, 21290]]
['survivors', [22163, 22172]]
['survivors', [22396, 22405]]
['survivors', [22942, 22951]]
['survivors', [24728, 24737]]
['survivors', [27113, 27122]]
['survivors', [27418, 27427]]
['survivors', [28683, 28692]]
['survivors', [31510, 31519]]
['survivors', [33393, 33402]]
['survivors', [36942, 36951]]
['survivors', [37379, 37388]]
['survivors', [38078, 38087]]
['survivors', [38240, 38249]]
['survivors', [38553, 38562]]
['survivors', [41214, 41223]]
['survivors', [42045, 42054]]
['survivors', [42311, 42320]]
['survivors', [42787, 42796]]
['survivors', [44607, 44616]]
['survivors', [54023, 54032]]
['survivors', [54613, 54622]]
['survivors', [54659, 54668]]
['survivors', [55258, 55267]]
['survivors', [55371, 55380]]
['survivors', [56253, 56262]]
['survivors', [56486, 56495]]
['survivors', [57032, 57041]]
['survivors', [58818, 58827]]
['survivors', [61203, 61212]]
['survivors', [61508, 61517]]
['survivors', [62774, 62783]]
['survivors', [65601, 65610]]
['survivors', [67484, 67493]]
['survivors', [71033, 71042]]
['survivors', [71470, 71479]]
['survivors', [72169, 72178]]
['survivors', [72331, 72340]]
['survivors', [72644, 72653]]
['survivors', [75306, 75315]]
['survivors', [76137, 76146]]
['survivors', [76403, 76412]]
['survivors', [76879, 76888]]
['survivors', [78699, 78708]]
['survivors', [88116, 88125]]
['survivors', [89037, 89046]]
['survivors', [93008, 93017]]
['survivors', [93072, 93081]]
['survivors', [94694, 94703]]
['survivors', [94953, 94962]]
['survivors', [98150, 98159]]
['survivors', [100402, 100411]]
['survivors', [101572, 101581]]
['cancer', [23, 29]]
['cancer', [181, 187]]
['cancer', [665, 671]]
['cancer', [1119, 1125]]
['cancer', [1226, 1232]]
['cancer', [1278, 1284]]
['cancer', [1491, 1497]]
['cancer', [1536, 1542]]
['cancer', [1667, 1673]]
['cancer', [1827, 1833]]
['cancer', [1889, 1895]]
['cancer', [1946, 1952]]
['cancer', [2055, 2061]]
['cancer', [2141, 2147]]
['cancer', [2212, 2218]]
['cancer', [3209, 3215]]
['cancer', [4226, 4232]]
['cancer', [4418, 4424]]
['cancer', [4739, 4745]]
['cancer', [5150, 5156]]
['cancer', [7212, 7218]]
['cancer', [9259, 9265]]
['cancer', [12365, 12371]]
['cancer', [12776, 12782]]
['cancer', [14839, 14845]]
['cancer', [16886, 16892]]
['cancer', [21120, 21126]]
['cancer', [21547, 21553]]
['cancer', [21739, 21745]]
['cancer', [21999, 22005]]
['cancer', [22342, 22348]]
['cancer', [22471, 22477]]
['cancer', [23165, 23171]]
['cancer', [23299, 23305]]
['cancer', [23357, 23363]]
['cancer', [23478, 23484]]
['cancer', [23574, 23580]]
['cancer', [23888, 23894]]
['cancer', [23937, 23943]]
['cancer', [24374, 24380]]
['cancer', [24707, 24713]]
['cancer', [24869, 24875]]
['cancer', [24883, 24889]]
['cancer', [24948, 24954]]
['cancer', [25015, 25021]]
['cancer', [25266, 25272]]
['cancer', [25398, 25404]]
['cancer', [25541, 25547]]
['cancer', [25753, 25759]]
['cancer', [25817, 25823]]
['cancer', [26029, 26035]]
['cancer', [26486, 26492]]
['cancer', [26559, 26565]]
['cancer', [26705, 26711]]
['cancer', [26881, 26887]]
['cancer', [27241, 27247]]
['cancer', [27377, 27383]]
['cancer', [27483, 27489]]
['cancer', [27762, 27768]]
['cancer', [28061, 28067]]
['cancer', [28481, 28487]]
['cancer', [29074, 29080]]
['cancer', [29089, 29095]]
['cancer', [29126, 29132]]
['cancer', [29148, 29154]]
['cancer', [29326, 29332]]
['cancer', [30741, 30747]]
['cancer', [30754, 30760]]
