genia tagger: 2723['hnscc', [298, 303]]
['hnscc', [358, 363]]
['hnscc', [1800, 1805]]
['hnscc', [2149, 2154]]
['hnscc', [4949, 4954]]
['hnscc', [6799, 6804]]
['hnscc', [9519, 9524]]
['hnscc', [11370, 11375]]
['hnscc', [27842, 27847]]
['hnscc', [28340, 28345]]
['hnscc', [28865, 28870]]
['hnscc', [29455, 29460]]
['hnscc', [30399, 30404]]
['hnscc', [30897, 30902]]
['hnscc', [31422, 31427]]
['hnscc', [32012, 32017]]
['cancer', [69, 75]]
['cancer', [1156, 1162]]
['cancer', [1217, 1223]]
['deaths', [1224, 1230]]
['deaths', [15871, 15877]]
['deaths', [19910, 19916]]
['deaths', [23258, 23264]]
['deaths', [25589, 25595]]
['1', [487, 488]]
['1', [781, 782]]
['1', [1201, 1202]]
['1', [1231, 1232]]
['1', [3001, 3002]]
['1', [3010, 3011]]
['1', [3048, 3049]]
['1', [3096, 3097]]
['1', [3513, 3514]]
['1', [4451, 4452]]
['1', [6447, 6448]]
['1', [9021, 9022]]
['1', [11017, 11018]]
['1', [14171, 14172]]
['1', [14935, 14936]]
['1', [15227, 15228]]
['1', [16240, 16241]]
['1', [16279, 16280]]
['1', [16393, 16394]]
['1', [16444, 16445]]
['1', [16623, 16624]]
['1', [16722, 16723]]
['1', [16839, 16840]]
['1', [18210, 18211]]
['1', [18974, 18975]]
['1', [19266, 19267]]
['1', [20279, 20280]]
['1', [20318, 20319]]
['1', [20432, 20433]]
['1', [20483, 20484]]
['1', [20662, 20663]]
['1', [20761, 20762]]
['1', [20878, 20879]]
['1', [21558, 21559]]
['1', [22322, 22323]]
['1', [22614, 22615]]
['1', [23889, 23890]]
['1', [24653, 24654]]
['1', [24945, 24946]]
['1', [25959, 25960]]
['1', [25998, 25999]]
['1', [26112, 26113]]
['1', [26163, 26164]]
['1', [26342, 26343]]
['1', [26441, 26442]]
['1', [26558, 26559]]
['1', [26977, 26978]]
['1', [27016, 27017]]
['1', [27130, 27131]]
['1', [27181, 27182]]
['1', [27360, 27361]]
['1', [27459, 27460]]
['1', [27576, 27577]]
['1', [27710, 27711]]
['1', [28206, 28207]]
['1', [28469, 28470]]
['1', [28942, 28943]]
['1', [29110, 29111]]
['1', [29115, 29116]]
['1', [29242, 29243]]
['1', [29247, 29248]]
['1', [29580, 29581]]
['1', [29659, 29660]]
['1', [29849, 29850]]
['1', [30267, 30268]]
['1', [30763, 30764]]
['1', [31026, 31027]]
['1', [31499, 31500]]
['1', [31667, 31668]]
['1', [31672, 31673]]
['1', [31799, 31800]]
['1', [31804, 31805]]
['1', [32137, 32138]]
['1', [32216, 32217]]
['1', [32406, 32407]]
['positive', [1735, 1743]]
['positive', [2845, 2853]]
['positive', [13399, 13407]]
['positive', [17438, 17446]]
['surgical', [445, 453]]
['surgical', [1744, 1752]]
['surgical', [2854, 2862]]
['margins', [454, 461]]
['margins', [1753, 1760]]
['margins', [2863, 2870]]
['margins', [13408, 13415]]
['margins', [17447, 17454]]
['3', [934, 935]]
['3', [1146, 1147]]
['3', [1761, 1762]]
['3', [3055, 3056]]
['3', [4207, 4208]]
['3', [4288, 4289]]
['3', [5822, 5823]]
['3', [5917, 5918]]
['3', [6169, 6170]]
['3', [6186, 6187]]
['3', [7072, 7073]]
['3', [7254, 7255]]
['3', [7255, 7256]]
['3', [7262, 7263]]
['3', [7643, 7644]]
['3', [7704, 7705]]
['3', [7705, 7706]]
['3', [8777, 8778]]
['3', [8858, 8859]]
['3', [10392, 10393]]
['3', [10487, 10488]]
['3', [10739, 10740]]
['3', [10756, 10757]]
['3', [11643, 11644]]
['3', [11825, 11826]]
['3', [11826, 11827]]
['3', [11833, 11834]]
['3', [12214, 12215]]
['3', [12275, 12276]]
['3', [12276, 12277]]
['3', [12882, 12883]]
['3', [13592, 13593]]
['3', [13917, 13918]]
['3', [14345, 14346]]
['3', [14397, 14398]]
['3', [14844, 14845]]
['3', [15454, 15455]]
['3', [15702, 15703]]
['3', [16148, 16149]]
['3', [16440, 16441]]
['3', [16509, 16510]]
['3', [16562, 16563]]
['3', [16772, 16773]]
['3', [16921, 16922]]
['3', [17631, 17632]]
['3', [17956, 17957]]
['3', [18384, 18385]]
['3', [18436, 18437]]
['3', [18883, 18884]]
['3', [19493, 19494]]
['3', [19741, 19742]]
['3', [20187, 20188]]
['3', [20479, 20480]]
['3', [20548, 20549]]
['3', [20601, 20602]]
['3', [20811, 20812]]
['3', [20979, 20980]]
['3', [21304, 21305]]
['3', [21732, 21733]]
['3', [21784, 21785]]
['3', [22231, 22232]]
['3', [22841, 22842]]
['3', [23089, 23090]]
['3', [23310, 23311]]
['3', [23635, 23636]]
['3', [24063, 24064]]
['3', [24115, 24116]]
['3', [24562, 24563]]
['3', [25172, 25173]]
['3', [25420, 25421]]
['3', [25867, 25868]]
['3', [26159, 26160]]
['3', [26228, 26229]]
['3', [26281, 26282]]
['3', [26491, 26492]]
['3', [26885, 26886]]
['3', [27177, 27178]]
['3', [27246, 27247]]
['3', [27299, 27300]]
['3', [27509, 27510]]
['3', [28217, 28218]]
['3', [28574, 28575]]
['3', [28619, 28620]]
