genia tagger: 7326['angiogenesis', [186, 198]]
['angiogenesis', [285, 297]]
['angiogenesis', [401, 413]]
['angiogenesis', [2056, 2068]]
['angiogenesis', [5193, 5205]]
['angiogenesis', [5502, 5514]]
['angiogenesis', [12751, 12763]]
['angiogenesis', [12815, 12827]]
['angiogenesis', [21547, 21559]]
['angiogenesis', [21611, 21623]]
['angiogenesis', [45155, 45167]]
['angiogenesis', [45721, 45733]]
['angiogenesis', [46759, 46771]]
['angiogenesis', [49354, 49366]]
['angiogenesis', [49604, 49616]]
['angiogenesis', [51375, 51387]]
['angiogenesis', [51557, 51569]]
['angiogenesis', [51640, 51652]]
['angiogenesis', [52518, 52530]]
['angiogenesis', [53084, 53096]]
['angiogenesis', [54122, 54134]]
['angiogenesis', [56717, 56729]]
['angiogenesis', [56967, 56979]]
['angiogenesis', [58738, 58750]]
['angiogenesis', [58920, 58932]]
['angiogenesis', [59003, 59015]]
['when', [414, 418]]
['when', [45223, 45227]]
['when', [46712, 46716]]
['when', [52586, 52590]]
['when', [54075, 54079]]
['bevacizumab', [75, 86]]
['bevacizumab', [419, 430]]
['bevacizumab', [656, 667]]
['bevacizumab', [1524, 1535]]
['bevacizumab', [3353, 3364]]
['bevacizumab', [3770, 3781]]
['bevacizumab', [4009, 4020]]
['bevacizumab', [4400, 4411]]
['bevacizumab', [4462, 4473]]
['bevacizumab', [4890, 4901]]
['bevacizumab', [4968, 4979]]
['bevacizumab', [5315, 5326]]
['bevacizumab', [5453, 5464]]
['bevacizumab', [6803, 6814]]
['bevacizumab', [7292, 7303]]
['bevacizumab', [7622, 7633]]
['bevacizumab', [7886, 7897]]
['bevacizumab', [7965, 7976]]
['bevacizumab', [12785, 12796]]
['bevacizumab', [15593, 15604]]
['bevacizumab', [16083, 16094]]
['bevacizumab', [16413, 16424]]
['bevacizumab', [16677, 16688]]
['bevacizumab', [16756, 16767]]
['bevacizumab', [21581, 21592]]
['bevacizumab', [45262, 45273]]
['bevacizumab', [46566, 46577]]
['bevacizumab', [47528, 47539]]
['bevacizumab', [48775, 48786]]
['bevacizumab', [49045, 49056]]
['bevacizumab', [49451, 49462]]
['bevacizumab', [49825, 49836]]
['bevacizumab', [50088, 50099]]
['bevacizumab', [50176, 50187]]
['bevacizumab', [50810, 50821]]
['bevacizumab', [51398, 51409]]
['bevacizumab', [52625, 52636]]
['bevacizumab', [53929, 53940]]
['bevacizumab', [54891, 54902]]
['bevacizumab', [56138, 56149]]
['bevacizumab', [56408, 56419]]
['bevacizumab', [56814, 56825]]
['bevacizumab', [57188, 57199]]
['bevacizumab', [57451, 57462]]
['bevacizumab', [57539, 57550]]
['bevacizumab', [58173, 58184]]
['bevacizumab', [58761, 58772]]
['bevacizumab', [59458, 59469]]
['bevacizumab', [59784, 59795]]
['bevacizumab', [60235, 60246]]
['bevacizumab', [61323, 61334]]
['bevacizumab', [62325, 62336]]
['bevacizumab', [63180, 63191]]
['bevacizumab', [63401, 63412]]
['bevacizumab', [63915, 63926]]
['bevacizumab', [64241, 64252]]
['bevacizumab', [64692, 64703]]
['bevacizumab', [65780, 65791]]
['bevacizumab', [66782, 66793]]
['bevacizumab', [67637, 67648]]
['bevacizumab', [67858, 67869]]
['db', [722, 724]]
['db', [926, 928]]
['db', [1091, 1093]]
['db', [1157, 1159]]
['db', [1424, 1426]]
['db', [7305, 7307]]
['db', [7792, 7794]]
['db', [9581, 9583]]
['db', [9713, 9715]]
['db', [10253, 10255]]
['db', [16096, 16098]]
['db', [16583, 16585]]
['db', [18373, 18375]]
['db', [18505, 18507]]
['db', [19046, 19048]]
['db', [23494, 23496]]
['db', [24432, 24434]]
['db', [24627, 24629]]
['db', [24706, 24708]]
['db', [24944, 24946]]
['db', [25048, 25050]]
['db', [25308, 25310]]
['db', [25601, 25603]]
['db', [25692, 25694]]
['db', [26354, 26356]]
['db', [26395, 26397]]
['db', [26571, 26573]]
['db', [26690, 26692]]
['db', [27015, 27017]]
['db', [27855, 27857]]
['db', [28783, 28785]]
['db', [29721, 29723]]
['db', [29916, 29918]]
['db', [29995, 29997]]
['db', [30233, 30235]]
['db', [30337, 30339]]
['db', [30597, 30599]]
['db', [30890, 30892]]
['db', [30981, 30983]]
['db', [31643, 31645]]
['db', [31684, 31686]]
['db', [31860, 31862]]
['db', [31979, 31981]]
['db', [32304, 32306]]
['db', [33144, 33146]]
['db', [34064, 34066]]
['db', [34708, 34710]]
['db', [35647, 35649]]
['db', [35842, 35844]]
['db', [35921, 35923]]
['db', [36159, 36161]]
['db', [36263, 36265]]
['db', [36886, 36888]]
['db', [37081, 37083]]
['db', [37160, 37162]]
['db', [37398, 37400]]
['db', [37502, 37504]]
['db', [37763, 37765]]
['db', [38056, 38058]]
['db', [38147, 38149]]
['db', [38809, 38811]]
['db', [38850, 38852]]
['db', [38976, 38978]]
['db', [39269, 39271]]
['db', [39360, 39362]]
['db', [40022, 40024]]
['db', [40063, 40065]]
['db', [40240, 40242]]
['db', [40359, 40361]]
['db', [40684, 40686]]
['db', [41384, 41386]]
['db', [41503, 41505]]
['db', [41828, 41830]]
['db', [42669, 42671]]
['db', [43166, 43168]]
['db', [49912, 49914]]
['db', [57275, 57277]]
['db', [59471, 59473]]
['db', [59504, 59506]]
['db', [59797, 59799]]
['db', [60248, 60250]]
['db', [60514, 60516]]
['db', [61336, 61338]]
['db', [61617, 61619]]
['db', [61857, 61859]]
['db', [62088, 62090]]
['db', [62164, 62166]]
['db', [62801, 62803]]
['db', [62806, 62808]]
['db', [63163, 63165]]
['db', [63928, 63930]]
['db', [63961, 63963]]
['db', [64254, 64256]]
['db', [64705, 64707]]
['db', [64971, 64973]]
['db', [65793, 65795]]
['db', [66074, 66076]]
['db', [66314, 66316]]
['db', [66545, 66547]]
['db', [66621, 66623]]
['db', [67258, 67260]]
['db', [67263, 67265]]
['db', [67620, 67622]]
['plasma', [727, 733]]
['plasma', [10064, 10070]]
['plasma', [18857, 18863]]
['plasma', [26499, 26505]]
['plasma', [26610, 26616]]
['plasma', [26650, 26656]]
['plasma', [31788, 31794]]
['plasma', [31899, 31905]]
['plasma', [31939, 31945]]
['plasma', [40168, 40174]]
['plasma', [40279, 40285]]
['plasma', [40319, 40325]]
['plasma', [41312, 41318]]
['plasma', [41423, 41429]]
['plasma', [41463, 41469]]
['plasma', [49772, 49778]]
['plasma', [57135, 57141]]
['dce-mri', [775, 782]]
['dce-mri', [1345, 1352]]
['dce-mri', [1440, 1447]]
['dce-mri', [1643, 1650]]
['dce-mri', [4316, 4323]]
['dce-mri', [11216, 11223]]
['dce-mri', [11252, 11259]]
['dce-mri', [11542, 11549]]
['dce-mri', [13080, 13087]]
['dce-mri', [20011, 20018]]
['dce-mri', [20047, 20054]]
['dce-mri', [20337, 20344]]
['dce-mri', [21876, 21883]]
['dce-mri', [27644, 27651]]
['dce-mri', [32933, 32940]]
['dce-mri', [42458, 42465]]
['dce-mri', [42955, 42962]]
['dce-mri', [45453, 45460]]
['dce-mri', [50598, 50605]]
['dce-mri', [52816, 52823]]
['dce-mri', [57961, 57968]]
['dce-mri', [61143, 61150]]
['dce-mri', [65600, 65607]]
['vcam-1', [1108, 1114]]
['vcam-1', [1265, 1271]]
['vcam-1', [1589, 1595]]
['vcam-1', [1751, 1757]]
['vcam-1', [2295, 2301]]
['vcam-1', [2383, 2389]]
['vcam-1', [2573, 2579]]
['vcam-1', [2687, 2693]]
['vcam-1', [10168, 10174]]
['vcam-1', [10696, 10702]]
['vcam-1', [13035, 13041]]
['vcam-1', [18961, 18967]]
['vcam-1', [19489, 19495]]
['vcam-1', [21831, 21837]]
['vcam-1', [26868, 26874]]
['vcam-1', [26976, 26982]]
['vcam-1', [28210, 28216]]
['vcam-1', [28518, 28524]]
['vcam-1', [32157, 32163]]
['vcam-1', [32265, 32271]]
['vcam-1', [33499, 33505]]
['vcam-1', [33807, 33813]]
['vcam-1', [40537, 40543]]
['vcam-1', [40645, 40651]]
['vcam-1', [41681, 41687]]
['vcam-1', [41789, 41795]]
['vcam-1', [43522, 43528]]
['vcam-1', [43830, 43836]]
['vcam-1', [44071, 44077]]
['vcam-1', [44379, 44385]]
['vcam-1', [47009, 47015]]
['vcam-1', [47341, 47347]]
['vcam-1', [47467, 47473]]
['vcam-1', [47636, 47642]]
['vcam-1', [48085, 48091]]
['vcam-1', [49183, 49189]]
['vcam-1', [49418, 49424]]
['vcam-1', [54372, 54378]]
['vcam-1', [54704, 54710]]
