genia tagger: 10261['t1d', [60, 63]]
['t1d', [264, 267]]
['t1d', [612, 615]]
['t1d', [643, 646]]
['t1d', [1144, 1147]]
['t1d', [1563, 1566]]
['t1d', [2240, 2243]]
['t1d', [2331, 2334]]
['t1d', [2482, 2485]]
['t1d', [3400, 3403]]
['t1d', [4417, 4420]]
['t1d', [4644, 4647]]
['t1d', [6163, 6166]]
['t1d', [6583, 6586]]
['t1d', [7773, 7776]]
['t1d', [16638, 16641]]
['t1d', [24798, 24801]]
['t1d', [25554, 25557]]
['t1d', [29258, 29261]]
['t1d', [29325, 29328]]
['t1d', [33286, 33289]]
['t1d', [34042, 34045]]
['t1d', [37746, 37749]]
['t1d', [37813, 37816]]
['t1d', [41766, 41769]]
['t1d', [42522, 42525]]
['t1d', [43495, 43498]]
['t1d', [44251, 44254]]
['t1d', [50586, 50589]]
['t1d', [50653, 50656]]
['t1d', [54710, 54713]]
['t1d', [54777, 54780]]
['t1d', [58843, 58846]]
['t1d', [58963, 58966]]
['t1d', [59156, 59159]]
['t1d', [59535, 59538]]
['t1d', [59721, 59724]]
['t1d', [61346, 61349]]
['t1d', [61437, 61440]]
['t1d', [62665, 62668]]
['t1d', [64026, 64029]]
['t1d', [65046, 65049]]
['t1d', [66294, 66297]]
['t1d', [66414, 66417]]
['t1d', [66607, 66610]]
['t1d', [66986, 66989]]
['t1d', [67172, 67175]]
['t1d', [68797, 68800]]
['t1d', [68888, 68891]]
['t1d', [70116, 70119]]
['t1d', [71477, 71480]]
['t1d', [72497, 72500]]
['insulin', [896, 903]]
['insulin', [1690, 1697]]
['insulin', [1883, 1890]]
['insulin', [2542, 2549]]
['insulin', [2662, 2669]]
['insulin', [2847, 2854]]
['insulin', [3032, 3039]]
['insulin', [5914, 5921]]
['insulin', [6710, 6717]]
['insulin', [6903, 6910]]
['insulin', [8076, 8083]]
['insulin', [16941, 16948]]
['insulin', [26437, 26444]]
['insulin', [26598, 26605]]
['insulin', [26936, 26943]]
['insulin', [27392, 27399]]
['insulin', [27480, 27487]]
['insulin', [27705, 27712]]
['insulin', [29095, 29102]]
['insulin', [29382, 29389]]
['insulin', [29610, 29617]]
['insulin', [32503, 32510]]
['insulin', [34925, 34932]]
['insulin', [35086, 35093]]
['insulin', [35424, 35431]]
['insulin', [35880, 35887]]
['insulin', [35968, 35975]]
['insulin', [36193, 36200]]
['insulin', [37583, 37590]]
['insulin', [37870, 37877]]
['insulin', [38098, 38105]]
['insulin', [40991, 40998]]
['insulin', [43405, 43412]]
['insulin', [45134, 45141]]
['insulin', [45296, 45303]]
['insulin', [45634, 45641]]
['insulin', [46090, 46097]]
['insulin', [46178, 46185]]
['insulin', [46403, 46410]]
['insulin', [47793, 47800]]
['insulin', [47925, 47932]]
['insulin', [48263, 48270]]
['insulin', [48719, 48726]]
['insulin', [48807, 48814]]
['insulin', [49032, 49039]]
['insulin', [50422, 50429]]
['insulin', [50710, 50717]]
['insulin', [50938, 50945]]
['insulin', [53831, 53838]]
['insulin', [54834, 54841]]
['insulin', [55062, 55069]]
['insulin', [57955, 57962]]
['insulin', [58883, 58890]]
['insulin', [59459, 59466]]
['insulin', [59672, 59679]]
['insulin', [61928, 61935]]
['insulin', [62845, 62852]]
['insulin', [63209, 63216]]
['insulin', [63345, 63352]]
['insulin', [63751, 63758]]
['insulin', [66334, 66341]]
['insulin', [66910, 66917]]
['insulin', [67123, 67130]]
['insulin', [69379, 69386]]
['insulin', [70296, 70303]]
['insulin', [70660, 70667]]
