genia tagger: 13263['nuclear', [31, 38]]
['nuclear', [178, 185]]
['nuclear', [2047, 2054]]
['nuclear', [2837, 2844]]
['nuclear', [3178, 3185]]
['nuclear', [3536, 3543]]
['nuclear', [6546, 6553]]
['nuclear', [6778, 6785]]
['nuclear', [7116, 7123]]
['nuclear', [7881, 7888]]
['nuclear', [8171, 8178]]
['nuclear', [37470, 37477]]
['receptor', [39, 47]]
['receptor', [186, 194]]
['receptor', [451, 459]]
['receptor', [2093, 2101]]
['receptor', [2304, 2312]]
['receptor', [2384, 2392]]
['receptor', [2408, 2416]]
['receptor', [2479, 2487]]
['receptor', [2845, 2853]]
['receptor', [2876, 2884]]
['receptor', [3186, 3194]]
['receptor', [3544, 3552]]
['receptor', [9478, 9486]]
['receptor', [9512, 9520]]
['receptor', [10394, 10402]]
['receptor', [11356, 11364]]
['receptor', [12569, 12577]]
['receptor', [12637, 12645]]
['receptor', [13277, 13285]]
['receptor', [19402, 19410]]
['receptor', [19435, 19443]]
['receptor', [20059, 20067]]
['receptor', [22663, 22671]]
['receptor', [22705, 22713]]
['receptor', [36267, 36275]]
['receptor', [36297, 36305]]
['receptor', [36987, 36995]]
['receptor', [37478, 37486]]
['co-activator', [48, 60]]
['co-activator', [195, 207]]
['co-activator', [2102, 2114]]
['co-activator', [2313, 2325]]
['co-activator', [2428, 2440]]
['co-activator', [2769, 2781]]
['co-activator', [3663, 3675]]
['co-activator', [9641, 9653]]
['co-activator', [12838, 12850]]
['co-activator', [13844, 13856]]
['co-activator', [16608, 16620]]
['co-activator', [18028, 18040]]
['co-activator', [27373, 27385]]
['co-activator', [28508, 28520]]
['co-activator', [29902, 29914]]
['co-activator', [32950, 32962]]
['co-activator', [33204, 33216]]
['co-activator', [35400, 35412]]
['src-3', [136, 141]]
['src-3', [2289, 2294]]
['ncoa-3', [146, 152]]
['ncoa-3', [2068, 2074]]
['p160', [173, 177]]
['p160', [2080, 2084]]
['p160', [12833, 12837]]
['family', [208, 214]]
['family', [486, 492]]
['family', [2121, 2127]]
['family', [3030, 3036]]
['family', [12086, 12092]]
['family', [12652, 12658]]
['family', [18157, 18163]]
['family', [22639, 22645]]
['family', [22695, 22701]]
['family', [22928, 22934]]
['family', [23004, 23010]]
['family', [24463, 24469]]
['oncogene', [246, 254]]
['aib1', [61, 65]]
['aib1', [83, 87]]
['aib1', [283, 287]]
['aib1', [387, 391]]
['aib1', [672, 676]]
['aib1', [728, 732]]
['aib1', [835, 839]]
['aib1', [905, 909]]
['aib1', [1120, 1124]]
['aib1', [1177, 1181]]
['aib1', [1347, 1351]]
['aib1', [1654, 1658]]
['aib1', [1900, 1904]]
['aib1', [1996, 2000]]
['aib1', [2025, 2029]]
['aib1', [2246, 2250]]
['aib1', [2539, 2543]]
['aib1', [2608, 2612]]
['aib1', [2743, 2747]]
['aib1', [3447, 3451]]
['aib1', [3504, 3508]]
['aib1', [3658, 3662]]
['aib1', [3965, 3969]]
['aib1', [4195, 4199]]
['aib1', [4310, 4314]]
['aib1', [4387, 4391]]
['aib1', [4648, 4652]]
['aib1', [4747, 4751]]
['aib1', [4840, 4844]]
['aib1', [4987, 4991]]
['aib1', [5095, 5099]]
['aib1', [5166, 5170]]
['aib1', [5283, 5287]]
['aib1', [5330, 5334]]
['aib1', [5532, 5536]]
['aib1', [5796, 5800]]
['aib1', [5952, 5956]]
['aib1', [6124, 6128]]
['aib1', [6324, 6328]]
['aib1', [6492, 6496]]
['aib1', [6564, 6568]]
['aib1', [6681, 6685]]
['aib1', [6795, 6799]]
['aib1', [6904, 6908]]
['aib1', [6960, 6964]]
['aib1', [7000, 7004]]
['aib1', [7124, 7128]]
['aib1', [7243, 7247]]
['aib1', [7302, 7306]]
['aib1', [7489, 7493]]
['aib1', [7536, 7540]]
['aib1', [7643, 7647]]
['aib1', [7715, 7719]]
['aib1', [7778, 7782]]
['aib1', [7796, 7800]]
['aib1', [7876, 7880]]
['aib1', [7925, 7929]]
['aib1', [8166, 8170]]
['aib1', [8196, 8200]]
['aib1', [8292, 8296]]
['aib1', [8481, 8485]]
['aib1', [8709, 8713]]
['aib1', [9008, 9012]]
['aib1', [9298, 9302]]
['aib1', [9406, 9410]]
['aib1', [9631, 9635]]
['aib1', [9749, 9753]]
['aib1', [9842, 9846]]
['aib1', [9971, 9975]]
['aib1', [10214, 10218]]
['aib1', [10373, 10377]]
['aib1', [10566, 10570]]
['aib1', [10615, 10619]]
['aib1', [10734, 10738]]
['aib1', [10853, 10857]]
['aib1', [11080, 11084]]
['aib1', [11121, 11125]]
['aib1', [12208, 12212]]
['aib1', [12278, 12282]]
['aib1', [12870, 12874]]
['aib1', [13154, 13158]]
['aib1', [13239, 13243]]
['aib1', [13763, 13767]]
['aib1', [13839, 13843]]
['aib1', [13929, 13933]]
['aib1', [14088, 14092]]
['aib1', [14592, 14596]]
['aib1', [15038, 15042]]
['aib1', [15238, 15242]]
['aib1', [15480, 15484]]
['aib1', [15642, 15646]]
