genia tagger: 2581['adiponectin', [96, 107]]
['adiponectin', [154, 165]]
['adiponectin', [968, 979]]
['adiponectin', [1480, 1491]]
['adiponectin', [1514, 1525]]
['adiponectin', [1621, 1632]]
['adiponectin', [5782, 5793]]
['adiponectin', [5955, 5966]]
['adiponectin', [11162, 11173]]
['adiponectin', [11335, 11346]]
['adiponectin', [29205, 29216]]
['adiponectin', [33301, 33312]]
['\\(', [166, 168]]
['\\(', [251, 253]]
['\\(', [302, 304]]
['\\(', [980, 982]]
['\\(', [1043, 1045]]
['\\(', [1251, 1253]]
['\\(', [1409, 1411]]
['\\(', [1503, 1505]]
['\\(', [1553, 1555]]
['\\(', [1662, 1664]]
['\\(', [1890, 1892]]
['\\(', [1943, 1945]]
['\\(', [2031, 2033]]
['\\(', [2138, 2140]]
['\\(', [2224, 2226]]
['\\(', [2266, 2268]]
['\\(', [2463, 2465]]
['\\(', [2517, 2519]]
['\\(', [2523, 2525]]
['\\(', [2587, 2589]]
['\\(', [2646, 2648]]
['\\(', [2698, 2700]]
['\\(', [2941, 2943]]
['\\(', [3671, 3673]]
['\\(', [3722, 3724]]
['\\(', [3859, 3861]]
['\\(', [3991, 3993]]
['\\(', [4044, 4046]]
['\\(', [4092, 4094]]
['\\(', [4138, 4140]]
['\\(', [4202, 4204]]
['\\(', [4257, 4259]]
['\\(', [4288, 4290]]
['\\(', [4953, 4955]]
['\\(', [5044, 5046]]
['\\(', [5518, 5520]]
['\\(', [5563, 5565]]
['\\(', [5729, 5731]]
['\\(', [5879, 5881]]
['\\(', [5911, 5913]]
['\\(', [6000, 6002]]
['\\(', [6096, 6098]]
['\\(', [6127, 6129]]
['\\(', [6221, 6223]]
['\\(', [6256, 6258]]
['\\(', [6292, 6294]]
['\\(', [6306, 6308]]
['\\(', [6455, 6457]]
['\\(', [6605, 6607]]
['\\(', [6969, 6971]]
['\\(', [7144, 7146]]
['\\(', [7259, 7261]]
['\\(', [7488, 7490]]
['\\(', [7612, 7614]]
['\\(', [7684, 7686]]
['\\(', [7825, 7827]]
['\\(', [7921, 7923]]
['\\(', [8239, 8241]]
['\\(', [8294, 8296]]
['\\(', [8402, 8404]]
['\\(', [8492, 8494]]
['\\(', [8699, 8701]]
['\\(', [8782, 8784]]
['\\(', [8888, 8890]]
['\\(', [9236, 9238]]
['\\(', [9368, 9370]]
['\\(', [9421, 9423]]
['\\(', [9470, 9472]]
['\\(', [9516, 9518]]
['\\(', [9580, 9582]]
['\\(', [9635, 9637]]
['\\(', [9666, 9668]]
['\\(', [10332, 10334]]
['\\(', [10423, 10425]]
['\\(', [10898, 10900]]
['\\(', [10943, 10945]]
['\\(', [11109, 11111]]
['\\(', [11259, 11261]]
['\\(', [11291, 11293]]
['\\(', [11380, 11382]]
['\\(', [11476, 11478]]
['\\(', [11507, 11509]]
['\\(', [11601, 11603]]
['\\(', [11636, 11638]]
['\\(', [11672, 11674]]
['\\(', [11686, 11688]]
['\\(', [11835, 11837]]
['\\(', [11985, 11987]]
['\\(', [12349, 12351]]
['\\(', [12524, 12526]]
['\\(', [12639, 12641]]
['\\(', [12869, 12871]]
['\\(', [12993, 12995]]
['\\(', [13065, 13067]]
['\\(', [13206, 13208]]
['\\(', [13302, 13304]]
['\\(', [13621, 13623]]
['\\(', [13676, 13678]]
['\\(', [13784, 13786]]
['\\(', [13874, 13876]]
['\\(', [14081, 14083]]
['\\(', [14164, 14166]]
['\\(', [14270, 14272]]
['\\(', [14697, 14699]]
['\\(', [15275, 15277]]
['\\(', [15627, 15629]]
['\\(', [16170, 16172]]
['\\(', [16270, 16272]]
['\\(', [16407, 16409]]
['\\(', [16881, 16883]]
['\\(', [16982, 16984]]
['\\(', [17029, 17031]]
['\\(', [17062, 17064]]
['\\(', [17439, 17441]]
['\\(', [17591, 17593]]
['\\(', [17627, 17629]]
['\\(', [17767, 17769]]
['\\(', [17791, 17793]]
['\\(', [18111, 18113]]
['\\(', [18689, 18691]]
['\\(', [19041, 19043]]
['\\(', [19584, 19586]]
['\\(', [19684, 19686]]
['\\(', [19821, 19823]]
['\\(', [20295, 20297]]
['\\(', [20396, 20398]]
['\\(', [20443, 20445]]
['\\(', [20476, 20478]]
['\\(', [20853, 20855]]
['\\(', [21005, 21007]]
['\\(', [21041, 21043]]
['\\(', [21181, 21183]]
['\\(', [21205, 21207]]
['\\(', [21514, 21516]]
['\\(', [22092, 22094]]
['\\(', [22362, 22364]]
['\\(', [22940, 22942]]
['\\(', [23293, 23295]]
['\\(', [23836, 23838]]
['\\(', [23936, 23938]]
['\\(', [24073, 24075]]
['\\(', [24354, 24356]]
['\\(', [24897, 24899]]
['\\(', [24997, 24999]]
['\\(', [25134, 25136]]
['\\(', [25609, 25611]]
['\\(', [25710, 25712]]
['\\(', [25757, 25759]]
['\\(', [25790, 25792]]
['\\(', [26167, 26169]]
['\\(', [26319, 26321]]
['\\(', [26355, 26357]]
['\\(', [26495, 26497]]
['\\(', [26519, 26521]]
['\\(', [27105, 27107]]
['\\(', [27206, 27208]]
['\\(', [27253, 27255]]
['\\(', [27286, 27288]]
['\\(', [27663, 27665]]
['\\(', [27815, 27817]]
['\\(', [27851, 27853]]
['\\(', [27991, 27993]]
['\\(', [28015, 28017]]
['\\(', [28388, 28390]]
['\\(', [28555, 28557]]
['\\(', [28666, 28668]]
['\\(', [28750, 28752]]
['\\(', [29156, 29158]]
['\\(', [29273, 29275]]
['\\(', [29683, 29685]]
['\\(', [29777, 29779]]
['\\(', [29979, 29981]]
