genia tagger: 19177['foreign', [138, 145]]
['foreign', [853, 860]]
['foreign', [910, 917]]
['foreign', [10012, 10019]]
['foreign', [10339, 10346]]
['foreign', [11551, 11558]]
['foreign', [11737, 11744]]
['foreign', [11783, 11790]]
['foreign', [14290, 14297]]
['foreign', [14322, 14329]]
['foreign', [15808, 15815]]
['foreign', [17537, 17544]]
['foreign', [18973, 18980]]
['foreign', [19055, 19062]]
['foreign', [19183, 19190]]
['foreign', [19358, 19365]]
['foreign', [19577, 19584]]
['foreign', [19729, 19736]]
['foreign', [19884, 19891]]
['foreign', [20082, 20089]]
['foreign', [20148, 20155]]
['foreign', [21050, 21057]]
['foreign', [21145, 21152]]
['foreign', [21273, 21280]]
['foreign', [26890, 26897]]
['foreign', [26972, 26979]]
['foreign', [27100, 27107]]
['foreign', [27275, 27282]]
['foreign', [27494, 27501]]
['foreign', [27646, 27653]]
['foreign', [27801, 27808]]
['foreign', [27999, 28006]]
['foreign', [28065, 28072]]
['foreign', [28967, 28974]]
['foreign', [29062, 29069]]
['foreign', [29190, 29197]]
['foreign', [37670, 37677]]
['foreign', [38047, 38054]]
['foreign', [47201, 47208]]
['foreign', [47336, 47343]]
['foreign', [47591, 47598]]
['foreign', [47761, 47768]]
['foreign', [47825, 47832]]
['foreign', [48460, 48467]]
['foreign', [53289, 53296]]
['foreign', [53666, 53673]]
['foreign', [62820, 62827]]
['foreign', [62955, 62962]]
['foreign', [63210, 63217]]
['foreign', [63380, 63387]]
['foreign', [63444, 63451]]
['foreign', [64079, 64086]]
['foreign', [69304, 69311]]
['foreign', [69381, 69388]]
['foreign', [69624, 69631]]
['foreign', [69724, 69731]]
['foreign', [72119, 72126]]
['foreign', [72212, 72219]]
['foreign', [72308, 72315]]
['foreign', [72751, 72758]]
['foreign', [72849, 72856]]
['foreign', [74821, 74828]]
['foreign', [75937, 75944]]
['foreign', [75989, 75996]]
['foreign', [76042, 76049]]
['foreign', [76482, 76489]]
['foreign', [76580, 76587]]
['foreign', [78151, 78158]]
['foreign', [79203, 79210]]
['foreign', [79250, 79257]]
['foreign', [79297, 79304]]
['foreign', [79734, 79741]]
['foreign', [79832, 79839]]
['foreign', [83120, 83127]]
['foreign', [83218, 83225]]
['foreign', [87423, 87430]]
['foreign', [87500, 87507]]
['foreign', [87743, 87750]]
['foreign', [87843, 87850]]
['foreign', [90238, 90245]]
['foreign', [90331, 90338]]
['foreign', [90427, 90434]]
['foreign', [90870, 90877]]
['foreign', [90968, 90975]]
['foreign', [92940, 92947]]
['foreign', [94056, 94063]]
['foreign', [94108, 94115]]
['foreign', [94161, 94168]]
['foreign', [94601, 94608]]
['foreign', [94699, 94706]]
['foreign', [96270, 96277]]
['foreign', [97322, 97329]]
['foreign', [97369, 97376]]
['foreign', [97416, 97423]]
['foreign', [97853, 97860]]
['foreign', [97951, 97958]]
['foreign', [101239, 101246]]
['foreign', [101337, 101344]]
['born', [146, 150]]
['born', [861, 865]]
['born', [918, 922]]
['born', [9994, 9998]]
['born', [10020, 10024]]
['born', [10042, 10046]]
['born', [10347, 10351]]
['born', [10442, 10446]]
['born', [11086, 11090]]
['born', [11204, 11208]]
['born', [11559, 11563]]
['born', [11745, 11749]]
['born', [11791, 11795]]
['born', [14298, 14302]]
['born', [14330, 14334]]
['born', [15816, 15820]]
['born', [17545, 17549]]
['born', [18358, 18362]]
['born', [18554, 18558]]
['born', [18592, 18596]]
['born', [18981, 18985]]
['born', [19063, 19067]]
['born', [19191, 19195]]
['born', [19236, 19240]]
['born', [19366, 19370]]
['born', [19585, 19589]]
['born', [19737, 19741]]
['born', [19892, 19896]]
['born', [20090, 20094]]
['born', [20156, 20160]]
['born', [21058, 21062]]
['born', [21153, 21157]]
['born', [21281, 21285]]
['born', [26275, 26279]]
['born', [26471, 26475]]
['born', [26509, 26513]]
['born', [26898, 26902]]
['born', [26980, 26984]]
['born', [27108, 27112]]
['born', [27153, 27157]]
['born', [27283, 27287]]
['born', [27502, 27506]]
['born', [27654, 27658]]
['born', [27809, 27813]]
['born', [28007, 28011]]
['born', [28073, 28077]]
['born', [28975, 28979]]
['born', [29070, 29074]]
['born', [29198, 29202]]
['born', [36154, 36158]]
['born', [36244, 36248]]
['born', [37678, 37682]]
['born', [38055, 38059]]
['born', [42590, 42594]]
['born', [47209, 47213]]
['born', [47344, 47348]]
['born', [47356, 47360]]
['born', [47599, 47603]]
['born', [47769, 47773]]
['born', [47833, 47837]]
['born', [48468, 48472]]
['born', [48995, 48999]]
['born', [51773, 51777]]
['born', [51863, 51867]]
['born', [53297, 53301]]
['born', [53674, 53678]]
['born', [58209, 58213]]
['born', [62828, 62832]]
['born', [62963, 62967]]
['born', [62975, 62979]]
['born', [63218, 63222]]
['born', [63388, 63392]]
['born', [63452, 63456]]
['born', [64087, 64091]]
['born', [64614, 64618]]
['born', [65574, 65578]]
['born', [65638, 65642]]
['born', [69312, 69316]]
['born', [69389, 69393]]
['born', [69632, 69636]]
['born', [69732, 69736]]
['born', [72050, 72054]]
['born', [72127, 72131]]
['born', [72220, 72224]]
['born', [72316, 72320]]
['born', [72759, 72763]]
['born', [72857, 72861]]
['born', [74829, 74833]]
['born', [75945, 75949]]
['born', [75997, 76001]]
['born', [76050, 76054]]
['born', [76093, 76097]]
['born', [76490, 76494]]
['born', [76588, 76592]]
['born', [78159, 78163]]
['born', [79211, 79215]]
['born', [79258, 79262]]
['born', [79305, 79309]]
['born', [79341, 79345]]
['born', [79742, 79746]]
['born', [79840, 79844]]
['born', [83128, 83132]]
['born', [83226, 83230]]
['born', [83693, 83697]]
['born', [83757, 83761]]
['born', [87431, 87435]]
['born', [87508, 87512]]
['born', [87751, 87755]]
['born', [87851, 87855]]
['born', [90169, 90173]]
['born', [90246, 90250]]
['born', [90339, 90343]]
['born', [90435, 90439]]
['born', [90878, 90882]]
['born', [90976, 90980]]
['born', [92948, 92952]]
['born', [94064, 94068]]
['born', [94116, 94120]]
['born', [94169, 94173]]
['born', [94212, 94216]]
['born', [94609, 94613]]
['born', [94707, 94711]]
['born', [96278, 96282]]
['born', [97330, 97334]]
['born', [97377, 97381]]
['born', [97424, 97428]]
['born', [97460, 97464]]
['born', [97861, 97865]]
['born', [97959, 97963]]
['born', [101247, 101251]]
['born', [101345, 101349]]
['population', [151, 161]]
['population', [2138, 2148]]
['population', [5524, 5534]]
['population', [7302, 7312]]
['population', [7852, 7862]]
['population', [15191, 15201]]
['population', [16920, 16930]]
['population', [38304, 38314]]
['population', [43190, 43200]]
['population', [46362, 46372]]
['population', [46502, 46512]]
['population', [47168, 47178]]
['population', [48690, 48700]]
['population', [53923, 53933]]
['population', [58809, 58819]]
['population', [61981, 61991]]
['population', [62121, 62131]]
['population', [62787, 62797]]
['population', [64309, 64319]]
['harmful', [4819, 4826]]
['products', [4827, 4835]]
['products', [66541, 66549]]
['products', [84660, 84668]]
['ses', [6512, 6515]]
['ses', [7597, 7600]]
['ses', [7680, 7683]]
['ses', [8919, 8922]]
['ses', [9094, 9097]]
['ses', [9774, 9777]]
['ses', [13394, 13397]]
['ses', [13433, 13436]]
['ses', [14204, 14207]]
['ses', [15929, 15932]]
['ses', [17658, 17661]]
['ses', [36642, 36645]]
['ses', [52261, 52264]]
['ses', [69116, 69119]]
['ses', [87235, 87238]]
