genia tagger: 0

spacy + metamap: 13150['deficits', [0, 8]]
['deficits', [61842, 61850]]
['deficits', [65151, 65159]]
['deficits', [67892, 67900]]
['deficits', [71116, 71124]]
['deficits', [75847, 75855]]
['deficits', [79072, 79080]]
['deficits', [82751, 82759]]
['irregular', [12, 21]]
['irregular', [327, 336]]
['irregular', [700, 709]]
['irregular', [922, 931]]
['irregular', [1215, 1224]]
['irregular', [1529, 1538]]
['irregular', [1864, 1873]]
['irregular', [2114, 2123]]
['irregular', [2808, 2817]]
['irregular', [2836, 2845]]
['irregular', [4795, 4804]]
['irregular', [5199, 5208]]
['irregular', [5279, 5288]]
['irregular', [5439, 5448]]
['irregular', [5803, 5812]]
['irregular', [6303, 6312]]
['irregular', [6398, 6407]]
['irregular', [6471, 6480]]
['irregular', [6818, 6827]]
['irregular', [8487, 8496]]
['irregular', [10583, 10592]]
['irregular', [10958, 10967]]
['irregular', [12122, 12131]]
['irregular', [12150, 12159]]
['irregular', [14110, 14119]]
['irregular', [14515, 14524]]
['irregular', [14595, 14604]]
['irregular', [14755, 14764]]
['irregular', [15119, 15128]]
['irregular', [15620, 15629]]
['irregular', [15715, 15724]]
['irregular', [15788, 15797]]
['irregular', [16135, 16144]]
['irregular', [17805, 17814]]
['irregular', [19901, 19910]]
['irregular', [20276, 20285]]
['irregular', [20845, 20854]]
['irregular', [21112, 21121]]
['irregular', [21260, 21269]]
['irregular', [21410, 21419]]
['irregular', [21617, 21626]]
['irregular', [22176, 22185]]
['irregular', [22307, 22316]]
['irregular', [22424, 22433]]
['irregular', [22625, 22634]]
['irregular', [22690, 22699]]
['irregular', [23148, 23157]]
['irregular', [23382, 23391]]
['irregular', [23424, 23433]]
['irregular', [23454, 23463]]
['irregular', [23832, 23841]]
['irregular', [24192, 24201]]
['irregular', [24387, 24396]]
['irregular', [24623, 24632]]
['irregular', [25011, 25020]]
['irregular', [25544, 25553]]
['irregular', [26426, 26435]]
['irregular', [26716, 26725]]
['irregular', [26983, 26992]]
['irregular', [27131, 27140]]
['irregular', [27281, 27290]]
['irregular', [27488, 27497]]
['irregular', [28047, 28056]]
['irregular', [28178, 28187]]
['irregular', [28295, 28304]]
['irregular', [28496, 28505]]
['irregular', [28561, 28570]]
['irregular', [29019, 29028]]
['irregular', [29253, 29262]]
['irregular', [29295, 29304]]
['irregular', [29325, 29334]]
['irregular', [29703, 29712]]
['irregular', [30063, 30072]]
['irregular', [30258, 30267]]
['irregular', [30494, 30503]]
['irregular', [30882, 30891]]
['irregular', [31415, 31424]]
['irregular', [32297, 32306]]
['irregular', [32659, 32668]]
['irregular', [32807, 32816]]
['irregular', [32957, 32966]]
['irregular', [33164, 33173]]
['irregular', [33493, 33502]]
['irregular', [33641, 33650]]
['irregular', [33791, 33800]]
['irregular', [33998, 34007]]
['irregular', [34558, 34567]]
['irregular', [34689, 34698]]
['irregular', [34806, 34815]]
['irregular', [35007, 35016]]
['irregular', [35072, 35081]]
['irregular', [35530, 35539]]
['irregular', [35764, 35773]]
['irregular', [35806, 35815]]
['irregular', [35836, 35845]]
['irregular', [36214, 36223]]
['irregular', [36852, 36861]]
['irregular', [36983, 36992]]
['irregular', [37100, 37109]]
['irregular', [37301, 37310]]
['irregular', [37366, 37375]]
['irregular', [37824, 37833]]
['irregular', [38058, 38067]]
['irregular', [38100, 38109]]
['irregular', [38130, 38139]]
['irregular', [38508, 38517]]
['irregular', [38869, 38878]]
['irregular', [39064, 39073]]
['irregular', [39300, 39309]]
['irregular', [39688, 39697]]
['irregular', [40221, 40230]]
['irregular', [40500, 40509]]
['irregular', [40695, 40704]]
['irregular', [40931, 40940]]
['irregular', [41319, 41328]]
['irregular', [41852, 41861]]
['irregular', [42735, 42744]]
['irregular', [43655, 43664]]
['irregular', [44318, 44327]]
['irregular', [44387, 44396]]
['irregular', [44453, 44462]]
['irregular', [44585, 44594]]
['irregular', [44939, 44948]]
['irregular', [45319, 45328]]
['irregular', [45718, 45727]]
['irregular', [45823, 45832]]
['irregular', [45860, 45869]]
['irregular', [45946, 45955]]
['irregular', [46048, 46057]]
['irregular', [46114, 46123]]
['irregular', [46146, 46155]]
['irregular', [46287, 46296]]
['irregular', [46351, 46360]]
['irregular', [46417, 46426]]
['irregular', [46529, 46538]]
['irregular', [46640, 46649]]
['irregular', [46915, 46924]]
['irregular', [47230, 47239]]
['irregular', [47449, 47458]]
['irregular', [47725, 47734]]
['irregular', [48432, 48441]]
['irregular', [48578, 48587]]
['irregular', [48680, 48689]]
['irregular', [50207, 50216]]
['irregular', [50276, 50285]]
['irregular', [50342, 50351]]
['irregular', [50474, 50483]]
['irregular', [50828, 50837]]
['irregular', [51208, 51217]]
['irregular', [51607, 51616]]
['irregular', [51712, 51721]]
['irregular', [51749, 51758]]
['irregular', [51835, 51844]]
['irregular', [51937, 51946]]
['irregular', [52003, 52012]]
['irregular', [52035, 52044]]
['irregular', [52176, 52185]]
['irregular', [52240, 52249]]
['irregular', [52306, 52315]]
['irregular', [52418, 52427]]
['irregular', [52529, 52538]]
['irregular', [52804, 52813]]
['irregular', [53119, 53128]]
['irregular', [53338, 53347]]
['irregular', [53614, 53623]]
['irregular', [54321, 54330]]
['irregular', [54467, 54476]]
['irregular', [54569, 54578]]
['irregular', [55845, 55854]]
['irregular', [56985, 56994]]
['irregular', [57182, 57191]]
['irregular', [57469, 57478]]
['irregular', [57603, 57612]]
['irregular', [57816, 57825]]
['irregular', [58862, 58871]]
['irregular', [60730, 60739]]
['irregular', [61013, 61022]]
['irregular', [61306, 61315]]
['irregular', [61516, 61525]]
['irregular', [61832, 61841]]
['irregular', [61984, 61993]]
['irregular', [62462, 62471]]
['irregular', [62607, 62616]]
['irregular', [62678, 62687]]
['irregular', [62805, 62814]]
['irregular', [62941, 62950]]
['irregular', [63000, 63009]]
['irregular', [63677, 63686]]
['irregular', [63710, 63719]]
['irregular', [63746, 63755]]
['irregular', [64085, 64094]]
['irregular', [64392, 64401]]
['irregular', [64794, 64803]]
['irregular', [65134, 65143]]
['irregular', [65314, 65323]]
['irregular', [65510, 65519]]
['irregular', [65633, 65642]]
['irregular', [65786, 65795]]
['irregular', [65843, 65852]]
['irregular', [65963, 65972]]
['irregular', [66120, 66129]]
['irregular', [66515, 66524]]
['irregular', [66636, 66645]]
['irregular', [66890, 66899]]
['irregular', [67102, 67111]]
['irregular', [67313, 67322]]
['irregular', [67981, 67990]]
['irregular', [68242, 68251]]
['irregular', [68486, 68495]]
['irregular', [68859, 68868]]
['irregular', [69167, 69176]]
['irregular', [69202, 69211]]
['irregular', [69299, 69308]]
['irregular', [69524, 69533]]
['irregular', [69645, 69654]]
['irregular', [69714, 69723]]
['irregular', [69905, 69914]]
['irregular', [69935, 69944]]
['irregular', [69973, 69982]]
['irregular', [70412, 70421]]
['irregular', [70520, 70529]]
['irregular', [71033, 71042]]
['irregular', [71201, 71210]]
['irregular', [71423, 71432]]
['irregular', [71897, 71906]]
['irregular', [72023, 72032]]
['irregular', [72130, 72139]]
['irregular', [72346, 72355]]
['irregular', [73195, 73204]]
['irregular', [73271, 73280]]
['irregular', [73513, 73522]]
['irregular', [73670, 73679]]
['irregular', [73741, 73750]]
['irregular', [73798, 73807]]
['irregular', [73918, 73927]]
['irregular', [74075, 74084]]
['irregular', [74470, 74479]]
['irregular', [74591, 74600]]
['irregular', [74845, 74854]]
['irregular', [75057, 75066]]
['irregular', [75268, 75277]]
['irregular', [75936, 75945]]
['irregular', [76197, 76206]]
['irregular', [76441, 76450]]
['irregular', [76814, 76823]]
['irregular', [77122, 77131]]
['irregular', [77157, 77166]]
['irregular', [77254, 77263]]
['irregular', [77479, 77488]]
['irregular', [77600, 77609]]
['irregular', [77669, 77678]]
['irregular', [77860, 77869]]
['irregular', [77890, 77899]]
['irregular', [77928, 77937]]
['irregular', [78368, 78377]]
['irregular', [78476, 78485]]
['irregular', [78989, 78998]]
['irregular', [79157, 79166]]
['irregular', [79379, 79388]]
['irregular', [79853, 79862]]
['irregular', [79979, 79988]]
['irregular', [80086, 80095]]
['irregular', [80302, 80311]]
['irregular', [81152, 81161]]
['irregular', [81228, 81237]]
['irregular', [81470, 81479]]
['irregular', [81627, 81636]]
['irregular', [84071, 84080]]
['irregular', [84146, 84155]]
['irregular', [84214, 84223]]
['irregular', [84303, 84312]]
['irregular', [84814, 84823]]
['irregular', [84928, 84937]]
['irregular', [85009, 85018]]
['irregular', [85087, 85096]]
['irregular', [85156, 85165]]
['irregular', [85222, 85231]]
['irregular', [85300, 85309]]
['irregular', [85401, 85410]]
['irregular', [85541, 85550]]
['irregular', [85668, 85677]]
['irregular', [85924, 85933]]
['irregular', [86138, 86147]]
['irregular', [86213, 86222]]
['irregular', [86309, 86318]]
['irregular', [86465, 86474]]
['irregular', [86529, 86538]]
['irregular', [87004, 87013]]
['irregular', [87032, 87041]]
['irregular', [87212, 87221]]
['irregular', [87275, 87284]]
['irregular', [87378, 87387]]
['irregular', [87441, 87450]]
['irregular', [87513, 87522]]
['irregular', [87531, 87540]]
['irregular', [90057, 90066]]
['irregular', [90367, 90376]]
['irregular', [90440, 90449]]
['irregular', [90554, 90563]]
['irregular', [91613, 91622]]
['irregular', [92602, 92611]]
['irregular', [92723, 92732]]
['irregular', [93572, 93581]]
['irregular', [93659, 93668]]
['irregular', [94353, 94362]]
['irregular', [95006, 95015]]
['irregular', [95092, 95101]]
['irregular', [95741, 95750]]
['irregular', [96378, 96387]]
['irregular', [96676, 96685]]
['verbal', [22, 28]]
['verbal', [473, 479]]
['verbal', [4014, 4020]]
['verbal', [13328, 13334]]
['morphology', [29, 39]]
['morphology', [480, 490]]
['morphology', [631, 641]]
['\\/s', [96698, 96701]]
['disease patient', [72, 87]]
["s\\'", [23368, 23371]]
["s\\'", [29239, 29242]]
["s\\'", [35750, 35753]]
["s\\'", [38044, 38047]]
["s\\'", [57446, 57449]]
["s\\'", [58220, 58223]]
['studies', [89, 96]]
['studies', [43901, 43908]]
['studies', [49790, 49797]]
['studies', [64562, 64569]]
['studies', [84565, 84572]]
['english', [100, 107]]
['english', [556, 563]]
['english', [1485, 1492]]
['english', [1673, 1680]]
['english', [1830, 1837]]
['english', [1938, 1945]]
['english', [43921, 43928]]
['english', [45559, 45566]]
['english', [49810, 49817]]
['english', [51448, 51455]]
['english', [58042, 58049]]
['english', [65982, 65989]]
['english', [67786, 67793]]
['english', [69965, 69972]]
['english', [72380, 72387]]
['english', [72753, 72760]]
['english', [73059, 73066]]
['english', [73937, 73944]]
['english', [75741, 75748]]
['english', [77920, 77927]]
['english', [80336, 80343]]
['english', [80709, 80716]]
['english', [81016, 81023]]
['temporal lobe', [64592, 64605]]
['patients', [80, 88]]
['patients', [138, 146]]
['patients', [806, 814]]
['patients', [880, 888]]
['patients', [1142, 1150]]
['patients', [1295, 1303]]
['patients', [1517, 1525]]
['patients', [2244, 2252]]
['patients', [2491, 2499]]
['patients', [6066, 6074]]
['patients', [11557, 11565]]
['patients', [11804, 11812]]
['patients', [15383, 15391]]
['patients', [20797, 20805]]
['patients', [21070, 21078]]
['patients', [22148, 22156]]
['patients', [22678, 22686]]
['patients', [23361, 23369]]
['patients', [26668, 26676]]
['patients', [26941, 26949]]
['patients', [28019, 28027]]
['patients', [28549, 28557]]
['patients', [29232, 29240]]
['patients', [32617, 32625]]
['patients', [33451, 33459]]
['patients', [34530, 34538]]
['patients', [35060, 35068]]
['patients', [35743, 35751]]
['patients', [36824, 36832]]
['patients', [37354, 37362]]
['patients', [38037, 38045]]
['patients', [43991, 43999]]
['patients', [44500, 44508]]
['patients', [44847, 44855]]
['patients', [47052, 47060]]
['patients', [49880, 49888]]
['patients', [50389, 50397]]
['patients', [50736, 50744]]
['patients', [52941, 52949]]
['patients', [55734, 55742]]
['patients', [57312, 57320]]
['patients', [57439, 57447]]
['patients', [57552, 57560]]
['patients', [57726, 57734]]
['patients', [58741, 58749]]
['patients', [60876, 60884]]
['patients', [61182, 61190]]
['patients', [61425, 61433]]
['patients', [62096, 62104]]
['patients', [62157, 62165]]
['patients', [62394, 62402]]
['patients', [62540, 62548]]
['patients', [63541, 63549]]
['patients', [63639, 63647]]
['patients', [64264, 64272]]
['patients', [64573, 64581]]
['patients', [65060, 65068]]
['patients', [66592, 66600]]
['patients', [70448, 70456]]
['patients', [73309, 73317]]
['patients', [74547, 74555]]
['patients', [78404, 78412]]
['patients', [81266, 81274]]
['patients', [81680, 81688]]
['patients', [81802, 81810]]
['patients', [82391, 82399]]
['patients', [82673, 82681]]
['patients', [83682, 83690]]
['patients', [93283, 93291]]
['patients', [94778, 94786]]
['disease', [72, 79]]
['disease', [181, 188]]
['disease', [841, 848]]
['disease', [2289, 2296]]
['disease', [11602, 11609]]
['disease', [62196, 62203]]
['disease', [65104, 65111]]
['disease', [81720, 81727]]
['disease', [81907, 81914]]
['real', [215, 219]]
['real', [312, 316]]
['real', [673, 677]]
['real', [917, 921]]
['real', [946, 950]]
['real', [1040, 1044]]
['real', [2695, 2699]]
['real', [2803, 2807]]
['real', [3109, 3113]]
['real', [4772, 4776]]
['real', [4790, 4794]]
['real', [5787, 5791]]
['real', [5935, 5939]]
['real', [7635, 7639]]
['real', [8482, 8486]]
['real', [9441, 9445]]
['real', [9463, 9467]]
['real', [10553, 10557]]
['real', [10941, 10945]]
['real', [11415, 11419]]
['real', [12009, 12013]]
['real', [12117, 12121]]
['real', [12423, 12427]]
['real', [14087, 14091]]
['real', [14105, 14109]]
['real', [15103, 15107]]
['real', [15252, 15256]]
['real', [16952, 16956]]
['real', [17800, 17804]]
['real', [18759, 18763]]
['real', [18781, 18785]]
['real', [19871, 19875]]
['real', [20259, 20263]]
['real', [20733, 20737]]
['real', [20840, 20844]]
['real', [21002, 21006]]
['real', [21026, 21030]]
['real', [21813, 21817]]
['real', [21848, 21852]]
['real', [21904, 21908]]
['real', [22056, 22060]]
['real', [22098, 22102]]
['real', [26711, 26715]]
['real', [26873, 26877]]
['real', [26897, 26901]]
['real', [27684, 27688]]
['real', [27719, 27723]]
['real', [27775, 27779]]
['real', [27927, 27931]]
['real', [27969, 27973]]
['real', [32549, 32553]]
['real', [32573, 32577]]
['real', [33383, 33387]]
['real', [33407, 33411]]
['real', [34195, 34199]]
['real', [34230, 34234]]
['real', [34286, 34290]]
['real', [34438, 34442]]
['real', [34480, 34484]]
['real', [36489, 36493]]
['real', [36524, 36528]]
['real', [36580, 36584]]
['real', [36732, 36736]]
['real', [36774, 36778]]
['real', [44313, 44317]]
['real', [44789, 44793]]
['real', [45386, 45390]]
['real', [45505, 45509]]
['real', [45818, 45822]]
['real', [46141, 46145]]
['real', [46412, 46416]]
['real', [46481, 46485]]
['real', [47225, 47229]]
['real', [47444, 47448]]
['real', [48062, 48066]]
['real', [48307, 48311]]
['real', [48427, 48431]]
['real', [48573, 48577]]
['real', [48976, 48980]]
['real', [50202, 50206]]
['real', [50678, 50682]]
['real', [51275, 51279]]
['real', [51394, 51398]]
['real', [51707, 51711]]
['real', [52030, 52034]]
['real', [52301, 52305]]
['real', [52370, 52374]]
['real', [53114, 53118]]
['real', [53333, 53337]]
['real', [53951, 53955]]
['real', [54196, 54200]]
['real', [54316, 54320]]
['real', [54462, 54466]]
['real', [54865, 54869]]
['real', [55840, 55844]]
['real', [55947, 55951]]
['real', [56756, 56760]]
['real', [56878, 56882]]
['real', [57226, 57230]]
['real', [57248, 57252]]
['real', [57360, 57364]]
['real', [59145, 59149]]
['real', [60044, 60048]]
['real', [61858, 61862]]
['real', [61979, 61983]]
['real', [62488, 62492]]
['real', [62602, 62606]]
['real', [62673, 62677]]
['real', [62800, 62804]]
['real', [63672, 63676]]
['real', [63705, 63709]]
['real', [65781, 65785]]
['real', [65948, 65952]]
['real', [66105, 66109]]
['real', [68067, 68071]]
['real', [68266, 68270]]
['real', [69071, 69075]]
['real', [69197, 69201]]
['real', [70433, 70437]]
['real', [70515, 70519]]
['real', [70847, 70851]]
['real', [70954, 70958]]
['real', [71128, 71132]]
['real', [71196, 71200]]
['real', [72018, 72022]]
['real', [72073, 72077]]
['real', [73256, 73260]]
['real', [73736, 73740]]
['real', [73903, 73907]]
['real', [74060, 74064]]
['real', [76022, 76026]]
['real', [76221, 76225]]
['real', [77026, 77030]]
['real', [77152, 77156]]
['real', [78389, 78393]]
['real', [78471, 78475]]
['real', [78803, 78807]]
['real', [78910, 78914]]
['real', [79084, 79088]]
['real', [79152, 79156]]
['real', [79974, 79978]]
['real', [80029, 80033]]
['real', [81213, 81217]]
['real', [83553, 83557]]
['real', [83965, 83969]]
['real', [84028, 84032]]
['real', [85115, 85119]]
['real', [90208, 90212]]
['real', [90525, 90529]]
['real', [90879, 90883]]
['real', [92289, 92293]]
['real', [92703, 92707]]
['real', [93514, 93518]]
['real', [93567, 93571]]
['real', [93680, 93684]]
['real', [94203, 94207]]
['real', [94807, 94811]]
['real', [95558, 95562]]
['novel', [224, 229]]
['novel', [321, 326]]
['novel', [682, 687]]
['novel', [1114, 1119]]
['novel', [2917, 2922]]
['novel', [2984, 2989]]
['novel', [3144, 3149]]
['novel', [4502, 4507]]
['novel', [4810, 4815]]
['novel', [4829, 4834]]
['novel', [4916, 4921]]
['novel', [5111, 5116]]
['novel', [5169, 5174]]
['novel', [5344, 5349]]
['novel', [5400, 5405]]
['novel', [5625, 5630]]
['novel', [5762, 5767]]
['novel', [5964, 5969]]
['novel', [6133, 6138]]
['novel', [6275, 6280]]
['novel', [6496, 6501]]
['novel', [6669, 6674]]
['novel', [7163, 7168]]
['novel', [7543, 7548]]
['novel', [7937, 7942]]
['novel', [9483, 9488]]
['novel', [9506, 9511]]
['novel', [10901, 10906]]
['novel', [11052, 11057]]
['novel', [11439, 11444]]
['novel', [12231, 12236]]
['novel', [12298, 12303]]
['novel', [12458, 12463]]
['novel', [13817, 13822]]
['novel', [14125, 14130]]
['novel', [14144, 14149]]
['novel', [14232, 14237]]
['novel', [14427, 14432]]
['novel', [14485, 14490]]
['novel', [14660, 14665]]
['novel', [14716, 14721]]
['novel', [14941, 14946]]
['novel', [15078, 15083]]
['novel', [15281, 15286]]
['novel', [15450, 15455]]
['novel', [15592, 15597]]
['novel', [15813, 15818]]
['novel', [15986, 15991]]
['novel', [16480, 16485]]
['novel', [16860, 16865]]
['novel', [17254, 17259]]
['novel', [18801, 18806]]
['novel', [18824, 18829]]
['novel', [20219, 20224]]
['novel', [20370, 20375]]
['novel', [20757, 20762]]
['novel', [20879, 20884]]
['novel', [24106, 24111]]
['novel', [24131, 24136]]
['novel', [24213, 24218]]
['novel', [24277, 24282]]
['novel', [25736, 25741]]
['novel', [26750, 26755]]
['novel', [29977, 29982]]
['novel', [30002, 30007]]
['novel', [30084, 30089]]
['novel', [30148, 30153]]
['novel', [31607, 31612]]
['novel', [38783, 38788]]
['novel', [38808, 38813]]
['novel', [38890, 38895]]
['novel', [38954, 38959]]
['novel', [40414, 40419]]
['novel', [40439, 40444]]
['novel', [40521, 40526]]
['novel', [40585, 40590]]
['novel', [42045, 42050]]
['novel', [42965, 42970]]
['novel', [44447, 44452]]
['novel', [44798, 44803]]
['novel', [44925, 44930]]
['novel', [45395, 45400]]
['novel', [46431, 46436]]
['novel', [46498, 46503]]
['novel', [46695, 46700]]
['novel', [47146, 47151]]
['novel', [47553, 47558]]
['novel', [47821, 47826]]
['novel', [47948, 47953]]
['novel', [48446, 48451]]
['novel', [48770, 48775]]
['novel', [49437, 49442]]
['novel', [50336, 50341]]
['novel', [50687, 50692]]
['novel', [50814, 50819]]
['novel', [51284, 51289]]
['novel', [52320, 52325]]
['novel', [52387, 52392]]
['novel', [52584, 52589]]
['novel', [53035, 53040]]
['novel', [53442, 53447]]
['novel', [53710, 53715]]
['novel', [53837, 53842]]
['novel', [54335, 54340]]
['novel', [54659, 54664]]
['novel', [55326, 55331]]
['novel', [55859, 55864]]
['novel', [56151, 56156]]
['novel', [56836, 56841]]
['novel', [57268, 57273]]
['novel', [59163, 59168]]
['novel', [59597, 59602]]
['novel', [60062, 60067]]
['novel', [60294, 60299]]
['novel', [61108, 61113]]
['novel', [61400, 61405]]
['novel', [61911, 61916]]
['novel', [63740, 63745]]
['novel', [63922, 63927]]
['novel', [64021, 64026]]
['novel', [65858, 65863]]
['novel', [65957, 65962]]
['novel', [66114, 66119]]
['novel', [66352, 66357]]
['novel', [67655, 67660]]
['novel', [68274, 68279]]
['novel', [68377, 68382]]
['novel', [69080, 69085]]
['novel', [69216, 69221]]
['novel', [69490, 69495]]
['novel', [69575, 69580]]
['novel', [69744, 69749]]
['novel', [71314, 71319]]
['novel', [71394, 71399]]
['novel', [71417, 71422]]
['novel', [71559, 71564]]
['novel', [71712, 71717]]
['novel', [71827, 71832]]
['novel', [71891, 71896]]
['novel', [71923, 71928]]
['novel', [72340, 72345]]
['novel', [72605, 72610]]
['novel', [72689, 72694]]
['novel', [73265, 73270]]
['novel', [73813, 73818]]
['novel', [73912, 73917]]
['novel', [74069, 74074]]
['novel', [74307, 74312]]
['novel', [75610, 75615]]
['novel', [76229, 76234]]
['novel', [76332, 76337]]
['novel', [77035, 77040]]
['novel', [77171, 77176]]
['novel', [77445, 77450]]
['novel', [77530, 77535]]
['novel', [77699, 77704]]
['novel', [79270, 79275]]
['novel', [79350, 79355]]
['novel', [79373, 79378]]
['novel', [79515, 79520]]
['novel', [79668, 79673]]
['novel', [79783, 79788]]
['novel', [79847, 79852]]
['novel', [79879, 79884]]
['novel', [80296, 80301]]
['novel', [80561, 80566]]
['novel', [80645, 80650]]
['novel', [81222, 81227]]
['novel', [89831, 89836]]
['novel', [89857, 89862]]
['novel', [89916, 89921]]
['novel', [90038, 90043]]
['novel', [90124, 90129]]
['novel', [90321, 90326]]
['novel', [90393, 90398]]
['novel', [90463, 90468]]
['novel', [90817, 90822]]
['novel', [91105, 91110]]
['novel', [91557, 91562]]
['novel', [91699, 91704]]
['novel', [91771, 91776]]
['novel', [91803, 91808]]
['novel', [91872, 91877]]
['novel', [91925, 91930]]
['novel', [92488, 92493]]
['novel', [92571, 92576]]
['novel', [92679, 92684]]
['novel', [92799, 92804]]
['novel', [93549, 93554]]
['novel', [93688, 93693]]
['novel', [96267, 96272]]
['novel', [97214, 97219]]
['regular', [14, 21]]
['regular', [230, 237]]
['regular', [329, 336]]
['regular', [688, 695]]
['regular', [702, 709]]
['regular', [924, 931]]
['regular', [951, 958]]
['regular', [1045, 1052]]
['regular', [1217, 1224]]
['regular', [1252, 1259]]
['regular', [1365, 1372]]
['regular', [1433, 1440]]
['regular', [1531, 1538]]
['regular', [1573, 1580]]
['regular', [1866, 1873]]
['regular', [2102, 2109]]
['regular', [2116, 2123]]
['regular', [2700, 2707]]
['regular', [2718, 2725]]
['regular', [2810, 2817]]
['regular', [2838, 2845]]
['regular', [4777, 4784]]
['regular', [4797, 4804]]
['regular', [5140, 5147]]
['regular', [5201, 5208]]
['regular', [5259, 5266]]
['regular', [5281, 5288]]
['regular', [5379, 5386]]
['regular', [5441, 5448]]
['regular', [5503, 5510]]
['regular', [5663, 5670]]
['regular', [5805, 5812]]
['regular', [6204, 6211]]
['regular', [6305, 6312]]
['regular', [6400, 6407]]
['regular', [6473, 6480]]
['regular', [6760, 6767]]
['regular', [6820, 6827]]
['regular', [7087, 7094]]
['regular', [7262, 7269]]
['regular', [8125, 8132]]
['regular', [8489, 8496]]
['regular', [10585, 10592]]
['regular', [10946, 10953]]
['regular', [10960, 10967]]
['regular', [12014, 12021]]
['regular', [12032, 12039]]
['regular', [12124, 12131]]
['regular', [12152, 12159]]
['regular', [14092, 14099]]
['regular', [14112, 14119]]
['regular', [14456, 14463]]
['regular', [14517, 14524]]
['regular', [14575, 14582]]
['regular', [14597, 14604]]
['regular', [14695, 14702]]
['regular', [14757, 14764]]
['regular', [14819, 14826]]
['regular', [14979, 14986]]
['regular', [15121, 15128]]
['regular', [15521, 15528]]
['regular', [15622, 15629]]
['regular', [15717, 15724]]
['regular', [15790, 15797]]
['regular', [16077, 16084]]
['regular', [16137, 16144]]
['regular', [16404, 16411]]
['regular', [16579, 16586]]
['regular', [17442, 17449]]
['regular', [17807, 17814]]
['regular', [19903, 19910]]
['regular', [20264, 20271]]
['regular', [20278, 20285]]
['regular', [20847, 20854]]
['regular', [20860, 20867]]
['regular', [21114, 21121]]
['regular', [21128, 21135]]
['regular', [21262, 21269]]
['regular', [21278, 21285]]
['regular', [21412, 21419]]
['regular', [21483, 21490]]
['regular', [21609, 21616]]
['regular', [21619, 21626]]
['regular', [22178, 22185]]
['regular', [22192, 22199]]
['regular', [22309, 22316]]
['regular', [22326, 22333]]
['regular', [22426, 22433]]
['regular', [22511, 22518]]
['regular', [22617, 22624]]
['regular', [22627, 22634]]
['regular', [22692, 22699]]
['regular', [23150, 23157]]
['regular', [23223, 23230]]
['regular', [23384, 23391]]
['regular', [23426, 23433]]
['regular', [23439, 23446]]
['regular', [23456, 23463]]
['regular', [23472, 23479]]
['regular', [23834, 23841]]
['regular', [23865, 23872]]
['regular', [24194, 24201]]
['regular', [24258, 24265]]
['regular', [24389, 24396]]
['regular', [24404, 24411]]
['regular', [24625, 24632]]
['regular', [24794, 24801]]
['regular', [24996, 25003]]
