genia tagger: 10535['csf', [192, 195]]
['csf', [501, 504]]
['csf', [771, 774]]
['csf', [819, 822]]
['csf', [1005, 1008]]
['csf', [1183, 1186]]
['csf', [1354, 1357]]
['csf', [1486, 1489]]
['csf', [1604, 1607]]
['csf', [1704, 1707]]
['csf', [1856, 1859]]
['csf', [2111, 2114]]
['csf', [3121, 3124]]
['csf', [3310, 3313]]
['csf', [3383, 3386]]
['csf', [3439, 3442]]
['csf', [3628, 3631]]
['csf', [3986, 3989]]
['csf', [6176, 6179]]
['csf', [6503, 6506]]
['csf', [6670, 6673]]
['csf', [6830, 6833]]
['csf', [7832, 7835]]
['csf', [8002, 8005]]
['csf', [8024, 8027]]
['csf', [9070, 9073]]
['csf', [9464, 9467]]
['csf', [9570, 9573]]
['csf', [9627, 9630]]
['csf', [10134, 10137]]
['csf', [10395, 10398]]
['csf', [10465, 10468]]
['csf', [10548, 10551]]
['csf', [10736, 10739]]
['csf', [11962, 11965]]
['csf', [12133, 12136]]
['csf', [12155, 12158]]
['csf', [13202, 13205]]
['csf', [13596, 13599]]
['csf', [13702, 13705]]
['csf', [13759, 13762]]
['csf', [14266, 14269]]
['csf', [14528, 14531]]
['csf', [14598, 14601]]
['csf', [14681, 14684]]
['csf', [14870, 14873]]
['csf', [15185, 15188]]
['csf', [15251, 15254]]
['csf', [15484, 15487]]
['csf', [15790, 15793]]
['csf', [16071, 16074]]
['csf', [16201, 16204]]
['csf', [16295, 16298]]
['csf', [16426, 16429]]
['csf', [16699, 16702]]
['csf', [16850, 16853]]
['csf', [16993, 16996]]
['csf', [17179, 17182]]
['csf', [17250, 17253]]
['csf', [17396, 17399]]
['csf', [17650, 17653]]
['csf', [17778, 17781]]
['csf', [17932, 17935]]
['csf', [18165, 18168]]
['csf', [18434, 18437]]
['csf', [18543, 18546]]
['csf', [18759, 18762]]
['csf', [18846, 18849]]
['csf', [18935, 18938]]
['csf', [19021, 19024]]
['csf', [19159, 19162]]
['csf', [19227, 19230]]
['csf', [19296, 19299]]
['csf', [19412, 19415]]
['csf', [19567, 19570]]
['csf', [19935, 19938]]
['csf', [20330, 20333]]
['csf', [20452, 20455]]
['csf', [20790, 20793]]
['csf', [20917, 20920]]
['csf', [21137, 21140]]
['csf', [21245, 21248]]
['csf', [21548, 21551]]
['csf', [21797, 21800]]
['csf', [22261, 22264]]
['csf', [22350, 22353]]
['csf', [22529, 22532]]
['csf', [22778, 22781]]
['csf', [23299, 23302]]
['csf', [23957, 23960]]
['csf', [24096, 24099]]
['csf', [24358, 24361]]
['csf', [24634, 24637]]
['csf', [24884, 24887]]
['csf', [24985, 24988]]
['csf', [25169, 25172]]
['csf', [25734, 25737]]
['csf', [25826, 25829]]
['csf', [25985, 25988]]
['csf', [26035, 26038]]
['csf', [26178, 26181]]
['csf', [26765, 26768]]
['csf', [27081, 27084]]
['csf', [27266, 27269]]
['csf', [27332, 27335]]
['csf', [27565, 27568]]
['csf', [27871, 27874]]
['csf', [28152, 28155]]
['csf', [28282, 28285]]
['csf', [28376, 28379]]
['csf', [28507, 28510]]
['csf', [28780, 28783]]
['csf', [28931, 28934]]
['csf', [29074, 29077]]
['csf', [29260, 29263]]
['csf', [29331, 29334]]
['csf', [29477, 29480]]
['csf', [29731, 29734]]
['csf', [29859, 29862]]
['csf', [30013, 30016]]
['csf', [30246, 30249]]
['csf', [30515, 30518]]
['csf', [30624, 30627]]
['csf', [30889, 30892]]
['csf', [31122, 31125]]
