genia tagger: 4548['lbw', [2812, 2815]]
['lbw', [3237, 3240]]
['lbw', [4116, 4119]]
['lbw', [6596, 6599]]
['lbw', [6748, 6751]]
['lbw', [8724, 8727]]
['lbw', [8935, 8938]]
['lbw', [9216, 9219]]
['lbw', [9237, 9240]]
['lbw', [10317, 10320]]
['lbw', [10509, 10512]]
['lbw', [12942, 12945]]
['lbw', [15785, 15788]]
['lbw', [15948, 15951]]
['lbw', [16406, 16409]]
['lbw', [16858, 16861]]
['lbw', [17730, 17733]]
['lbw', [17978, 17981]]
['lbw', [18126, 18129]]
['lbw', [18253, 18256]]
['lbw', [18349, 18352]]
['lbw', [21061, 21064]]
['lbw', [22536, 22539]]
['lbw', [27392, 27395]]
['lbw', [28867, 28870]]
['triggering', [2983, 2993]]
['triggering', [3185, 3195]]
['triggering', [13565, 13575]]
['element', [371, 378]]
['element', [2994, 3001]]
['element', [3209, 3216]]
['element', [21985, 21992]]
['element', [28316, 28323]]
['element', [34215, 34222]]
['true', [3180, 3184]]
['exposures', [123, 132]]
['exposures', [453, 462]]
['exposures', [3196, 3205]]
['or', [120, 122]]
['or', [186, 188]]
['or', [241, 243]]
['or', [285, 287]]
['or', [615, 617]]
['or', [792, 794]]
['or', [1043, 1045]]
['or', [1096, 1098]]
['or', [1290, 1292]]
['or', [1412, 1414]]
['or', [1456, 1458]]
['or', [1533, 1535]]
['or', [1593, 1595]]
['or', [1634, 1636]]
['or', [1744, 1746]]
['or', [1771, 1773]]
['or', [1910, 1912]]
['or', [1930, 1932]]
['or', [1934, 1936]]
['or', [2041, 2043]]
['or', [2068, 2070]]
['or', [2450, 2452]]
['or', [2492, 2494]]
['or', [2691, 2693]]
['or', [2905, 2907]]
['or', [2921, 2923]]
['or', [3051, 3053]]
['or', [3106, 3108]]
['or', [3122, 3124]]
['or', [3134, 3136]]
['or', [3206, 3208]]
['or', [3222, 3224]]
['or', [3445, 3447]]
['or', [3535, 3537]]
['or', [3688, 3690]]
['or', [3779, 3781]]
['or', [4104, 4106]]
['or', [4207, 4209]]
['or', [4293, 4295]]
['or', [4375, 4377]]
