genia tagger: 3884['rip1', [0, 4]]
['rip1', [451, 455]]
['rip1', [563, 567]]
['rip1', [742, 746]]
['rip1', [876, 880]]
['rip1', [1037, 1041]]
['rip1', [1144, 1148]]
['rip1', [1347, 1351]]
['rip1', [1427, 1431]]
['rip1', [1629, 1633]]
['rip1', [3018, 3022]]
['rip1', [3164, 3168]]
['rip1', [3202, 3206]]
['rip1', [3338, 3342]]
['rip1', [3478, 3482]]
['rip1', [3683, 3687]]
['rip1', [3822, 3826]]
['rip1', [5360, 5364]]
['rip1', [5473, 5477]]
['rip1', [5494, 5498]]
['rip1', [5572, 5576]]
['rip1', [6270, 6274]]
['rip1', [6363, 6367]]
['rip1', [6459, 6463]]
['rip1', [7956, 7960]]
['rip1', [8070, 8074]]
['rip1', [8091, 8095]]
['rip1', [8169, 8173]]
['rip1', [8868, 8872]]
['rip1', [8961, 8965]]
['rip1', [9057, 9061]]
['rip1', [9131, 9135]]
['rip1', [9276, 9280]]
['rip1', [9351, 9355]]
['rip1', [9494, 9498]]
['rip1', [9595, 9599]]
['rip1', [9650, 9654]]
['rip1', [9989, 9993]]
['rip1', [10144, 10148]]
['rip1', [10230, 10234]]
['rip1', [10342, 10346]]
['rip1', [10434, 10438]]
['rip1', [10535, 10539]]
['rip1', [10595, 10599]]
['rip1', [10676, 10680]]
['rip1', [10851, 10855]]
['rip1', [10931, 10935]]
['rip1', [10972, 10976]]
['rip1', [11013, 11017]]
['rip1', [11109, 11113]]
['rip1', [11500, 11504]]
['rip1', [11642, 11646]]
['rip1', [11726, 11730]]
['rip1', [11928, 11932]]
['rip1', [12053, 12057]]
['rip1', [12155, 12159]]
['rip1', [12244, 12248]]
['rip1', [12458, 12462]]
['rip1', [12557, 12561]]
['rip1', [12644, 12648]]
['rip1', [12831, 12835]]
['rip1', [12902, 12906]]
['rip1', [12951, 12955]]
['rip1', [13054, 13058]]
['rip1', [13190, 13194]]
['rip1', [13236, 13240]]
['rip1', [13332, 13336]]
['rip1', [13415, 13419]]
['rip1', [13511, 13515]]
['rip1', [13568, 13572]]
['rip1', [13652, 13656]]
['rip1', [13803, 13807]]
['rip1', [13887, 13891]]
['rip1', [14010, 14014]]
['rip1', [14291, 14295]]
['rip1', [14383, 14387]]
['rip1', [14512, 14516]]
['rip1', [14586, 14590]]
['rip1', [14792, 14796]]
['rip1', [14865, 14869]]
['rip1', [15010, 15014]]
['rip1', [15085, 15089]]
['rip1', [15228, 15232]]
['rip1', [15329, 15333]]
['rip1', [15384, 15388]]
['rip1', [15723, 15727]]
['rip1', [15878, 15882]]
['rip1', [15964, 15968]]
['rip1', [16076, 16080]]
['rip1', [16168, 16172]]
['rip1', [16269, 16273]]
['rip1', [16329, 16333]]
['rip1', [16410, 16414]]
['rip1', [16585, 16589]]
['rip1', [16665, 16669]]
['rip1', [16707, 16711]]
['rip1', [16748, 16752]]
['rip1', [16844, 16848]]
['rip1', [17235, 17239]]
['rip1', [17378, 17382]]
['rip1', [17462, 17466]]
