genia tagger: 4647['platelets', [28, 37]]
['platelets', [351, 360]]
['platelets', [3442, 3451]]
['platelets', [3507, 3516]]
['platelets', [3617, 3626]]
['platelets', [3872, 3881]]
['platelets', [7519, 7528]]
['platelets', [7641, 7650]]
['platelets', [8130, 8139]]
['platelets', [9923, 9932]]
['platelets', [10503, 10512]]
['platelets', [10572, 10581]]
['platelets', [14287, 14296]]
['platelets', [14409, 14418]]
['platelets', [14898, 14907]]
['platelets', [16691, 16700]]
['platelets', [17272, 17281]]
['platelets', [17341, 17350]]
['platelets', [21165, 21174]]
['platelets', [21517, 21526]]
['platelets', [25119, 25128]]
['platelets', [25471, 25480]]
['platelets', [26576, 26585]]
['platelets', [28104, 28113]]
['platelets', [29109, 29118]]
['platelets', [29422, 29431]]
['platelets', [29632, 29641]]
['platelets', [29700, 29709]]
['platelets', [29824, 29833]]
['platelets', [29903, 29912]]
['platelets', [30025, 30034]]
['platelets', [31105, 31114]]
['platelets', [31512, 31521]]
['platelets', [33903, 33912]]
['platelets', [35431, 35440]]
['platelets', [36436, 36445]]
['platelets', [36749, 36758]]
['platelets', [36959, 36968]]
['platelets', [37027, 37036]]
['platelets', [37151, 37160]]
['platelets', [37230, 37239]]
['platelets', [37352, 37361]]
['platelets', [38432, 38441]]
['platelets', [38839, 38848]]
['pad', [104, 107]]
['pad', [242, 245]]
['pad', [403, 406]]
['pad', [456, 459]]
['pad', [604, 607]]
['pad', [1389, 1392]]
['pad', [1444, 1447]]
['pad', [1580, 1583]]
['pad', [1824, 1827]]
['pad', [1939, 1942]]
['pad', [2049, 2052]]
['pad', [2206, 2209]]
['pad', [2338, 2341]]
['pad', [2453, 2456]]
['pad', [2704, 2707]]
['pad', [2807, 2810]]
['pad', [3022, 3025]]
['pad', [3357, 3360]]
['pad', [3534, 3537]]
['pad', [3852, 3855]]
['pad', [4154, 4157]]
['pad', [4580, 4583]]
['pad', [4636, 4639]]
['pad', [4762, 4765]]
['pad', [5756, 5759]]
['pad', [5783, 5786]]
['pad', [5993, 5996]]
['pad', [10518, 10521]]
['pad', [10696, 10699]]
['pad', [10926, 10929]]
['pad', [11528, 11531]]
['pad', [12522, 12525]]
['pad', [12549, 12552]]
['pad', [12760, 12763]]
['pad', [17287, 17290]]
['pad', [17465, 17468]]
['pad', [17695, 17698]]
['pad', [18378, 18381]]
['pad', [18700, 18703]]
['pad', [18772, 18775]]
['pad', [18811, 18814]]
['pad', [19904, 19907]]
['pad', [20149, 20152]]
['pad', [20627, 20630]]
['pad', [20958, 20961]]
['pad', [21192, 21195]]
['pad', [22227, 22230]]
['pad', [22332, 22335]]
['pad', [22654, 22657]]
['pad', [22726, 22729]]
['pad', [22765, 22768]]
['pad', [23858, 23861]]
['pad', [24103, 24106]]
['pad', [24581, 24584]]
['pad', [24912, 24915]]
['pad', [25146, 25149]]
['pad', [26181, 26184]]
['pad', [26329, 26332]]
['pad', [26589, 26592]]
['pad', [26738, 26741]]
['pad', [27351, 27354]]
['pad', [27475, 27478]]
['pad', [27680, 27683]]
['pad', [27902, 27905]]
['pad', [27993, 27996]]
['pad', [28055, 28058]]
['pad', [28366, 28369]]
['pad', [28972, 28975]]
['pad', [29032, 29035]]
['pad', [29138, 29141]]
['pad', [29454, 29457]]
['pad', [30340, 30343]]
['pad', [30757, 30760]]
['pad', [30977, 30980]]
['pad', [31192, 31195]]
['pad', [31235, 31238]]
['pad', [31649, 31652]]
['pad', [31763, 31766]]
['pad', [31838, 31841]]
