genia tagger: 41597['mci', [979, 982]]
['mci', [1276, 1279]]
['mci', [1391, 1394]]
['mci', [1851, 1854]]
['mci', [3720, 3723]]
['mci', [4176, 4179]]
['mci', [17767, 17770]]
['mci', [18500, 18503]]
['mci', [19325, 19328]]
['mci', [21339, 21342]]
['mci', [21594, 21597]]
['mci', [24510, 24513]]
['mci', [25215, 25218]]
['mci', [25222, 25225]]
['mci', [25317, 25320]]
['mci', [25446, 25449]]
['mci', [25645, 25648]]
['mci', [25890, 25893]]
['mci', [25923, 25926]]
['mci', [25942, 25945]]
['mci', [26382, 26385]]
['mci', [26415, 26418]]
['mci', [26433, 26436]]
['mci', [26541, 26544]]
['mci', [26856, 26859]]
['mci', [26938, 26941]]
['mci', [28439, 28442]]
['mci', [29172, 29175]]
['mci', [29997, 30000]]
['mci', [32011, 32014]]
['mci', [32266, 32269]]
['mci', [35182, 35185]]
['mci', [35887, 35890]]
['mci', [35894, 35897]]
['mci', [35989, 35992]]
['mci', [36118, 36121]]
['mci', [36317, 36320]]
['mci', [36562, 36565]]
['mci', [36595, 36598]]
['mci', [36614, 36617]]
['mci', [37054, 37057]]
['mci', [37087, 37090]]
['mci', [37105, 37108]]
['mci', [37213, 37216]]
['mci', [37528, 37531]]
['mci', [37610, 37613]]
['mci', [40215, 40218]]
['mci', [40948, 40951]]
['mci', [41773, 41776]]
['mci', [43787, 43790]]
['mci', [44042, 44045]]
['mci', [46958, 46961]]
['mci', [47663, 47666]]
['mci', [47670, 47673]]
['mci', [47765, 47768]]
['mci', [47894, 47897]]
['mci', [48093, 48096]]
['mci', [48338, 48341]]
['mci', [48371, 48374]]
['mci', [48390, 48393]]
['mci', [48830, 48833]]
['mci', [48863, 48866]]
['mci', [48881, 48884]]
['mci', [48989, 48992]]
['mci', [49304, 49307]]
['mci', [49386, 49389]]
['mci', [49733, 49736]]
['mci', [50466, 50469]]
['mci', [51291, 51294]]
['mci', [53305, 53308]]
['mci', [53560, 53563]]
['mci', [56476, 56479]]
['mci', [57181, 57184]]
['mci', [57188, 57191]]
['mci', [57283, 57286]]
['mci', [57412, 57415]]
['mci', [57611, 57614]]
['mci', [57856, 57859]]
['mci', [57889, 57892]]
['mci', [57908, 57911]]
['mci', [58348, 58351]]
['mci', [58381, 58384]]
['mci', [58399, 58402]]
['mci', [58507, 58510]]
['mci', [58822, 58825]]
['mci', [58904, 58907]]
['mci', [59711, 59714]]
['mci', [60536, 60539]]
['mci', [61384, 61387]]
['mci', [62209, 62212]]
['mci', [64224, 64227]]
['mci', [64479, 64482]]
['mci', [67130, 67133]]
['mci', [67385, 67388]]
['mci', [70764, 70767]]
['mci', [71019, 71022]]
['mci', [72052, 72055]]
['mci', [72307, 72310]]
['mci', [75224, 75227]]
['mci', [75929, 75932]]
['mci', [75936, 75939]]
['mci', [76031, 76034]]
['mci', [76160, 76163]]
['mci', [76359, 76362]]
['mci', [76604, 76607]]
['mci', [76637, 76640]]
['mci', [76656, 76659]]
['mci', [77096, 77099]]
['mci', [77129, 77132]]
['mci', [77147, 77150]]
['mci', [77255, 77258]]
['mci', [77570, 77573]]
['mci', [77652, 77655]]
['mci', [79892, 79895]]
['mci', [80597, 80600]]
['mci', [80604, 80607]]
['mci', [80699, 80702]]
['mci', [80828, 80831]]
['mci', [81027, 81030]]
['mci', [81272, 81275]]
['mci', [81305, 81308]]
['mci', [81324, 81327]]
['mci', [81764, 81767]]
['mci', [81797, 81800]]
['mci', [81815, 81818]]
['mci', [81923, 81926]]
['mci', [82238, 82241]]
['mci', [82320, 82323]]
['mci', [86493, 86496]]
['mci', [87198, 87201]]
['mci', [87205, 87208]]
['mci', [87300, 87303]]
['mci', [87429, 87432]]
['mci', [87628, 87631]]
