genia tagger: 25652['sp1', [0, 3]]
['sp1', [582, 585]]
['sp1', [745, 748]]
['sp1', [953, 956]]
['sp1', [1086, 1089]]
['sp1', [2698, 2701]]
['sp1', [2933, 2936]]
['sp1', [4310, 4313]]
['sp1', [4567, 4570]]
['sp1', [4704, 4707]]
['sp1', [4861, 4864]]
['sp1', [4967, 4970]]
['sp1', [7529, 7532]]
['sp1', [8695, 8698]]
['sp1', [9720, 9723]]
['sp1', [9871, 9874]]
['sp1', [9904, 9907]]
['sp1', [12437, 12440]]
['sp1', [13604, 13607]]
['sp1', [14630, 14633]]
['sp1', [14781, 14784]]
['sp1', [14814, 14817]]
['sp1', [19638, 19641]]
['sp1', [19797, 19800]]
['sp1', [20529, 20532]]
['sp1', [20962, 20965]]
['sp1', [21122, 21125]]
['sp1', [21350, 21353]]
['sp1', [22365, 22368]]
['sp1', [22473, 22476]]
['sp1', [22510, 22513]]
['sp1', [22737, 22740]]
['sp1', [22881, 22884]]
['sp1', [23056, 23059]]
['sp1', [23304, 23307]]
['sp1', [23448, 23451]]
['sp1', [23660, 23663]]
['sp1', [23808, 23811]]
['sp1', [23846, 23849]]
['sp1', [24114, 24117]]
['sp1', [24325, 24328]]
['sp1', [24465, 24468]]
['sp1', [24707, 24710]]
['sp1', [29559, 29562]]
['sp1', [29718, 29721]]
['sp1', [30450, 30453]]
['sp1', [30883, 30886]]
['sp1', [31043, 31046]]
['sp1', [31271, 31274]]
['sp1', [32286, 32289]]
['sp1', [32394, 32397]]
['sp1', [32431, 32434]]
['sp1', [32658, 32661]]
['sp1', [32802, 32805]]
['sp1', [32977, 32980]]
['sp1', [33225, 33228]]
['sp1', [33369, 33372]]
['sp1', [33581, 33584]]
['sp1', [33729, 33732]]
['sp1', [33767, 33770]]
['sp1', [34035, 34038]]
['sp1', [34246, 34249]]
['sp1', [34386, 34389]]
['sp1', [34628, 34631]]
['sp1', [44174, 44177]]
['sp1', [44333, 44336]]
['sp1', [45065, 45068]]
['sp1', [45498, 45501]]
['sp1', [45658, 45661]]
['sp1', [45941, 45944]]
['sp1', [46100, 46103]]
['sp1', [46832, 46835]]
