genia tagger: 1692['sns', [722, 725]]
['sns', [884, 887]]
['sns', [4187, 4190]]
['sns', [4269, 4272]]
['sns', [4552, 4555]]
['sns', [4593, 4596]]
['sns', [4809, 4812]]
['sns', [5209, 5212]]
['sns', [5260, 5263]]
['sns', [5347, 5350]]
['sns', [5469, 5472]]
['sns', [5585, 5588]]
['sns', [5921, 5924]]
['sns', [6039, 6042]]
['sns', [6117, 6120]]
['sns', [6166, 6169]]
['sns', [6213, 6216]]
['sns', [6381, 6384]]
['sns', [6428, 6431]]
['sns', [6571, 6574]]
['sns', [6807, 6810]]
['sns', [6970, 6973]]
['sns', [7804, 7807]]
['sns', [8945, 8948]]
['sns', [9112, 9115]]
['sns', [9570, 9573]]
['sns', [9681, 9684]]
['sns', [10013, 10016]]
['sns', [10801, 10804]]
['sns', [11599, 11602]]
['sns', [11943, 11946]]
['sns', [12331, 12334]]
['sns', [12471, 12474]]
['sns', [12606, 12609]]
['sns', [13933, 13936]]
['sns', [14021, 14024]]
['sns', [14118, 14121]]
['sns', [14253, 14256]]
['sns', [14575, 14578]]
['sns', [14887, 14890]]
['sns', [14993, 14996]]
['sns', [15265, 15268]]
['sns', [15565, 15568]]
['sns', [16022, 16025]]
['sns', [16150, 16153]]
['sns', [16746, 16749]]
['sns', [17192, 17195]]
['sns', [17275, 17278]]
['sns', [17328, 17331]]
['sns', [17539, 17542]]
['sns', [17762, 17765]]
['sns', [17965, 17968]]
['sns', [18134, 18137]]
['sns', [18302, 18305]]
['sns', [18440, 18443]]
['sns', [19856, 19859]]
['sns', [20088, 20091]]
['sns', [21135, 21138]]
['sns', [21176, 21179]]
['sns', [21392, 21395]]
['sns', [21792, 21795]]
['sns', [21843, 21846]]
['sns', [21930, 21933]]
['sns', [22052, 22055]]
['sns', [22168, 22171]]
['sns', [22504, 22507]]
['sns', [22622, 22625]]
['sns', [22700, 22703]]
['sns', [22749, 22752]]
['sns', [22796, 22799]]
['sns', [22964, 22967]]
['sns', [23011, 23014]]
['sns', [23154, 23157]]
['sns', [23391, 23394]]
['sns', [23554, 23557]]
['sns', [24388, 24391]]
['sns', [25529, 25532]]
['sns', [25696, 25699]]
['sns', [26154, 26157]]
['sns', [26265, 26268]]
['sns', [26597, 26600]]
['sns', [27385, 27388]]
['sns', [28183, 28186]]
['sns', [28527, 28530]]
['sns', [28915, 28918]]
['sns', [29055, 29058]]
['sns', [29190, 29193]]
['sns', [30517, 30520]]
['sns', [30605, 30608]]
['sns', [30702, 30705]]
['sns', [30837, 30840]]
['sns', [31159, 31162]]
['sns', [31471, 31474]]
['sns', [31577, 31580]]
['sns', [31849, 31852]]
['sns', [32149, 32152]]
['sns', [32606, 32609]]
['sns', [32734, 32737]]
['sns', [33330, 33333]]
['sns', [33776, 33779]]
['sns', [33859, 33862]]
['sns', [33912, 33915]]
['sns', [34123, 34126]]
['sns', [34346, 34349]]
['sns', [34549, 34552]]
['sns', [34718, 34721]]
['sns', [34886, 34889]]
['sns', [35024, 35027]]
['sns', [36603, 36606]]
['sns', [37744, 37747]]
['sns', [37911, 37914]]
['sns', [38369, 38372]]
['sns', [38481, 38484]]
['sns', [38813, 38816]]
['sns', [39601, 39604]]
['sns', [40399, 40402]]
['sns', [40743, 40746]]
['sns', [41131, 41134]]
['sns', [41271, 41274]]
['sns', [41406, 41409]]
['sns', [42734, 42737]]
['sns', [42822, 42825]]
['sns', [42919, 42922]]
['sns', [43054, 43057]]
['sns', [43377, 43380]]
['sns', [43689, 43692]]
['sns', [43795, 43798]]
['sns', [44067, 44070]]
['sns', [44368, 44371]]
['sns', [44825, 44828]]
['sns', [44953, 44956]]
['sns', [45549, 45552]]
['sns', [45996, 45999]]
['sns', [46079, 46082]]
['sns', [46132, 46135]]
['sns', [46343, 46346]]
['sns', [46566, 46569]]
['sns', [46769, 46772]]
['sns', [46938, 46941]]
['sns', [47106, 47109]]
['sns', [47245, 47248]]
['sns', [48662, 48665]]
['sns', [48894, 48897]]
['sns', [50144, 50147]]
['sns', [50409, 50412]]
['sns', [50662, 50665]]
['sns', [50867, 50870]]
['sns', [50983, 50986]]
['sns', [51100, 51103]]
['sns', [51167, 51170]]
['raas', [773, 777]]
['raas', [4101, 4105]]
['raas', [13889, 13893]]
['raas', [16891, 16895]]
['raas', [17308, 17312]]
['raas', [19847, 19851]]
['raas', [30473, 30477]]
['raas', [33475, 33479]]
['raas', [33892, 33896]]
['raas', [42690, 42694]]
['raas', [45695, 45699]]
['raas', [46112, 46116]]
['raas', [48653, 48657]]
['raas', [50033, 50037]]
['raas', [51114, 51118]]
['adipocytes', [969, 979]]
['adipocytes', [7295, 7305]]
['adipocytes', [12809, 12819]]
['adipocytes', [23879, 23889]]
['adipocytes', [29393, 29403]]
['adipocytes', [36094, 36104]]
['adipocytes', [41610, 41620]]
['\xe2\x80\x9cmetabolic', [1947, 1959]]
