genia tagger: 171['ne', [36, 38]]
['ne', [88, 90]]
['ne', [272, 274]]
['ne', [567, 569]]
['ne', [735, 737]]
['ne', [741, 743]]
['ne', [745, 747]]
['ne', [766, 768]]
['ne', [999, 1001]]
['ne', [1073, 1075]]
['ne', [1517, 1519]]
['ne', [1793, 1795]]
['ne', [1961, 1963]]
['ne', [1967, 1969]]
['ne', [1971, 1973]]
['ne', [1992, 1994]]
['ne', [2226, 2228]]
['ne', [2300, 2302]]
['ne', [2745, 2747]]
['ne', [3010, 3012]]
['ne', [3754, 3756]]
['ne', [3778, 3780]]
['ne', [4402, 4404]]
['ne', [4422, 4424]]
['ne', [4623, 4625]]
['ne', [4699, 4701]]
['ne', [4819, 4821]]
['ne', [5397, 5399]]
['ne', [5403, 5405]]
['ne', [5697, 5699]]
['ne', [5704, 5706]]
['ne', [5708, 5710]]
['ne', [5735, 5737]]
['ne', [5772, 5774]]
['ne', [6143, 6145]]
['ne', [6202, 6204]]
['ne', [6379, 6381]]
['ne', [6611, 6613]]
['ne', [7356, 7358]]
['ne', [7380, 7382]]
['ne', [8005, 8007]]
['ne', [8025, 8027]]
['ne', [8226, 8228]]
['ne', [8302, 8304]]
['ne', [8422, 8424]]
['ne', [9001, 9003]]
['ne', [9007, 9009]]
['ne', [9301, 9303]]
['ne', [9308, 9310]]
['ne', [9312, 9314]]
['ne', [9339, 9341]]
['ne', [9376, 9378]]
['ne', [9748, 9750]]
['ne', [9807, 9809]]
['ne', [9984, 9986]]
['ne', [10176, 10178]]
['ne', [10923, 10925]]
['ne', [11099, 11101]]
['ne', [11152, 11154]]
['ne', [11303, 11305]]
['ne', [11411, 11413]]
['ne', [11443, 11445]]
['ne', [11697, 11699]]
['ne', [12444, 12446]]
['ne', [12620, 12622]]
['ne', [12673, 12675]]
['ne', [12824, 12826]]
['ne', [12932, 12934]]
['ne', [12964, 12966]]
['ne', [13210, 13212]]
['ne', [13861, 13863]]
['ne', [14609, 14611]]
['ne', [15050, 15052]]
['ne', [15227, 15229]]
['ne', [15280, 15282]]
['ne', [15431, 15433]]
['ne', [15539, 15541]]
['ne', [15571, 15573]]
['ne', [15650, 15652]]
['ne', [15703, 15705]]
['ne', [15854, 15856]]
['ne', [15962, 15964]]
['ne', [15994, 15996]]
['ne', [16592, 16594]]
['ne', [16667, 16669]]
['ne', [16750, 16752]]
['ne', [16872, 16874]]
['ne', [16944, 16946]]
['ne', [17189, 17191]]
['ne', [17215, 17217]]
['ne', [17266, 17268]]
['ne', [17417, 17419]]
['ne', [17447, 17449]]
['ne', [17526, 17528]]
['ne', [17877, 17879]]
['ne', [18115, 18117]]
['ne', [18794, 18796]]
