genia tagger: 11884['cc-5013', [2293, 2300]]
['huvec', [2426, 2431]]
['human', [1492, 1497]]
['human', [2433, 2438]]
['umbilical', [2439, 2448]]
['vein', [2449, 2453]]
['endothelial', [2454, 2465]]
['cells', [2466, 2471]]
['tumor', [277, 282]]
['tumor', [436, 441]]
['tumor', [1498, 1503]]
['tumor', [2553, 2558]]
['tumor', [2668, 2673]]
['tumor', [3635, 3640]]
['tumor', [5060, 5065]]
['tumor', [5485, 5490]]
['tumor', [5660, 5665]]
['tumor', [7663, 7668]]
['tumor', [13245, 13250]]
['tumor', [14671, 14676]]
['tumor', [15096, 15101]]
['tumor', [15271, 15276]]
['tumor', [17275, 17280]]
['tumor', [26891, 26896]]
['tumor', [36018, 36023]]
['tumor', [45137, 45142]]
['tumor', [45775, 45780]]
['tumor', [63662, 63667]]
['tumor', [64298, 64303]]
['tumor', [64469, 64474]]
['tumor', [64883, 64888]]
['tumor', [65115, 65120]]
['tumor', [67562, 67567]]
['tumor', [68310, 68315]]
['tumor', [68482, 68487]]
['tumor', [69016, 69021]]
['tumor', [69652, 69657]]
['tumor', [69823, 69828]]
['tumor', [70237, 70242]]
['tumor', [70469, 70474]]
['tumor', [72916, 72921]]
['tumor', [73664, 73669]]
['tumor', [73836, 73841]]
['tumor', [75587, 75592]]
['tumor', [81302, 81307]]
['necrosis', [2674, 2682]]
['necrosis', [5491, 5499]]
['necrosis', [15102, 15110]]
['factor-alpha', [2683, 2695]]
['factor-alpha', [5500, 5512]]
['factor-alpha', [15111, 15123]]
['granulocyte', [3887, 3898]]
['granulocyte', [13497, 13508]]
['count', [3899, 3904]]
['count', [3926, 3931]]
['count', [7848, 7853]]
['count', [13509, 13514]]
['count', [13536, 13541]]
['count', [17460, 17465]]
['count', [32292, 32297]]
['count', [41419, 41424]]
['count', [54491, 54496]]
['count', [59406, 59411]]
['\\?', [2309, 2311]]
['\\?', [2701, 2703]]
['\\?', [3795, 3797]]
['\\?', [3905, 3907]]
['\\?', [3935, 3937]]
['\\?', [4015, 4017]]
['\\?', [4114, 4116]]
['\\?', [5518, 5520]]
['\\?', [5533, 5535]]
['\\?', [5540, 5542]]
['\\?', [6481, 6483]]
['\\?', [6666, 6668]]
['\\?', [8306, 8308]]
['\\?', [8730, 8732]]
['\\?', [9531, 9533]]
['\\?', [12447, 12449]]
['\\?', [12517, 12519]]
['\\?', [12664, 12666]]
['\\?', [13405, 13407]]
['\\?', [13515, 13517]]
['\\?', [13545, 13547]]
['\\?', [13625, 13627]]
['\\?', [13724, 13726]]
['\\?', [15129, 15131]]
['\\?', [15144, 15146]]
['\\?', [15151, 15153]]
['\\?', [16093, 16095]]
['\\?', [16278, 16280]]
['\\?', [17919, 17921]]
['\\?', [18343, 18345]]
['\\?', [19144, 19146]]
['\\?', [22279, 22281]]
['\\?', [22703, 22705]]
['\\?', [23505, 23507]]
['\\?', [26422, 26424]]
['\\?', [26492, 26494]]
['\\?', [26639, 26641]]
