genia tagger: 49778['prostate-specific', [131, 148]]
['prostate-specific', [1877, 1894]]
['antigen', [149, 156]]
['antigen', [1895, 1902]]
['joint', [553, 558]]
['joint', [706, 711]]
['joint', [2594, 2599]]
['joint', [2760, 2765]]
['joint', [5822, 5827]]
['joint', [6019, 6024]]
['joint', [6683, 6688]]
['joint', [7328, 7333]]
['joint', [14525, 14530]]
['joint', [22826, 22831]]
['joint', [24031, 24036]]
['joint', [25623, 25628]]
['joint', [27325, 27330]]
['joint', [39003, 39008]]
['joint', [45508, 45513]]
['joint', [48550, 48555]]
['joint', [57568, 57573]]
['joint', [59221, 59226]]
['joint', [60094, 60099]]
['joint', [61282, 61287]]
['joint', [62935, 62940]]
['joint', [63808, 63813]]
['survival-multinomial', [559, 579]]
['response', [580, 588]]
['response', [1141, 1149]]
['response', [2766, 2774]]
['response', [3973, 3981]]
['response', [7911, 7919]]
['response', [14281, 14289]]
['response', [21298, 21306]]
['response', [25308, 25316]]
['response', [25405, 25413]]
['response', [27010, 27018]]
['response', [27107, 27115]]
['response', [31233, 31241]]
['response', [31894, 31902]]
['response', [33072, 33080]]
['response', [39575, 39583]]
['response', [46606, 46614]]
['response', [46862, 46870]]
['response', [47161, 47169]]
['response', [47358, 47366]]
['response', [47849, 47857]]
['response', [52061, 52069]]
['response', [54312, 54320]]
['response', [54834, 54842]]
['response', [55149, 55157]]
['response', [56502, 56510]]
['response', [66553, 66561]]
['response', [67400, 67408]]
['response', [67572, 67580]]
['response', [67620, 67628]]
['response', [70750, 70758]]
['response', [71597, 71605]]
['response', [71769, 71777]]
['response', [71817, 71825]]
['regressed', [589, 598]]
['regressed', [20794, 20803]]
['on', [99, 101]]
['on', [584, 586]]
['on', [599, 601]]
['on', [741, 743]]
['on', [894, 896]]
['on', [961, 963]]
['on', [974, 976]]
['on', [997, 999]]
['on', [1033, 1035]]
['on', [1054, 1056]]
['on', [1145, 1147]]
['on', [1163, 1165]]
['on', [1255, 1257]]
['on', [1306, 1308]]
['on', [1350, 1352]]
['on', [1850, 1852]]
['on', [1975, 1977]]
['on', [2017, 2019]]
['on', [2055, 2057]]
['on', [2391, 2393]]
['on', [2610, 2612]]
['on', [2650, 2652]]
['on', [2748, 2750]]
['on', [2770, 2772]]
['on', [2976, 2978]]
['on', [3070, 3072]]
['on', [3139, 3141]]
['on', [3168, 3170]]
['on', [3232, 3234]]
['on', [3260, 3262]]
['on', [3323, 3325]]
['on', [3415, 3417]]
['on', [3519, 3521]]
['on', [3646, 3648]]
['on', [3682, 3684]]
['on', [3910, 3912]]
['on', [3977, 3979]]
['on', [4016, 4018]]
['on', [4398, 4400]]
['on', [4487, 4489]]
['on', [4521, 4523]]
['on', [4610, 4612]]
['on', [4673, 4675]]
['on', [4688, 4690]]
['on', [5000, 5002]]
['on', [5641, 5643]]
['on', [5707, 5709]]
['on', [5780, 5782]]
['on', [5793, 5795]]
['on', [5808, 5810]]
['on', [5841, 5843]]
['on', [6035, 6037]]
['on', [6071, 6073]]
['on', [6118, 6120]]
['on', [6200, 6202]]
['on', [6206, 6208]]
['on', [6221, 6223]]
['on', [6330, 6332]]
['on', [6428, 6430]]
['on', [6434, 6436]]
['on', [6499, 6501]]
['on', [6528, 6530]]
['on', [6578, 6580]]
['on', [6721, 6723]]
['on', [6756, 6758]]
['on', [6771, 6773]]
['on', [7583, 7585]]
['on', [7643, 7645]]
['on', [7658, 7660]]
['on', [7705, 7707]]
['on', [7770, 7772]]
['on', [7790, 7792]]
['on', [7873, 7875]]
['on', [7915, 7917]]
['on', [7960, 7962]]
['on', [8035, 8037]]
['on', [8051, 8053]]
['on', [8069, 8071]]
['on', [8285, 8287]]
['on', [8386, 8388]]
['on', [8395, 8397]]
['on', [8481, 8483]]
['on', [8876, 8878]]
['on', [8918, 8920]]
['on', [8932, 8934]]
['on', [9052, 9054]]
['on', [9082, 9084]]
['on', [9102, 9104]]
['on', [9111, 9113]]
