genia tagger: 1066['vf', [2058, 2060]]
['vf', [2258, 2260]]
['vf', [2610, 2612]]
['vf', [3592, 3594]]
['vf', [3832, 3834]]
['vf', [12631, 12633]]
['vf', [12779, 12781]]
['vf', [21232, 21234]]
['vf', [21380, 21382]]
['vfs\\.', [3592, 3597]]
['13', [1515, 1517]]
['13', [3597, 3599]]
['13', [13004, 13006]]
['13', [21605, 21607]]
['13', [26743, 26745]]
['13', [31328, 31330]]
['13', [38524, 38526]]
['13', [39912, 39914]]
['13', [44638, 44640]]
['13', [52567, 52569]]
['figure', [3600, 3606]]
['figure', [7173, 7179]]
['figure', [11138, 11144]]
['figure', [13504, 13510]]
['figure', [15772, 15778]]
['figure', [19738, 19744]]
['figure', [22106, 22112]]
['figure', [23911, 23917]]
['figure', [24245, 24251]]
['figure', [25202, 25208]]
['figure', [26189, 26195]]
['figure', [26202, 26208]]
['figure', [27466, 27472]]
['figure', [28496, 28502]]
['figure', [28830, 28836]]
['figure', [29787, 29793]]
['figure', [30774, 30780]]
['figure', [30787, 30793]]
['figure', [32051, 32057]]
['figure', [33070, 33076]]
['figure', [33404, 33410]]
['figure', [34361, 34367]]
['figure', [35691, 35697]]
['figure', [36025, 36031]]
['figure', [36982, 36988]]
['figure', [37970, 37976]]
['figure', [37983, 37989]]
['figure', [39358, 39364]]
['figure', [39371, 39377]]
['figure', [40636, 40642]]
['figure', [41203, 41209]]
['figure', [44266, 44272]]
['figure', [46197, 46203]]
['figure', [46211, 46217]]
['figure', [46581, 46587]]
['figure', [47111, 47117]]
['figure', [52195, 52201]]
['figure', [54126, 54132]]
['figure', [54140, 54146]]
['figure', [54510, 54516]]
['figure', [55040, 55046]]
['1', [588, 589]]
['1', [1028, 1029]]
['1', [1030, 1031]]
['1', [1314, 1315]]
['1', [1371, 1372]]
['1', [1515, 1516]]
['1', [1933, 1934]]
['1', [2132, 2133]]
['1', [2589, 2590]]
['1', [2768, 2769]]
['1', [2769, 2770]]
['1', [2773, 2774]]
['1', [3597, 3598]]
['1', [3607, 3608]]
['1', [3841, 3842]]
['1', [3976, 3977]]
['1', [3982, 3983]]
['1', [5767, 5768]]
['1', [5769, 5770]]
['1', [6081, 6082]]
['1', [6207, 6208]]
['1', [6212, 6213]]
['1', [6217, 6218]]
['1', [6222, 6223]]
['1', [6332, 6333]]
['1', [6499, 6500]]
['1', [6816, 6817]]
['1', [7452, 7453]]
['1', [8020, 8021]]
['1', [9692, 9693]]
['1', [9975, 9976]]
['1', [9977, 9978]]
['1', [9997, 9998]]
['1', [9999, 10000]]
['1', [10409, 10410]]
['1', [10411, 10412]]
['1', [10454, 10455]]
['1', [10460, 10461]]
['1', [11830, 11831]]
['1', [11983, 11984]]
['1', [12201, 12202]]
['1', [12349, 12350]]
['1', [12655, 12656]]
['1', [13004, 13005]]
['1', [13009, 13010]]
['1', [13357, 13358]]
['1', [13747, 13748]]
['1', [14606, 14607]]
['1', [14607, 14608]]
['1', [14680, 14681]]
['1', [14806, 14807]]
['1', [14811, 14812]]
['1', [14816, 14817]]
['1', [14821, 14822]]
['1', [14931, 14932]]
['1', [15098, 15099]]
['1', [15415, 15416]]
['1', [16051, 16052]]
['1', [16619, 16620]]
['1', [18292, 18293]]
['1', [18575, 18576]]
['1', [18577, 18578]]
['1', [18597, 18598]]
['1', [18599, 18600]]
['1', [19009, 19010]]
['1', [19011, 19012]]
['1', [19054, 19055]]
['1', [19060, 19061]]
['1', [20431, 20432]]
['1', [20584, 20585]]
['1', [20802, 20803]]
['1', [20950, 20951]]
['1', [21256, 21257]]
['1', [21605, 21606]]
['1', [21610, 21611]]
['1', [21959, 21960]]
['1', [22349, 22350]]
['1', [23208, 23209]]
['1', [23209, 23210]]
['1', [23293, 23294]]
['1', [23616, 23617]]
['1', [23618, 23619]]
['1', [23646, 23647]]
['1', [23648, 23649]]
['1', [23702, 23703]]
['1', [23704, 23705]]
['1', [23709, 23710]]
['1', [24049, 24050]]
['1', [24050, 24051]]
['1', [24052, 24053]]
