genia tagger: 15075['progesterone', [24, 36]]
['progesterone', [147, 159]]
['progesterone', [1640, 1652]]
['progesterone', [1790, 1802]]
['progesterone', [2354, 2366]]
['progesterone', [2508, 2520]]
['progesterone', [2701, 2713]]
['progesterone', [3357, 3369]]
['progesterone', [3605, 3617]]
['progesterone', [9361, 9373]]
['progesterone', [18009, 18021]]
['progesterone', [33986, 33998]]
['progesterone', [35321, 35333]]
['progesterone', [35365, 35377]]
['progesterone', [45210, 45222]]
['progesterone', [46545, 46557]]
['progesterone', [46589, 46601]]
['progesterone', [56797, 56809]]
['progesterone', [61998, 62010]]
['receptor', [37, 45]]
['receptor', [160, 168]]
['receptor', [1653, 1661]]
['receptor', [1803, 1811]]
['receptor', [1850, 1858]]
['receptor', [1882, 1890]]
['receptor', [2714, 2722]]
['receptor', [3812, 3820]]
['receptor', [39020, 39028]]
['receptor', [50244, 50252]]
['gene', [46, 50]]
['gene', [174, 178]]
['gene', [299, 303]]
['gene', [1818, 1822]]
['gene', [2261, 2265]]
['gene', [2728, 2732]]
['gene', [4446, 4450]]
['gene', [12033, 12037]]
['gene', [20682, 20686]]
['gene', [23560, 23564]]
['gene', [25718, 25722]]
['gene', [28102, 28106]]
['gene', [30260, 30264]]
['gene', [32042, 32046]]
['gene', [32468, 32472]]
['gene', [33768, 33772]]
['gene', [34758, 34762]]
['gene', [35586, 35590]]
['gene', [39045, 39049]]
['gene', [40668, 40672]]
['gene', [41402, 41406]]
['gene', [41738, 41742]]
['gene', [41869, 41873]]
['gene', [43266, 43270]]
['gene', [43692, 43696]]
['gene', [44992, 44996]]
['gene', [45982, 45986]]
['gene', [46810, 46814]]
['gene', [50269, 50273]]
['gene', [51892, 51896]]
['gene', [52626, 52630]]
['gene', [52962, 52966]]
['gene', [53093, 53097]]
['pr', [24, 26]]
['pr', [118, 120]]
['pr', [147, 149]]
['pr', [170, 172]]
['pr', [179, 181]]
['pr', [320, 322]]
['pr', [467, 469]]
['pr', [1441, 1443]]
['pr', [1459, 1461]]
['pr', [1640, 1642]]
['pr', [1790, 1792]]
['pr', [1814, 1816]]
['pr', [1912, 1914]]
['pr', [1955, 1957]]
['pr', [1978, 1980]]
['pr', [1988, 1990]]
['pr', [2071, 2073]]
['pr', [2101, 2103]]
['pr', [2354, 2356]]
['pr', [2500, 2502]]
['pr', [2508, 2510]]
['pr', [2536, 2538]]
['pr', [2545, 2547]]
['pr', [2605, 2607]]
['pr', [2678, 2680]]
['pr', [2701, 2703]]
['pr', [2724, 2726]]
['pr', [2733, 2735]]
['pr', [2851, 2853]]
['pr', [2868, 2870]]
['pr', [3119, 3121]]
['pr', [3128, 3130]]
['pr', [3137, 3139]]
['pr', [3357, 3359]]
['pr', [3605, 3607]]
['pr', [3836, 3838]]
['pr', [3998, 4000]]
['pr', [4022, 4024]]
['pr', [4040, 4042]]
['pr', [4307, 4309]]
['pr', [4467, 4469]]
['pr', [4553, 4555]]
['pr', [4926, 4928]]
['pr', [5189, 5191]]
['pr', [5438, 5440]]
['pr', [5760, 5762]]
['pr', [6274, 6276]]
['pr', [6739, 6741]]
['pr', [7590, 7592]]
['pr', [7666, 7668]]
['pr', [7951, 7953]]
['pr', [8324, 8326]]
['pr', [8510, 8512]]
['pr', [8549, 8551]]
['pr', [8605, 8607]]
['pr', [8912, 8914]]
['pr', [9198, 9200]]
['pr', [9361, 9363]]
['pr', [9532, 9534]]
['pr', [9707, 9709]]
['pr', [9812, 9814]]
['pr', [9968, 9970]]
['pr', [10273, 10275]]
['pr', [10305, 10307]]
['pr', [10439, 10441]]
['pr', [10562, 10564]]
['pr', [10621, 10623]]
['pr', [11135, 11137]]
['pr', [11990, 11992]]
['pr', [12462, 12464]]
['pr', [12778, 12780]]
['pr', [13571, 13573]]
['pr', [13834, 13836]]
['pr', [14084, 14086]]
['pr', [14406, 14408]]
['pr', [14920, 14922]]
['pr', [15385, 15387]]
['pr', [16236, 16238]]
['pr', [16312, 16314]]
['pr', [16597, 16599]]
['pr', [16971, 16973]]
['pr', [17157, 17159]]
['pr', [17196, 17198]]
['pr', [17252, 17254]]
['pr', [17559, 17561]]
['pr', [17846, 17848]]
['pr', [18009, 18011]]
['pr', [18180, 18182]]
['pr', [18355, 18357]]
['pr', [18460, 18462]]
['pr', [18616, 18618]]
['pr', [18922, 18924]]
['pr', [18954, 18956]]
['pr', [19088, 19090]]
['pr', [19211, 19213]]
['pr', [19270, 19272]]
['pr', [19784, 19786]]
['pr', [20639, 20641]]
['pr', [21111, 21113]]
['pr', [21427, 21429]]
['pr', [21920, 21922]]
['pr', [22483, 22485]]
['pr', [22538, 22540]]
['pr', [23069, 23071]]
['pr', [23262, 23264]]
['pr', [23375, 23377]]
['pr', [23557, 23559]]
['pr', [24280, 24282]]
['pr', [24648, 24650]]
['pr', [25698, 25700]]
['pr', [25739, 25741]]
['pr', [25968, 25970]]
['pr', [26098, 26100]]
['pr', [26462, 26464]]
['pr', [27025, 27027]]
['pr', [27080, 27082]]
['pr', [27611, 27613]]
['pr', [27804, 27806]]
['pr', [27917, 27919]]
['pr', [28099, 28101]]
['pr', [28822, 28824]]
['pr', [29190, 29192]]
['pr', [30240, 30242]]
['pr', [30281, 30283]]
['pr', [30510, 30512]]
['pr', [30640, 30642]]
['pr', [31178, 31180]]
['pr', [31669, 31671]]
['pr', [31927, 31929]]
['pr', [32603, 32605]]
['pr', [32628, 32630]]
['pr', [32847, 32849]]
['pr', [32952, 32954]]
['pr', [33511, 33513]]
['pr', [33590, 33592]]
['pr', [33599, 33601]]
['pr', [33672, 33674]]
['pr', [33786, 33788]]
['pr', [33865, 33867]]
['pr', [33986, 33988]]
['pr', [34026, 34028]]
['pr', [34219, 34221]]
['pr', [34241, 34243]]
['pr', [34298, 34300]]
['pr', [34372, 34374]]
['pr', [34384, 34386]]
['pr', [34393, 34395]]
['pr', [34599, 34601]]
['pr', [34607, 34609]]
['pr', [34813, 34815]]
['pr', [34956, 34958]]
['pr', [34975, 34977]]
['pr', [34990, 34992]]
['pr', [35070, 35072]]
['pr', [35134, 35136]]
['pr', [35321, 35323]]
['pr', [35365, 35367]]
['pr', [35416, 35418]]
['pr', [35526, 35528]]
['pr', [35607, 35609]]
['pr', [36491, 36493]]
['pr', [37634, 37636]]
['pr', [37965, 37967]]
['pr', [38484, 38486]]
['pr', [38738, 38740]]
['pr', [39042, 39044]]
['pr', [39447, 39449]]
['pr', [40048, 40050]]
['pr', [40159, 40161]]
['pr', [40489, 40491]]
['pr', [40969, 40971]]
['pr', [41078, 41080]]
['pr', [41399, 41401]]
['pr', [41817, 41819]]
['pr', [42402, 42404]]
['pr', [42893, 42895]]
['pr', [43151, 43153]]
['pr', [43827, 43829]]
['pr', [43852, 43854]]
['pr', [44071, 44073]]
['pr', [44176, 44178]]
['pr', [44735, 44737]]
['pr', [44814, 44816]]
['pr', [44823, 44825]]
['pr', [44896, 44898]]
['pr', [45010, 45012]]
['pr', [45089, 45091]]
['pr', [45210, 45212]]
['pr', [45250, 45252]]
['pr', [45443, 45445]]
['pr', [45465, 45467]]
['pr', [45522, 45524]]
['pr', [45596, 45598]]
['pr', [45608, 45610]]
['pr', [45617, 45619]]
['pr', [45823, 45825]]
['pr', [45831, 45833]]
['pr', [46037, 46039]]
['pr', [46180, 46182]]
['pr', [46199, 46201]]
['pr', [46214, 46216]]
['pr', [46294, 46296]]
['pr', [46358, 46360]]
['pr', [46545, 46547]]
['pr', [46589, 46591]]
['pr', [46640, 46642]]
['pr', [46750, 46752]]
['pr', [46831, 46833]]
['pr', [47715, 47717]]
['pr', [48858, 48860]]
['pr', [49189, 49191]]
['pr', [49708, 49710]]
['pr', [49962, 49964]]
['pr', [50266, 50268]]
['pr', [50671, 50673]]
['pr', [51272, 51274]]
['pr', [51383, 51385]]
['pr', [51713, 51715]]
['pr', [52193, 52195]]
['pr', [52302, 52304]]
['pr', [52623, 52625]]
['pr', [53041, 53043]]
['pr', [54521, 54523]]
['pr', [54630, 54632]]
['pr', [54723, 54725]]
['pr', [54739, 54741]]
['pr', [55210, 55212]]
['pr', [55427, 55429]]
['pr', [55863, 55865]]
['pr', [56175, 56177]]
['pr', [56193, 56195]]
['pr', [56254, 56256]]
['pr', [56797, 56799]]
['pr', [57515, 57517]]
['pr', [59722, 59724]]
['pr', [59831, 59833]]
['pr', [59924, 59926]]
['pr', [59940, 59942]]
['pr', [60411, 60413]]
['pr', [60628, 60630]]
['pr', [61064, 61066]]
['pr', [61376, 61378]]
['pr', [61394, 61396]]
['pr', [61455, 61457]]
['pr', [61998, 62000]]
['pr', [62716, 62718]]
['snp', [634, 637]]
['snp', [1592, 1595]]
['snp', [2782, 2785]]
['snp', [4225, 4228]]
['snp', [23350, 23353]]
['snp', [27892, 27895]]
['snp', [31277, 31280]]
['snp', [32094, 32097]]
['snp', [32281, 32284]]
['snp', [32614, 32617]]
['snp', [32647, 32650]]
['snp', [33040, 33043]]
['snp', [33378, 33381]]
['snp', [35480, 35483]]
['snp', [35782, 35785]]
['snp', [36241, 36244]]
['snp', [37388, 37391]]
['snp', [37670, 37673]]
['snp', [37733, 37736]]
['snp', [38029, 38032]]
['snp', [41388, 41391]]
['snp', [41802, 41805]]
['snp', [42501, 42504]]
['snp', [43318, 43321]]
['snp', [43505, 43508]]
['snp', [43838, 43841]]
['snp', [43871, 43874]]
['snp', [44264, 44267]]
['snp', [44602, 44605]]
['snp', [46704, 46707]]
['snp', [47006, 47009]]
['snp', [47465, 47468]]
['snp', [48612, 48615]]
['snp', [48894, 48897]]
['snp', [48957, 48960]]
['snp', [49253, 49256]]
['snp', [52612, 52615]]
['snp', [53026, 53029]]
['ors', [773, 776]]
['ors', [1888, 1891]]
['ors', [2223, 2226]]
['ors', [3858, 3861]]
['ors', [3943, 3946]]
['ors', [10193, 10196]]
['ors', [10525, 10528]]
['ors', [10695, 10698]]
['ors', [11165, 11168]]
['ors', [18842, 18845]]
['ors', [19174, 19177]]
['ors', [19344, 19347]]
['ors', [19814, 19817]]
['ors', [23076, 23079]]
['ors', [23269, 23272]]
['ors', [27618, 27621]]
['ors', [27811, 27814]]
['ors', [32698, 32701]]
['ors', [35936, 35939]]
['ors', [37200, 37203]]
['ors', [38508, 38511]]
['ors', [41262, 41265]]
['ors', [43922, 43925]]
['ors', [47160, 47163]]
['ors', [48424, 48427]]
['ors', [49732, 49735]]
['ors', [52486, 52489]]
['ors', [54730, 54733]]
['ors', [55094, 55097]]
['ors', [55217, 55220]]
['ors', [55434, 55437]]
['ors', [55870, 55873]]
['ors', [56138, 56141]]
['ors', [56182, 56185]]
['ors', [59931, 59934]]
['ors', [60295, 60298]]
['ors', [60418, 60421]]
['ors', [60635, 60638]]
['ors', [61071, 61074]]
['ors', [61339, 61342]]
['ors', [61383, 61386]]
['cis', [808, 811]]
['cis', [10228, 10231]]
['cis', [18877, 18880]]
['pmh', [388, 391]]
['pmh', [606, 609]]
['pmh', [961, 964]]
['pmh', [1097, 1100]]
['pmh', [1405, 1408]]
['pmh', [1570, 1573]]
['pmh', [3504, 3507]]
['pmh', [3689, 3692]]
['pmh', [3879, 3882]]
['pmh', [4181, 4184]]
['pmh', [4262, 4265]]
['pmh', [4404, 4407]]
['pmh', [4969, 4972]]
['pmh', [7638, 7641]]
['pmh', [7778, 7781]]
['pmh', [7869, 7872]]
['pmh', [8045, 8048]]
['pmh', [8107, 8110]]
['pmh', [9059, 9062]]
['pmh', [9173, 9176]]
['pmh', [9281, 9284]]
['pmh', [9308, 9311]]
['pmh', [9393, 9396]]
['pmh', [9481, 9484]]
['pmh', [9564, 9567]]
['pmh', [9593, 9596]]
['pmh', [9877, 9880]]
['pmh', [10666, 10669]]
['pmh', [10810, 10813]]
['pmh', [10993, 10996]]
['pmh', [12010, 12013]]
['pmh', [12377, 12380]]
['pmh', [12725, 12728]]
['pmh', [13614, 13617]]
