genia tagger: 15217['ims', [113, 116]]
['ims', [618, 621]]
['ims', [1144, 1147]]
['ims', [1329, 1332]]
['ims', [2020, 2023]]
['ims', [2102, 2105]]
['ims', [3605, 3608]]
['ims', [4910, 4913]]
['ims', [6369, 6372]]
['ims', [20567, 20570]]
['ims', [21051, 21054]]
['ims', [21695, 21698]]
['ims', [21947, 21950]]
['ims', [22599, 22602]]
['ims', [27878, 27881]]
['ims', [28362, 28365]]
['ims', [29006, 29009]]
['ims', [29258, 29261]]
['ims', [29911, 29914]]
['ims', [35356, 35359]]
['ims', [36808, 36811]]
['ims', [43353, 43356]]
['ims', [44699, 44702]]
['ims', [50603, 50606]]
['ims', [51949, 51952]]
['ims', [52377, 52380]]
['ims', [52527, 52530]]
['z', [779, 780]]
['z', [1058, 1059]]
['z', [1295, 1296]]
['z', [3205, 3206]]
['z', [3291, 3292]]
['z', [4055, 4056]]
['z', [5911, 5912]]
['z', [6672, 6673]]
['z', [7162, 7163]]
['z', [7475, 7476]]
['z', [10345, 10346]]
['z', [10786, 10787]]
['z', [10812, 10813]]
['z', [10853, 10854]]
['z', [10885, 10886]]
['z', [10935, 10936]]
['z', [10941, 10942]]
['z', [11037, 11038]]
['z', [11104, 11105]]
['z', [11175, 11176]]
['z', [11180, 11181]]
['z', [11338, 11339]]
['z', [11354, 11355]]
['z', [11440, 11441]]
['z', [11492, 11493]]
['z', [11497, 11498]]
['z', [11617, 11618]]
['z', [11760, 11761]]
['z', [11791, 11792]]
['z', [13241, 13242]]
['z', [13529, 13530]]
['z', [14019, 14020]]
['z', [14332, 14333]]
['z', [17204, 17205]]
['z', [17645, 17646]]
['z', [17671, 17672]]
['z', [17712, 17713]]
['z', [17744, 17745]]
['z', [17794, 17795]]
['z', [17800, 17801]]
['z', [17896, 17897]]
['z', [17963, 17964]]
['z', [18034, 18035]]
['z', [18039, 18040]]
['z', [18197, 18198]]
['z', [18213, 18214]]
['z', [18299, 18300]]
['z', [18351, 18352]]
['z', [18356, 18357]]
['z', [18476, 18477]]
['z', [18619, 18620]]
['z', [18650, 18651]]
['z', [20101, 20102]]
['z', [20840, 20841]]
['z', [21539, 21540]]
['z', [21813, 21814]]
['z', [22627, 22628]]
['z', [23248, 23249]]
['z', [23500, 23501]]
['z', [23786, 23787]]
['z', [25140, 25141]]
['z', [25383, 25384]]
['z', [25598, 25599]]
['z', [26926, 26927]]
['z', [27153, 27154]]
['z', [27487, 27488]]
['z', [28151, 28152]]
['z', [28850, 28851]]
['z', [29124, 29125]]
['z', [29939, 29940]]
['z', [30560, 30561]]
['z', [30812, 30813]]
['z', [31098, 31099]]
['z', [32453, 32454]]
['z', [32697, 32698]]
['z', [32912, 32913]]
['z', [34240, 34241]]
['z', [34467, 34468]]
['z', [34801, 34802]]
['z', [42472, 42473]]
['z', [43137, 43138]]
['z', [43167, 43168]]
['z', [44424, 44425]]
['z', [44612, 44613]]
['z', [49722, 49723]]
['z', [50387, 50388]]
['z', [50417, 50418]]
['z', [51674, 51675]]
['z', [51862, 51863]]
['z', [55169, 55170]]
['z', [55371, 55372]]
['z', [56790, 56791]]
['z', [56830, 56831]]
['z', [58098, 58099]]
['z', [60349, 60350]]
['-channels', [1297, 1306]]
['reliable\\.', [1754, 1764]]
['influential', [1764, 1775]]
['mass', [38, 42]]
['mass', [94, 98]]
['mass', [1125, 1129]]
['mass', [1776, 1780]]
['mass', [1809, 1813]]
['mass', [3337, 3341]]
['mass', [7008, 7012]]
['mass', [8157, 8161]]
['mass', [13865, 13869]]
['mass', [15014, 15018]]
['mass', [21985, 21989]]
['mass', [22124, 22128]]
['mass', [22373, 22377]]
['mass', [25294, 25298]]
['mass', [25315, 25319]]
['mass', [26089, 26093]]
['mass', [29296, 29300]]
['mass', [29435, 29439]]
['mass', [29684, 29688]]
['mass', [32608, 32612]]
['mass', [32629, 32633]]
['mass', [33403, 33407]]
['mass', [43055, 43059]]
['mass', [43759, 43763]]
['mass', [44136, 44140]]
['mass', [50305, 50309]]
['mass', [51009, 51013]]
['mass', [51386, 51390]]
['spectral', [1781, 1789]]
['spectral', [1814, 1822]]
['spectral', [4174, 4182]]
['spectral', [22016, 22024]]
['spectral', [25299, 25307]]
['spectral', [25320, 25328]]
['spectral', [25828, 25836]]
['spectral', [29327, 29335]]
['spectral', [32613, 32621]]
['spectral', [32634, 32642]]
['spectral', [33142, 33150]]
['peaks', [1790, 1795]]
['peaks', [1823, 1828]]
['random', [60, 66]]
['random', [132, 138]]
['random', [389, 395]]
['random', [2986, 2992]]
['random', [3491, 3497]]
['random', [3662, 3668]]
['random', [4065, 4071]]
['random', [4108, 4114]]
['random', [4352, 4358]]
['random', [4604, 4610]]
['random', [4629, 4635]]
['random', [4838, 4844]]
['random', [5191, 5197]]
['random', [5703, 5709]]
['random', [6275, 6281]]
['random', [6533, 6539]]
['random', [6551, 6557]]
['random', [6665, 6671]]
['random', [7180, 7186]]
['random', [7514, 7520]]
['random', [8457, 8463]]
['random', [9158, 9164]]
['random', [9492, 9498]]
['random', [9848, 9854]]
['random', [9913, 9919]]
['random', [11288, 11294]]
['random', [13390, 13396]]
['random', [13408, 13414]]
['random', [13522, 13528]]
['random', [14037, 14043]]
['random', [14371, 14377]]
['random', [15314, 15320]]
['random', [16015, 16021]]
['random', [16349, 16355]]
['random', [16706, 16712]]
['random', [16772, 16778]]
['random', [18147, 18153]]
['random', [22561, 22567]]
['random', [22777, 22783]]
['random', [23860, 23866]]
['random', [24063, 24069]]
['random', [25164, 25170]]
['random', [27226, 27232]]
