genia tagger: 3665['cyclooxygenases', [50, 65]]
['cyclooxygenase', [50, 64]]
['cyclooxygenase', [281, 295]]
['cox-1', [697, 702]]
['cox-1', [969, 974]]
['cox-1', [2061, 2066]]
['cox-1', [2217, 2222]]
['cox-1', [3068, 3073]]
['cox-1', [3130, 3135]]
['cox-1', [3227, 3232]]
['cox-1', [9767, 9772]]
['cox-1', [9923, 9928]]
['cox-1', [10776, 10781]]
['cox-1', [10838, 10843]]
['cox-1', [10935, 10940]]
['cox-1', [17510, 17515]]
['cox-1', [17605, 17610]]
['cox-1', [17704, 17709]]
['cox-1', [17792, 17797]]
['cox-1', [17852, 17857]]
['cox-1', [18026, 18031]]
['cox-1', [18480, 18485]]
['cox-1', [18886, 18891]]
['cox-1', [19394, 19399]]
['cox-1', [19479, 19484]]
['cox-1', [19632, 19637]]
['cox-1', [19811, 19816]]
['cox-1', [20039, 20044]]
['cox-1', [20209, 20214]]
['cox-1', [20280, 20285]]
['cox-1', [21053, 21058]]
['cox-1', [28003, 28008]]
['cox-1', [28098, 28103]]
['cox-1', [28197, 28202]]
['cox-1', [28285, 28290]]
['cox-1', [28345, 28350]]
['cox-1', [28519, 28524]]
['cox-1', [28973, 28978]]
['cox-1', [29379, 29384]]
['cox-1', [29887, 29892]]
['cox-1', [29972, 29977]]
['cox-1', [30125, 30130]]
['cox-1', [30304, 30309]]
['cox-1', [30532, 30537]]
['cox-1', [30702, 30707]]
['cox-1', [30773, 30778]]
['cox-1', [31546, 31551]]
['cox-1', [38488, 38493]]
['cox-1', [38583, 38588]]
['cox-1', [38682, 38687]]
['cox-1', [38770, 38775]]
['cox-1', [38830, 38835]]
['cox-1', [39004, 39009]]
['cox-1', [39458, 39463]]
['cox-1', [39864, 39869]]
['cox-1', [40372, 40377]]
['cox-1', [40457, 40462]]
['cox-1', [40610, 40615]]
['cox-1', [40789, 40794]]
['cox-1', [41017, 41022]]
['cox-1', [41187, 41192]]
['cox-1', [41258, 41263]]
['cox-1', [41716, 41721]]
['cox-1', [41811, 41816]]
['cox-1', [41910, 41915]]
['cox-1', [41998, 42003]]
['cox-1', [42058, 42063]]
['cox-1', [42232, 42237]]
['cox-1', [42686, 42691]]
['cox-1', [43092, 43097]]
['cox-1', [43600, 43605]]
['cox-1', [43685, 43690]]
['cox-1', [43838, 43843]]
['cox-1', [44017, 44022]]
['cox-1', [44245, 44250]]
['cox-1', [44415, 44420]]
['cox-1', [44486, 44491]]
['cox-1', [45260, 45265]]
['cox-1', [47943, 47948]]
['cox-1', [59491, 59496]]
['cox-1', [60952, 60957]]
['cox-1', [61453, 61458]]
['cox-1', [61602, 61607]]
['cox-1', [61987, 61992]]
['cox-1', [62262, 62267]]
['cox-1', [62858, 62863]]
