genia tagger: 6323['you', [1852, 1855]]
['you', [1870, 1873]]
['you', [1981, 1984]]
['you', [2015, 2018]]
['you', [2024, 2027]]
['you', [2058, 2061]]
['you', [2081, 2084]]
['you', [2123, 2126]]
['you', [2151, 2154]]
['you', [2209, 2212]]
['you', [2245, 2248]]
['you', [2733, 2736]]
['you', [2756, 2759]]
['you', [2892, 2895]]
['you', [2968, 2971]]
['you', [5969, 5972]]
['you', [5987, 5990]]
['you', [6098, 6101]]
['you', [6132, 6135]]
['you', [6141, 6144]]
['you', [6175, 6178]]
['you', [6198, 6201]]
['you', [6240, 6243]]
['you', [6268, 6271]]
['you', [6326, 6329]]
['you', [6362, 6365]]
['you', [6850, 6853]]
['you', [6873, 6876]]
['you', [7009, 7012]]
['you', [7085, 7088]]
['you', [8320, 8323]]
['you', [8338, 8341]]
['you', [8449, 8452]]
['you', [8483, 8486]]
['you', [8492, 8495]]
['you', [8526, 8529]]
['you', [8549, 8552]]
['you', [8591, 8594]]
['you', [8619, 8622]]
['you', [8677, 8680]]
['you', [8713, 8716]]
['you', [9202, 9205]]
['you', [9225, 9228]]
['you', [9361, 9364]]
['you', [9437, 9440]]
['you', [13224, 13227]]
['you', [16392, 16395]]
['you', [16765, 16768]]
['you', [16773, 16776]]
['you', [17811, 17814]]
['you', [17833, 17836]]
['you', [20112, 20115]]
['you', [23280, 23283]]
['you', [23653, 23656]]
['you', [23661, 23664]]
['you', [24699, 24702]]
['you', [24721, 24724]]
['you', [26991, 26994]]
['you', [28297, 28300]]
['you', [31466, 31469]]
['you', [31839, 31842]]
['you', [31847, 31850]]
['you', [32885, 32888]]
['you', [32907, 32910]]
['you', [37040, 37043]]
['you', [37413, 37416]]
['you', [37421, 37424]]
['you', [38459, 38462]]
['you', [38481, 38484]]
['you', [44524, 44527]]
['you', [44897, 44900]]
['you', [44905, 44908]]
['you', [46153, 46156]]
['you', [46526, 46529]]
['you', [46534, 46537]]
['you', [47573, 47576]]
['you', [47595, 47598]]
['you', [48000, 48003]]
['you', [48022, 48025]]
['you', [51353, 51356]]
['you', [53734, 53737]]
['you', [55723, 55726]]
['you', [57399, 57402]]
['you', [59045, 59048]]
['you', [59783, 59786]]
['\\?', [1944, 1946]]
['\\?', [2002, 2004]]
['\\?', [2061, 2063]]
['\\?', [2111, 2113]]
['\\?', [2183, 2185]]
['\\?', [2212, 2214]]
['\\?', [2266, 2268]]
['\\?', [4242, 4244]]
['\\?', [6061, 6063]]
['\\?', [6119, 6121]]
['\\?', [6178, 6180]]
['\\?', [6228, 6230]]
['\\?', [6300, 6302]]
['\\?', [6329, 6331]]
['\\?', [6383, 6385]]
['\\?', [8412, 8414]]
['\\?', [8470, 8472]]
['\\?', [8529, 8531]]
['\\?', [8579, 8581]]
['\\?', [8651, 8653]]
['\\?', [8680, 8682]]
['\\?', [8734, 8736]]
['\\?', [10713, 10715]]
['\\?', [17806, 17808]]
['\\?', [24694, 24696]]
['\\?', [32880, 32882]]
['\\?', [38454, 38456]]
['\\?', [47568, 47570]]
['\\?', [47995, 47997]]
['how', [472, 475]]
['how', [2185, 2188]]
['how', [3351, 3354]]
['how', [3905, 3908]]
['how', [5234, 5237]]
['how', [5260, 5263]]
['how', [6302, 6305]]
['how', [7468, 7471]]
['how', [8022, 8025]]
['how', [8653, 8656]]
['how', [9821, 9824]]
['how', [10375, 10378]]
['how', [11706, 11709]]
['how', [11732, 11735]]
['how', [12603, 12606]]
['how', [13090, 13093]]
['how', [13673, 13676]]
['how', [15588, 15591]]
['how', [15683, 15686]]
['how', [17142, 17145]]
['how', [17399, 17402]]
['how', [18136, 18139]]
['how', [19491, 19494]]
['how', [19978, 19981]]
['how', [20561, 20564]]
['how', [22476, 22479]]
['how', [22571, 22574]]
['how', [24030, 24033]]
['how', [24287, 24290]]
['how', [25024, 25027]]
['how', [26370, 26373]]
['how', [26857, 26860]]
['how', [27676, 27679]]
['how', [28163, 28166]]
['how', [28747, 28750]]
['how', [30662, 30665]]
['how', [30757, 30760]]
['how', [32216, 32219]]
['how', [32473, 32476]]
['how', [33210, 33213]]
['how', [34321, 34324]]
['how', [36236, 36239]]
['how', [36331, 36334]]
['how', [37790, 37793]]
['how', [38047, 38050]]
['how', [38784, 38787]]
['how', [42212, 42215]]
['how', [42307, 42310]]
['how', [43719, 43722]]
['how', [43814, 43817]]
['how', [45274, 45277]]
['how', [45531, 45534]]
['how', [46903, 46906]]
['how', [47160, 47163]]
['how', [48326, 48329]]
['how', [48715, 48718]]
['how', [52059, 52062]]
['how', [54440, 54443]]
['how', [56429, 56432]]
['how', [58105, 58108]]
['how', [60490, 60493]]
['how', [61399, 61402]]
['raw', [2577, 2580]]
['raw', [6694, 6697]]
['raw', [9046, 9049]]
['raw', [51798, 51801]]
['raw', [54179, 54182]]
['raw', [56168, 56171]]
['raw', [57844, 57847]]
['raw', [60229, 60232]]
['raw', [61138, 61141]]
['transcript', [2581, 2591]]
['transcript', [6698, 6708]]
['transcript', [9050, 9060]]
['transcript', [51802, 51812]]
['transcript', [54183, 54193]]
['transcript', [56172, 56182]]
['transcript', [57848, 57858]]
['transcript', [60233, 60243]]
['transcript', [61142, 61152]]
['transcript', [73663, 73673]]
['transcript', [77473, 77483]]
['chess', [1695, 1700]]
['chess', [3116, 3121]]
['chess', [3133, 3138]]
['chess', [3148, 3153]]
['chess', [3245, 3250]]
['chess', [4611, 4616]]
['chess', [5812, 5817]]
['chess', [7233, 7238]]
['chess', [7250, 7255]]
['chess', [7265, 7270]]
['chess', [7362, 7367]]
['chess', [9585, 9590]]
['chess', [9603, 9608]]
['chess', [9618, 9623]]
['chess', [9715, 9720]]
['chess', [11082, 11087]]
['chess', [17634, 17639]]
['chess', [24522, 24527]]
['chess', [32708, 32713]]
['chess', [38282, 38287]]
['chess', [47396, 47401]]
['chess', [47823, 47828]]
['chess', [50437, 50442]]
['chess', [52818, 52823]]
['chess', [63126, 63131]]
['chess', [63373, 63378]]
['chess', [64418, 64423]]
['chess', [64518, 64523]]
['chess', [65568, 65573]]
['chess', [65815, 65820]]
['chess', [66860, 66865]]
['chess', [66960, 66965]]
['chess', [67398, 67403]]
['chess', [67645, 67650]]
['chess', [67989, 67994]]
['chess', [68236, 68241]]
['chess', [70007, 70012]]
['chess', [70107, 70112]]
['chess', [70524, 70529]]
['chess', [70624, 70629]]
['pi', [2511, 2513]]
['pi', [4339, 4341]]
['pi', [4678, 4680]]
['pi', [4792, 4794]]
['pi', [6628, 6630]]
['pi', [8980, 8982]]
['pi', [10810, 10812]]
['pi', [11149, 11151]]
['pi', [11263, 11265]]
['pi', [17550, 17552]]
['pi', [18356, 18358]]
['pi', [24438, 24440]]
['pi', [25244, 25246]]
['pi', [32624, 32626]]
['pi', [33430, 33432]]
['pi', [38198, 38200]]
['pi', [39004, 39006]]
['pi', [45682, 45684]]
['pi', [47311, 47313]]
['pi', [48546, 48548]]
['pi', [48935, 48937]]
['pi', [63733, 63735]]
['pi', [66175, 66177]]
['pi', [68597, 68599]]
['pi', [69321, 69323]]
['pi', [73529, 73531]]
['pi', [73863, 73865]]
['pi', [74713, 74715]]
['pi', [77339, 77341]]
['pi', [77673, 77675]]
['pi', [78525, 78527]]
['ces-d', [5574, 5579]]
['ces-d', [12046, 12051]]
['ces-d', [13282, 13287]]
['ces-d', [20170, 20175]]
['ces-d', [27049, 27054]]
['ces-d', [28355, 28360]]
['i', [0, 1]]
['i', [8, 9]]
['i', [20, 21]]
['i', [27, 28]]
['i', [29, 30]]
['i', [43, 44]]
['i', [49, 50]]
['i', [54, 55]]
['i', [61, 62]]
['i', [66, 67]]
['i', [73, 74]]
['i', [83, 84]]
['i', [101, 102]]
['i', [136, 137]]
['i', [141, 142]]
['i', [154, 155]]
['i', [164, 165]]
['i', [174, 175]]
['i', [183, 184]]
['i', [190, 191]]
['i', [200, 201]]
['i', [226, 227]]
['i', [259, 260]]
['i', [270, 271]]
['i', [282, 283]]
['i', [297, 298]]
['i', [302, 303]]
['i', [361, 362]]
['i', [379, 380]]
['i', [388, 389]]
['i', [396, 397]]
['i', [438, 439]]
['i', [442, 443]]
['i', [451, 452]]
['i', [488, 489]]
['i', [506, 507]]
['i', [518, 519]]
['i', [524, 525]]
['i', [528, 529]]
['i', [545, 546]]
['i', [547, 548]]
['i', [556, 557]]
['i', [559, 560]]
['i', [569, 570]]
['i', [583, 584]]
['i', [589, 590]]
['i', [598, 599]]
['i', [600, 601]]
['i', [608, 609]]
['i', [618, 619]]
['i', [629, 630]]
['i', [643, 644]]
['i', [649, 650]]
['i', [660, 661]]
['i', [669, 670]]
['i', [676, 677]]
['i', [686, 687]]
['i', [694, 695]]
['i', [702, 703]]
['i', [714, 715]]
['i', [724, 725]]
['i', [732, 733]]
['i', [740, 741]]
['i', [751, 752]]
['i', [776, 777]]
['i', [798, 799]]
['i', [815, 816]]
['i', [842, 843]]
['i', [859, 860]]
['i', [868, 869]]
['i', [880, 881]]
['i', [894, 895]]
['i', [900, 901]]
['i', [911, 912]]
['i', [914, 915]]
['i', [920, 921]]
['i', [927, 928]]
['i', [942, 943]]
['i', [949, 950]]
['i', [961, 962]]
['i', [963, 964]]
['i', [973, 974]]
['i', [991, 992]]
['i', [1015, 1016]]
['i', [1036, 1037]]
['i', [1041, 1042]]
['i', [1054, 1055]]
['i', [1066, 1067]]
['i', [1084, 1085]]
['i', [1133, 1134]]
['i', [1176, 1177]]
['i', [1189, 1190]]
['i', [1192, 1193]]
['i', [1258, 1259]]
['i', [1292, 1293]]
['i', [1294, 1295]]
['i', [1321, 1322]]
['i', [1327, 1328]]
['i', [1332, 1333]]
['i', [1339, 1340]]
['i', [1344, 1345]]
['i', [1351, 1352]]
['i', [1361, 1362]]
['i', [1386, 1387]]
['i', [1394, 1395]]
['i', [1411, 1412]]
['i', [1430, 1431]]
['i', [1457, 1458]]
['i', [1464, 1465]]
['i', [1522, 1523]]
['i', [1539, 1540]]
['i', [1548, 1549]]
['i', [1551, 1552]]
['i', [1558, 1559]]
['i', [1564, 1565]]
['i', [1601, 1602]]
['i', [1610, 1611]]
['i', [1629, 1630]]
['i', [1638, 1639]]
['i', [1642, 1643]]
['i', [1663, 1664]]
['i', [1669, 1670]]
['i', [1675, 1676]]
['i', [1686, 1687]]
['i', [1703, 1704]]
['i', [1722, 1723]]
['i', [1728, 1729]]
['i', [1736, 1737]]
['i', [1742, 1743]]
['i', [1751, 1752]]
['i', [1775, 1776]]
['i', [1802, 1803]]
['i', [1812, 1813]]
['i', [1838, 1839]]
['i', [1876, 1877]]
['i', [1881, 1882]]
['i', [1895, 1896]]
['i', [1924, 1925]]
['i', [1929, 1930]]
['i', [1932, 1933]]
['i', [1939, 1940]]
['i', [1964, 1965]]
['i', [1976, 1977]]
['i', [1997, 1998]]
['i', [2063, 2064]]
['i', [2077, 2078]]
['i', [2090, 2091]]
['i', [2142, 2143]]
['i', [2222, 2223]]
['i', [2236, 2237]]
['i', [2254, 2255]]
['i', [2271, 2272]]
['i', [2279, 2280]]
['i', [2286, 2287]]
['i', [2288, 2289]]
['i', [2296, 2297]]
['i', [2298, 2299]]
['i', [2338, 2339]]
['i', [2344, 2345]]
['i', [2359, 2360]]
['i', [2366, 2367]]
['i', [2371, 2372]]
['i', [2376, 2377]]
['i', [2416, 2417]]
['i', [2425, 2426]]
['i', [2447, 2448]]
['i', [2461, 2462]]
['i', [2486, 2487]]
['i', [2490, 2491]]
['i', [2503, 2504]]
['i', [2512, 2513]]
['i', [2546, 2547]]
['i', [2550, 2551]]
['i', [2568, 2569]]
['i', [2588, 2589]]
['i', [2607, 2608]]
['i', [2618, 2619]]
['i', [2624, 2625]]
['i', [2628, 2629]]
['i', [2630, 2631]]
['i', [2642, 2643]]
['i', [2644, 2645]]
['i', [2656, 2657]]
['i', [2684, 2685]]
['i', [2710, 2711]]
['i', [2718, 2719]]
['i', [2729, 2730]]
['i', [2762, 2763]]
['i', [2780, 2781]]
['i', [2790, 2791]]
['i', [2817, 2818]]
['i', [2828, 2829]]
['i', [2843, 2844]]
['i', [2854, 2855]]
['i', [2864, 2865]]
['i', [2901, 2902]]
['i', [2923, 2924]]
['i', [2931, 2932]]
['i', [2959, 2960]]
['i', [2964, 2965]]
['i', [3007, 3008]]
['i', [3019, 3020]]
['i', [3039, 3040]]
['i', [3056, 3057]]
['i', [3064, 3065]]
['i', [3073, 3074]]
['i', [3083, 3084]]
['i', [3095, 3096]]
['i', [3103, 3104]]
['i', [3124, 3125]]
['i', [3141, 3142]]
['i', [3156, 3157]]
['i', [3171, 3172]]
['i', [3214, 3215]]
['i', [3261, 3262]]
['i', [3281, 3282]]
['i', [3304, 3305]]
['i', [3306, 3307]]
['i', [3310, 3311]]
['i', [3314, 3315]]
['i', [3327, 3328]]
['i', [3356, 3357]]
['i', [3360, 3361]]
['i', [3376, 3377]]
['i', [3397, 3398]]
['i', [3418, 3419]]
['i', [3433, 3434]]
['i', [3454, 3455]]
