genia tagger: 5154['abl1', [568, 572]]
['abl1', [2546, 2550]]
['abl1', [2638, 2642]]
['abl1', [6983, 6987]]
['abl1', [12128, 12132]]
['abl1', [17263, 17267]]
['abl1', [18018, 18022]]
['abl1', [26924, 26928]]
['abl1', [28346, 28350]]
['abl1', [31754, 31758]]
['abl1', [33176, 33180]]
['pdgfr', [579, 584]]
['pdgfr', [2614, 2619]]
['pdgfr', [2993, 2998]]
['pdgfr', [27008, 27013]]
['pdgfr', [31838, 31843]]
['kit', [590, 593]]
['kit', [2623, 2626]]
['kit', [3004, 3007]]
['kit', [27024, 27027]]
['kit', [27958, 27961]]
['kit', [28050, 28053]]
['kit', [28084, 28087]]
['kit', [31854, 31857]]
['kit', [32788, 32791]]
['kit', [32880, 32883]]
['kit', [32914, 32917]]
['kinases', [594, 601]]
['kinases', [2253, 2260]]
['kinases', [2675, 2682]]
['kinases', [26989, 26996]]
['kinases', [28359, 28366]]
['kinases', [31819, 31826]]
['kinases', [33189, 33196]]
['range', [802, 807]]
['range', [964, 969]]
['range', [1030, 1035]]
['range', [6469, 6474]]
['range', [6992, 6997]]
['range', [7179, 7184]]
['range', [7292, 7297]]
['range', [7358, 7363]]
['range', [11614, 11619]]
['range', [12137, 12142]]
['range', [12324, 12329]]
['range', [12437, 12442]]
['range', [12503, 12508]]
['range', [16749, 16754]]
['range', [17272, 17277]]
['range', [17504, 17509]]
['range', [18027, 18032]]
['range', [18215, 18220]]
['range', [18328, 18333]]
['range', [18394, 18399]]
['range', [21211, 21216]]
['range', [21324, 21329]]
['range', [21390, 21395]]
['0\\.2\\\xe2\\\x80\\\x9386\\.4', [808, 823]]
['0\\.2\\\xe2\\\x80\\\x9386\\.4', [7185, 7200]]
['0\\.2\\\xe2\\\x80\\\x9386\\.4', [12330, 12345]]
['0\\.2\\\xe2\\\x80\\\x9386\\.4', [18221, 18236]]
['0\\.2\\\xe2\\\x80\\\x9386\\.4', [21217, 21232]]
['6\xe2\x80\x9328', [970, 976]]
['6\xe2\x80\x9328', [7298, 7304]]
['6\xe2\x80\x9328', [12443, 12449]]
['6\xe2\x80\x9328', [18334, 18340]]
['6\xe2\x80\x9328', [21330, 21336]]
['9\xe2\x80\x9368', [1036, 1042]]
['9\xe2\x80\x9368', [7364, 7370]]
['9\xe2\x80\x9368', [12509, 12515]]
['9\xe2\x80\x9368', [18400, 18406]]
['9\xe2\x80\x9368', [21396, 21402]]
['jak2', [1071, 1075]]
['jak2', [3347, 3351]]
['jak2', [3354, 3358]]
['jak2', [3550, 3554]]
['jak2', [3821, 3825]]
['jak2', [4007, 4011]]
['jak2', [4148, 4152]]
['jak2', [5483, 5487]]
['jak2', [7051, 7055]]
['jak2', [7864, 7868]]
['jak2', [8497, 8501]]
['jak2', [9045, 9049]]
['jak2', [9666, 9670]]
['jak2', [10113, 10117]]
['jak2', [10159, 10163]]
['jak2', [10201, 10205]]
['jak2', [10225, 10229]]
['jak2', [10546, 10550]]
['jak2', [12196, 12200]]
['jak2', [13009, 13013]]
['jak2', [13642, 13646]]
['jak2', [14190, 14194]]
['jak2', [14811, 14815]]
['jak2', [15258, 15262]]
['jak2', [15304, 15308]]
['jak2', [15346, 15350]]
['jak2', [15370, 15374]]
['jak2', [15691, 15695]]
['jak2', [17331, 17335]]
['jak2', [18086, 18090]]
['jak2', [18900, 18904]]
['jak2', [19533, 19537]]
['jak2', [20081, 20085]]
['jak2', [20702, 20706]]
['jak2', [21896, 21900]]
['jak2', [22529, 22533]]
['jak2', [23077, 23081]]
['jak2', [23698, 23702]]
['jak2', [24146, 24150]]
['jak2', [24192, 24196]]
['jak2', [24234, 24238]]
['jak2', [24258, 24262]]
['jak2', [24579, 24583]]
['jak2', [24926, 24930]]
['jak2', [24972, 24976]]
['jak2', [25014, 25018]]
['jak2', [25038, 25042]]
['jak2', [25359, 25363]]
['jak2', [27784, 27788]]
['jak2', [27942, 27946]]
['jak2', [28035, 28039]]
['jak2', [28500, 28504]]
['jak2', [29070, 29074]]
['jak2', [29505, 29509]]
['jak2', [29547, 29551]]
['jak2', [29571, 29575]]
['jak2', [29700, 29704]]
['jak2', [29794, 29798]]
['jak2', [31574, 31578]]
['jak2', [32614, 32618]]
['jak2', [32772, 32776]]
['jak2', [32865, 32869]]
['jak2', [33330, 33334]]
['jak2', [33900, 33904]]
['jak2', [34335, 34339]]
['jak2', [34377, 34381]]
['jak2', [34401, 34405]]
['jak2', [34530, 34534]]
['jak2', [34624, 34628]]
['jak2', [36404, 36408]]
['mpn', [165, 168]]
['mpn', [1388, 1391]]
['mpn', [3956, 3959]]
['hematopoietic', [1451, 1464]]
['stem', [1465, 1469]]
['stem', [27503, 27507]]
['stem', [32333, 32337]]
['cell', [221, 225]]
['cell', [1470, 1474]]
['cell', [1610, 1614]]
['cell', [3609, 3613]]
['cell', [3696, 3700]]
['cell', [3799, 3803]]
['cell', [5888, 5892]]
['cell', [7500, 7504]]
['cell', [12645, 12649]]
['cell', [18536, 18540]]
['cell', [21532, 21536]]
['cell', [27763, 27767]]
['cell', [31173, 31177]]
['cell', [32593, 32597]]
['cell', [36003, 36007]]
['white', [1598, 1603]]
['white', [5876, 5881]]
['white', [31161, 31166]]
['white', [35991, 35996]]
['blood', [215, 220]]
['blood', [1604, 1609]]
['blood', [5288, 5293]]
['blood', [5882, 5887]]
['blood', [7494, 7499]]
['blood', [12639, 12644]]
['blood', [18530, 18535]]
['blood', [21526, 21531]]
['blood', [31167, 31172]]
['blood', [35997, 36002]]
['cells', [221, 226]]
['cells', [1610, 1615]]
['cells', [3799, 3804]]
['cells', [27763, 27768]]
['cells', [32593, 32598]]
['burst', [1945, 1950]]
['forming', [1951, 1958]]
['unit', [1959, 1963]]
['erythroid', [1964, 1973]]
['erythroid', [2062, 2071]]
['erythroid', [2768, 2777]]
['\\(', [118, 120]]
['\\(', [164, 166]]
['\\(', [801, 803]]
['\\(', [832, 834]]
['\\(', [963, 965]]
['\\(', [1029, 1031]]
['\\(', [1173, 1175]]
['\\(', [1341, 1343]]
['\\(', [1387, 1389]]
['\\(', [1861, 1863]]
['\\(', [1974, 1976]]
['\\(', [2030, 2032]]
['\\(', [2081, 2083]]
['\\(', [2450, 2452]]
['\\(', [2613, 2615]]
['\\(', [2636, 2638]]
['\\(', [3352, 3354]]
['\\(', [3589, 3591]]
['\\(', [4815, 4817]]
['\\(', [5569, 5571]]
['\\(', [5734, 5736]]
['\\(', [5755, 5757]]
['\\(', [5865, 5867]]
['\\(', [5917, 5919]]
['\\(', [5986, 5988]]
['\\(', [6016, 6018]]
['\\(', [6145, 6147]]
['\\(', [6416, 6418]]
['\\(', [6468, 6470]]
['\\(', [6504, 6506]]
['\\(', [6527, 6529]]
['\\(', [6549, 6551]]
['\\(', [6587, 6589]]
['\\(', [6900, 6902]]
['\\(', [6908, 6910]]
['\\(', [6922, 6924]]
['\\(', [7178, 7180]]
['\\(', [7212, 7214]]
['\\(', [7228, 7230]]
['\\(', [7291, 7293]]
['\\(', [7357, 7359]]
['\\(', [8365, 8367]]
['\\(', [10186, 10188]]
['\\(', [10614, 10616]]
['\\(', [10684, 10686]]
['\\(', [10720, 10722]]
['\\(', [10856, 10858]]
['\\(', [11001, 11003]]
['\\(', [11016, 11018]]
['\\(', [11142, 11144]]
['\\(', [11183, 11185]]
['\\(', [11332, 11334]]
['\\(', [11561, 11563]]
['\\(', [11613, 11615]]
['\\(', [11649, 11651]]
['\\(', [11672, 11674]]
['\\(', [11694, 11696]]
['\\(', [11732, 11734]]
['\\(', [12045, 12047]]
['\\(', [12053, 12055]]
['\\(', [12067, 12069]]
['\\(', [12323, 12325]]
['\\(', [12357, 12359]]
['\\(', [12373, 12375]]
['\\(', [12436, 12438]]
['\\(', [12502, 12504]]
['\\(', [13510, 13512]]
['\\(', [15331, 15333]]
['\\(', [15759, 15761]]
['\\(', [15829, 15831]]
['\\(', [15865, 15867]]
['\\(', [16001, 16003]]
['\\(', [16146, 16148]]
['\\(', [16161, 16163]]
['\\(', [16287, 16289]]
['\\(', [16328, 16330]]
['\\(', [16477, 16479]]
['\\(', [16696, 16698]]
['\\(', [16748, 16750]]
['\\(', [16784, 16786]]
['\\(', [16807, 16809]]
['\\(', [16829, 16831]]
['\\(', [16867, 16869]]
['\\(', [17180, 17182]]
['\\(', [17188, 17190]]
['\\(', [17202, 17204]]
['\\(', [17451, 17453]]
['\\(', [17503, 17505]]
['\\(', [17539, 17541]]
['\\(', [17562, 17564]]
['\\(', [17584, 17586]]
['\\(', [17622, 17624]]
['\\(', [17935, 17937]]
['\\(', [17943, 17945]]
['\\(', [17957, 17959]]
['\\(', [18214, 18216]]
['\\(', [18248, 18250]]
['\\(', [18264, 18266]]
['\\(', [18327, 18329]]
['\\(', [18393, 18395]]
['\\(', [19401, 19403]]
['\\(', [21210, 21212]]
['\\(', [21244, 21246]]
['\\(', [21260, 21262]]
['\\(', [21323, 21325]]
['\\(', [21389, 21391]]
['\\(', [22397, 22399]]
['\\(', [24219, 24221]]
['\\(', [24647, 24649]]
['\\(', [24717, 24719]]
['\\(', [24753, 24755]]
['\\(', [24889, 24891]]
['\\(', [24999, 25001]]
['\\(', [25427, 25429]]
['\\(', [25497, 25499]]
['\\(', [25533, 25535]]
['\\(', [25669, 25671]]
['\\(', [25815, 25817]]
['\\(', [25830, 25832]]
['\\(', [25956, 25958]]
['\\(', [25997, 25999]]
['\\(', [26146, 26148]]
['\\(', [26422, 26424]]
['\\(', [26437, 26439]]
['\\(', [26563, 26565]]
['\\(', [26604, 26606]]
['\\(', [26753, 26755]]
['\\(', [28118, 28120]]
['\\(', [28206, 28208]]
['\\(', [28318, 28320]]
['\\(', [29126, 29128]]
['\\(', [29341, 29343]]
['\\(', [29532, 29534]]
['\\(', [30333, 30335]]
['\\(', [30406, 30408]]
['\\(', [30723, 30725]]
['\\(', [31361, 31363]]
['\\(', [32948, 32950]]
['\\(', [33036, 33038]]
['\\(', [33148, 33150]]
['\\(', [33956, 33958]]
['\\(', [34171, 34173]]
['\\(', [34362, 34364]]
['\\(', [35163, 35165]]
['\\(', [35236, 35238]]
['\\(', [35553, 35555]]
['\\(', [36191, 36193]]
['bfu-e', [1975, 1980]]
['\\)', [121, 123]]
['\\)', [168, 170]]
['\\)', [818, 820]]
['\\)', [836, 838]]
['\\)', [976, 978]]
['\\)', [1042, 1044]]
['\\)', [1183, 1185]]
['\\)', [1344, 1346]]
['\\)', [1391, 1393]]
['\\)', [1876, 1878]]
['\\)', [1980, 1982]]
['\\)', [2034, 2036]]
['\\)', [2085, 2087]]
['\\)', [2454, 2456]]
['\\)', [2620, 2622]]
['\\)', [2656, 2658]]
['\\)', [3365, 3367]]
['\\)', [3607, 3609]]
['\\)', [4819, 4821]]
['\\)', [5584, 5586]]
['\\)', [5738, 5740]]
['\\)', [5757, 5759]]
['\\)', [5867, 5869]]
['\\)', [5919, 5921]]
['\\)', [5990, 5992]]
['\\)', [6038, 6040]]
['\\)', [6167, 6169]]
['\\)', [6426, 6428]]
['\\)', [6480, 6482]]
['\\)', [6512, 6514]]
['\\)', [6535, 6537]]
['\\)', [6557, 6559]]
['\\)', [6594, 6596]]
['\\)', [6904, 6906]]
['\\)', [6912, 6914]]
['\\)', [6924, 6926]]
['\\)', [7195, 7197]]
['\\)', [7216, 7218]]
['\\)', [7244, 7246]]
['\\)', [7304, 7306]]
['\\)', [7370, 7372]]
['\\)', [8380, 8382]]
['\\)', [10234, 10236]]
['\\)', [10626, 10628]]
['\\)', [10695, 10697]]
['\\)', [10730, 10732]]
['\\)', [10865, 10867]]
['\\)', [11005, 11007]]
['\\)', [11026, 11028]]
['\\)', [11148, 11150]]
['\\)', [11189, 11191]]
['\\)', [11350, 11352]]
['\\)', [11571, 11573]]
['\\)', [11625, 11627]]
['\\)', [11657, 11659]]
['\\)', [11680, 11682]]
['\\)', [11702, 11704]]
['\\)', [11739, 11741]]
