genia tagger: 16678['hct116', [28, 34]]
['hct116', [580, 586]]
['hct116', [2841, 2847]]
['hct116', [3608, 3614]]
['hct116', [4228, 4234]]
['hct116', [6403, 6409]]
['hct116', [12466, 12472]]
['hct116', [14293, 14299]]
['hct116', [15060, 15066]]
['hct116', [15680, 15686]]
['hct116', [17855, 17861]]
['hct116', [23918, 23924]]
['hct116', [26980, 26986]]
['hct116', [27259, 27265]]
['hct116', [28482, 28488]]
['hct116', [29102, 29108]]
['hct116', [29273, 29279]]
['hct116', [29893, 29899]]
['hct116', [33174, 33180]]
['hct116', [34453, 34459]]
['hct116', [46243, 46249]]
['hct116', [46657, 46663]]
['hct116', [47396, 47402]]
['hct116', [47448, 47454]]
['hct116', [47592, 47598]]
['hct116', [47853, 47859]]
['hct116', [48309, 48315]]
['hct116', [48515, 48521]]
['hct116', [48939, 48945]]
['hct116', [52521, 52527]]
['hct116', [53483, 53489]]
['hct116', [54067, 54073]]
['hct116', [54414, 54420]]
['hct116', [54948, 54954]]
['hct116', [56095, 56101]]
['hct116', [56255, 56261]]
['hct116', [56519, 56525]]
['hct116', [56862, 56868]]
['hct116', [57184, 57190]]
['hct116', [57634, 57640]]
['hct116', [57757, 57763]]
['hct116', [57809, 57815]]
['hct116', [57953, 57959]]
['hct116', [58214, 58220]]
['hct116', [58670, 58676]]
['hct116', [58876, 58882]]
['hct116', [59300, 59306]]
['hct116', [62882, 62888]]
['hct116', [63844, 63850]]
['hct116', [64428, 64434]]
['hct116', [64775, 64781]]
['hct116', [65309, 65315]]
['hct116', [66456, 66462]]
['hct116', [66616, 66622]]
['hct116', [66880, 66886]]
['hct116', [67223, 67229]]
['hct116', [67545, 67551]]
['hct116', [67995, 68001]]
['hct116', [68110, 68116]]
['hct116', [68162, 68168]]
['hct116', [68306, 68312]]
['hct116', [68567, 68573]]
['hct116', [68966, 68972]]
['hct116', [69018, 69024]]
['hct116', [69162, 69168]]
['hct116', [69423, 69429]]
['hct116', [69880, 69886]]
['hct116', [70086, 70092]]
['hct116', [70510, 70516]]
['hct116', [74092, 74098]]
['hct116', [75054, 75060]]
['hct116', [75676, 75682]]
['hct116', [75882, 75888]]
['hct116', [76306, 76312]]
['hct116', [79888, 79894]]
['hct116', [80850, 80856]]
['hct116', [81435, 81441]]
['hct116', [81782, 81788]]
['hct116', [82316, 82322]]
['hct116', [82614, 82620]]
['hct116', [82961, 82967]]
['hct116', [83495, 83501]]
['hct116', [84643, 84649]]
['hct116', [84803, 84809]]
['hct116', [85067, 85073]]
['hct116', [85410, 85416]]
['hct116', [85732, 85738]]
['hct116', [86182, 86188]]
['hct116', [87168, 87174]]
['hct116', [87328, 87334]]
['hct116', [87592, 87598]]
['hct116', [87935, 87941]]
['hct116', [88257, 88263]]
['hct116', [88707, 88713]]
['hct116', [89513, 89519]]
['hct116', [89832, 89838]]
['hct116', [90489, 90495]]
['hct116', [91689, 91695]]
['hct116', [92424, 92430]]
['hct116', [92641, 92647]]
['hct116', [93742, 93748]]
['hct116', [94061, 94067]]
['hct116', [94718, 94724]]
['hct116', [95918, 95924]]
['hct116', [96653, 96659]]
['hct116', [96870, 96876]]
['colon', [35, 40]]
['colon', [587, 592]]
['colon', [1532, 1537]]
['colon', [2848, 2853]]
['colon', [14300, 14305]]
['colon', [26987, 26992]]
['colon', [27266, 27271]]
['colon', [54074, 54079]]
['colon', [54421, 54426]]
['colon', [64435, 64440]]
['colon', [64782, 64787]]
['colon', [81442, 81447]]
['colon', [81789, 81794]]
['colon', [82621, 82626]]
['colon', [82968, 82973]]
['colon', [89520, 89525]]
['colon', [92648, 92653]]
['colon', [93749, 93754]]
['colon', [96877, 96882]]
['tumor-derived', [41, 54]]
['cells', [55, 60]]
['cells', [849, 854]]
['cells', [1437, 1442]]
['cells', [1545, 1550]]
['cells', [3121, 3126]]
['cells', [3165, 3170]]
['cells', [3392, 3397]]
['cells', [3615, 3620]]
['cells', [4235, 4240]]
['cells', [6661, 6666]]
['cells', [7878, 7883]]
['cells', [8005, 8010]]
['cells', [8384, 8389]]
['cells', [9375, 9380]]
['cells', [10813, 10818]]
['cells', [11068, 11073]]
['cells', [11151, 11156]]
['cells', [11361, 11366]]
['cells', [11682, 11687]]
['cells', [12473, 12478]]
['cells', [12479, 12484]]
['cells', [12677, 12682]]
['cells', [12774, 12779]]
['cells', [12906, 12911]]
['cells', [14573, 14578]]
['cells', [14617, 14622]]
['cells', [14844, 14849]]
['cells', [15067, 15072]]
['cells', [15687, 15692]]
['cells', [18113, 18118]]
['cells', [19330, 19335]]
['cells', [19457, 19462]]
['cells', [19836, 19841]]
['cells', [20827, 20832]]
['cells', [22265, 22270]]
['cells', [22520, 22525]]
['cells', [22603, 22608]]
['cells', [22813, 22818]]
['cells', [23134, 23139]]
['cells', [23925, 23930]]
['cells', [23931, 23936]]
['cells', [24129, 24134]]
['cells', [24226, 24231]]
['cells', [24358, 24363]]
['cells', [27540, 27545]]
['cells', [27584, 27589]]
['cells', [27811, 27816]]
['cells', [27994, 27999]]
['cells', [28038, 28043]]
['cells', [28265, 28270]]
['cells', [28489, 28494]]
['cells', [29109, 29114]]
['cells', [29280, 29285]]
['cells', [29900, 29905]]
['cells', [33432, 33437]]
['cells', [34711, 34716]]
['cells', [37059, 37064]]
['cells', [37186, 37191]]
['cells', [37503, 37508]]
['cells', [37630, 37635]]
['cells', [38010, 38015]]
['cells', [39000, 39005]]
['cells', [39992, 39997]]
['cells', [41346, 41351]]
['cells', [42785, 42790]]
['cells', [43040, 43045]]
['cells', [43123, 43128]]
['cells', [43333, 43338]]
['cells', [43654, 43659]]
['cells', [44589, 44594]]
['cells', [44844, 44849]]
['cells', [44927, 44932]]
['cells', [45137, 45142]]
['cells', [45458, 45463]]
['cells', [46250, 46255]]
['cells', [46256, 46261]]
['cells', [46454, 46459]]
['cells', [46551, 46556]]
['cells', [46664, 46669]]
['cells', [46670, 46675]]
['cells', [46868, 46873]]
['cells', [46965, 46970]]
['cells', [47098, 47103]]
['cells', [47246, 47251]]
['cells', [47455, 47460]]
['cells', [47599, 47604]]
['cells', [47819, 47824]]
['cells', [47860, 47865]]
['cells', [48129, 48134]]
['cells', [48316, 48321]]
['cells', [48522, 48527]]
['cells', [48813, 48818]]
['cells', [48946, 48951]]
['cells', [49223, 49228]]
['cells', [49309, 49314]]
['cells', [50834, 50839]]
['cells', [51731, 51736]]
['cells', [51845, 51850]]
['cells', [52086, 52091]]
['cells', [52528, 52533]]
['cells', [52651, 52656]]
['cells', [52740, 52745]]
['cells', [53472, 53477]]
['cells', [53490, 53495]]
['cells', [53708, 53713]]
['cells', [53745, 53750]]
['cells', [53804, 53809]]
['cells', [54087, 54092]]
['cells', [54434, 54439]]
['cells', [54955, 54960]]
['cells', [55116, 55121]]
['cells', [55173, 55178]]
['cells', [56102, 56107]]
['cells', [56262, 56267]]
['cells', [56526, 56531]]
['cells', [56663, 56668]]
['cells', [56730, 56735]]
['cells', [56869, 56874]]
['cells', [57080, 57085]]
['cells', [57191, 57196]]
['cells', [57542, 57547]]
['cells', [57641, 57646]]
['cells', [57816, 57821]]
['cells', [57960, 57965]]
['cells', [58180, 58185]]
['cells', [58221, 58226]]
['cells', [58490, 58495]]
['cells', [58677, 58682]]
['cells', [58883, 58888]]
['cells', [59174, 59179]]
['cells', [59307, 59312]]
['cells', [59584, 59589]]
['cells', [59670, 59675]]
['cells', [61195, 61200]]
['cells', [62092, 62097]]
['cells', [62206, 62211]]
['cells', [62447, 62452]]
['cells', [62889, 62894]]
['cells', [63012, 63017]]
['cells', [63101, 63106]]
['cells', [63833, 63838]]
['cells', [63851, 63856]]
['cells', [64069, 64074]]
['cells', [64106, 64111]]
['cells', [64165, 64170]]
['cells', [64448, 64453]]
['cells', [64795, 64800]]
['cells', [65316, 65321]]
['cells', [65477, 65482]]
['cells', [65534, 65539]]
['cells', [66463, 66468]]
['cells', [66623, 66628]]
['cells', [66887, 66892]]
['cells', [67024, 67029]]
['cells', [67091, 67096]]
['cells', [67230, 67235]]
['cells', [67441, 67446]]
['cells', [67552, 67557]]
['cells', [67903, 67908]]
['cells', [68002, 68007]]
['cells', [68169, 68174]]
['cells', [68313, 68318]]
['cells', [68533, 68538]]
['cells', [68574, 68579]]
['cells', [68843, 68848]]
['cells', [69025, 69030]]
['cells', [69169, 69174]]
['cells', [69389, 69394]]
['cells', [69430, 69435]]
['cells', [69699, 69704]]
['cells', [69887, 69892]]
['cells', [70093, 70098]]
['cells', [70384, 70389]]
['cells', [70517, 70522]]
['cells', [70794, 70799]]
['cells', [70880, 70885]]
['cells', [72405, 72410]]
['cells', [73302, 73307]]
['cells', [73416, 73421]]
['cells', [73657, 73662]]
['cells', [74099, 74104]]
['cells', [74222, 74227]]
['cells', [74311, 74316]]
['cells', [75043, 75048]]
['cells', [75061, 75066]]
['cells', [75279, 75284]]
['cells', [75316, 75321]]
['cells', [75375, 75380]]
['cells', [75683, 75688]]
['cells', [75889, 75894]]
['cells', [76180, 76185]]
['cells', [76313, 76318]]
['cells', [76590, 76595]]
['cells', [76676, 76681]]
['cells', [78201, 78206]]
['cells', [79098, 79103]]
['cells', [79212, 79217]]
['cells', [79453, 79458]]
['cells', [79895, 79900]]
['cells', [80018, 80023]]
['cells', [80107, 80112]]
['cells', [80839, 80844]]
['cells', [80857, 80862]]
['cells', [81075, 81080]]
['cells', [81112, 81117]]
['cells', [81171, 81176]]
['cells', [81455, 81460]]
['cells', [81802, 81807]]
['cells', [82323, 82328]]
['cells', [82484, 82489]]
['cells', [82541, 82546]]
['cells', [82634, 82639]]
['cells', [82981, 82986]]
['cells', [83502, 83507]]
['cells', [83663, 83668]]
['cells', [83720, 83725]]
['cells', [84650, 84655]]
['cells', [84810, 84815]]
['cells', [85074, 85079]]
['cells', [85211, 85216]]
['cells', [85278, 85283]]
['cells', [85417, 85422]]
['cells', [85628, 85633]]
['cells', [85739, 85744]]
['cells', [86090, 86095]]
['cells', [86189, 86194]]
['cells', [87175, 87180]]
['cells', [87335, 87340]]
['cells', [87599, 87604]]
['cells', [87736, 87741]]
['cells', [87803, 87808]]
['cells', [87942, 87947]]
['cells', [88153, 88158]]
['cells', [88264, 88269]]
['cells', [88615, 88620]]
['cells', [88714, 88719]]
['cells', [89541, 89546]]
['cells', [89839, 89844]]
['cells', [90034, 90039]]
['cells', [90496, 90501]]
['cells', [90834, 90839]]
['cells', [90912, 90917]]
['cells', [90972, 90977]]
['cells', [91176, 91181]]
['cells', [91619, 91624]]
['cells', [91696, 91701]]
['cells', [92431, 92436]]
['cells', [92661, 92666]]
['cells', [93770, 93775]]
['cells', [94068, 94073]]
['cells', [94263, 94268]]
['cells', [94725, 94730]]
['cells', [95063, 95068]]
['cells', [95141, 95146]]
['cells', [95201, 95206]]
['cells', [95405, 95410]]
['cells', [95848, 95853]]
['cells', [95925, 95930]]
['cells', [96660, 96665]]
['cells', [96890, 96895]]
['lung', [237, 241]]
['lung', [51069, 51073]]
['lung', [54319, 54323]]
['lung', [61430, 61434]]
['lung', [64680, 64684]]
['lung', [72640, 72644]]
['lung', [78436, 78440]]
['lung', [81687, 81691]]
['lung', [82866, 82870]]
['cancer', [242, 248]]
['cancer', [414, 420]]
['cancer', [593, 599]]
['cancer', [1513, 1519]]
['cancer', [1538, 1544]]
['cancer', [50283, 50289]]
['cancer', [50384, 50390]]
['cancer', [50475, 50481]]
['cancer', [53045, 53051]]
['cancer', [54080, 54086]]
['cancer', [54324, 54330]]
['cancer', [54427, 54433]]
['cancer', [60644, 60650]]
['cancer', [60745, 60751]]
['cancer', [60836, 60842]]
['cancer', [63406, 63412]]
['cancer', [64441, 64447]]
['cancer', [64685, 64691]]
['cancer', [64788, 64794]]
['cancer', [71854, 71860]]
['cancer', [71955, 71961]]
['cancer', [72046, 72052]]
['cancer', [74616, 74622]]
['cancer', [77650, 77656]]
['cancer', [77751, 77757]]
['cancer', [77842, 77848]]
['cancer', [80412, 80418]]
['cancer', [81448, 81454]]
['cancer', [81692, 81698]]
['cancer', [81795, 81801]]
['cancer', [82627, 82633]]
['cancer', [82871, 82877]]
['cancer', [82974, 82980]]
['cancer', [89395, 89401]]
['cancer', [92654, 92660]]
['cancer', [93624, 93630]]
['cancer', [96883, 96889]]
['cell', [55, 59]]
['cell', [249, 253]]
['cell', [600, 604]]
['cell', [849, 853]]
['cell', [934, 938]]
['cell', [1031, 1035]]
['cell', [1437, 1441]]
['cell', [1545, 1549]]
['cell', [2828, 2832]]
['cell', [2869, 2873]]
['cell', [3106, 3110]]
['cell', [3121, 3125]]
['cell', [3165, 3169]]
['cell', [3392, 3396]]
['cell', [3488, 3492]]
['cell', [3496, 3500]]
