genia tagger: 10869['her2', [43, 47]]
['her2', [110, 114]]
['her2', [248, 252]]
['her2', [310, 314]]
['her2', [368, 372]]
['her2', [598, 602]]
['her2', [687, 691]]
['her2', [765, 769]]
['her2', [839, 843]]
['her2', [892, 896]]
['her2', [945, 949]]
['her2', [997, 1001]]
['her2', [1213, 1217]]
['her2', [1422, 1426]]
['her2', [1517, 1521]]
['her2', [1597, 1601]]
['her2', [1688, 1692]]
['her2', [2101, 2105]]
['her2', [2278, 2282]]
['her2', [2654, 2658]]
['her2', [3043, 3047]]
['her2', [3176, 3180]]
['her2', [3291, 3295]]
['her2', [3427, 3431]]
['her2', [3576, 3580]]
['her2', [3732, 3736]]
['her2', [4006, 4010]]
['her2', [4583, 4587]]
['her2', [4644, 4648]]
['her2', [6858, 6862]]
['her2', [7001, 7005]]
['her2', [7245, 7249]]
['her2', [8106, 8110]]
['her2', [8138, 8142]]
['her2', [9592, 9596]]
['her2', [9668, 9672]]
['her2', [12055, 12059]]
['her2', [13215, 13219]]
['her2', [13799, 13803]]
['her2', [14109, 14113]]
['her2', [14371, 14375]]
['her2', [14488, 14492]]
['her2', [14520, 14524]]
['her2', [14562, 14566]]
['her2', [14950, 14954]]
['her2', [16559, 16563]]
['her2', [18194, 18198]]
['her2', [18226, 18230]]
['her2', [19681, 19685]]
['her2', [19757, 19761]]
['her2', [22147, 22151]]
['her2', [23308, 23312]]
['her2', [23892, 23896]]
['her2', [24202, 24206]]
['her2', [24464, 24468]]
['her2', [24581, 24585]]
['her2', [24613, 24617]]
['her2', [24655, 24659]]
['her2', [25044, 25048]]
['her2', [26654, 26658]]
['her2', [27493, 27497]]
['her2', [27611, 27615]]
['her2', [27647, 27651]]
['her2', [27775, 27779]]
['her2', [27867, 27871]]
['her2', [27968, 27972]]
['her2', [28136, 28140]]
['her2', [28326, 28330]]
['her2', [28680, 28684]]
['her2', [28715, 28719]]
['her2', [28823, 28827]]
['her2', [28924, 28928]]
['her2', [29075, 29079]]
['her2', [29115, 29119]]
['her2', [29196, 29200]]
['her2', [29234, 29238]]
['her2', [29410, 29414]]
['her2', [29775, 29779]]
['her2', [29918, 29922]]
['her2', [30151, 30155]]
['her2', [30468, 30472]]
['her2', [30503, 30507]]
['her2', [30633, 30637]]
['her2', [30770, 30774]]
['her2', [30862, 30866]]
['her2', [30952, 30956]]
['her2', [31026, 31030]]
['her2', [31106, 31110]]
['her2', [31153, 31157]]
['her2', [31206, 31210]]
['her2', [31388, 31392]]
['her2', [31473, 31477]]
['her2', [31492, 31496]]
['her2', [31598, 31602]]
['her2', [31781, 31785]]
['her2', [31897, 31901]]
['her2', [31986, 31990]]
['her2', [32366, 32370]]
['her2', [32413, 32417]]
['her2', [32554, 32558]]
['her2', [32617, 32621]]
['her2', [35142, 35146]]
['her2', [35260, 35264]]
['her2', [35296, 35300]]
['her2', [35424, 35428]]
['her2', [35516, 35520]]
['her2', [35617, 35621]]
['her2', [35785, 35789]]
['her2', [35975, 35979]]
['her2', [36329, 36333]]
['her2', [36364, 36368]]
['her2', [36472, 36476]]
['her2', [36573, 36577]]
['her2', [36724, 36728]]
['her2', [36764, 36768]]
['her2', [36845, 36849]]
['her2', [36883, 36887]]
['her2', [37059, 37063]]
['her2', [37424, 37428]]
['her2', [37567, 37571]]
['her2', [37800, 37804]]
['her2', [38117, 38121]]
['her2', [38152, 38156]]
['her2', [38282, 38286]]
['her2', [38419, 38423]]
['her2', [38511, 38515]]
['her2', [38601, 38605]]
['her2', [38675, 38679]]
['her2', [38755, 38759]]
['her2', [38802, 38806]]
['her2', [38855, 38859]]
['her2', [39037, 39041]]
['her2', [39122, 39126]]
['her2', [39141, 39145]]
['her2', [39247, 39251]]
['her2', [39430, 39434]]
['her2', [39546, 39550]]
['her2', [39635, 39639]]
['her2', [40015, 40019]]
['her2', [40062, 40066]]
['her2', [40203, 40207]]
['her2', [40266, 40270]]
['her2', [42783, 42787]]
['her2', [42901, 42905]]
['her2', [42937, 42941]]
['her2', [43065, 43069]]
['her2', [43157, 43161]]
['her2', [43258, 43262]]
['her2', [43426, 43430]]
['her2', [43616, 43620]]
['her2', [43970, 43974]]
['her2', [44005, 44009]]
['her2', [44074, 44078]]
['her2', [44192, 44196]]
['her2', [44228, 44232]]
['her2', [44356, 44360]]
['her2', [44448, 44452]]
['her2', [44549, 44553]]
['her2', [44717, 44721]]
['her2', [44907, 44911]]
['her2', [45261, 45265]]
['her2', [45296, 45300]]
['her2', [45405, 45409]]
['her2', [45506, 45510]]
['her2', [45657, 45661]]
['her2', [45697, 45701]]
['her2', [45778, 45782]]
