genia tagger: 36748['nucleophosmin', [0, 13]]
['nucleophosmin', [120, 133]]
['nucleophosmin', [1824, 1837]]
['nucleophosmin', [19558, 19571]]
['nucleophosmin', [21399, 21412]]
['nucleophosmin', [23953, 23966]]
['nucleophosmin', [25544, 25557]]
['nucleophosmin', [27418, 27431]]
['protein', [14, 21]]
['protein', [162, 169]]
['protein', [1549, 1556]]
['protein', [1815, 1822]]
['protein', [1985, 1992]]
['protein', [2043, 2050]]
['protein', [2083, 2090]]
['protein', [20309, 20316]]
['protein', [20558, 20565]]
['protein', [21291, 21298]]
['protein', [21636, 21643]]
['protein', [22190, 22197]]
['protein', [22730, 22737]]
['protein', [22913, 22920]]
['protein', [23667, 23674]]
['protein', [23763, 23770]]
['protein', [23852, 23859]]
['protein', [24218, 24225]]
['protein', [24321, 24328]]
['protein', [24502, 24509]]
['protein', [24763, 24770]]
['protein', [25778, 25785]]
['protein', [26279, 26286]]
['protein', [26365, 26372]]
['protein', [26393, 26400]]
['protein', [26428, 26435]]
['protein', [26444, 26451]]
['protein', [32112, 32119]]
['protein', [33334, 33341]]
['protein', [33649, 33656]]
['protein', [33803, 33810]]
['protein', [33932, 33939]]
['protein', [34223, 34230]]
['protein', [34375, 34382]]
['protein', [34384, 34391]]
['protein', [34986, 34993]]
['protein', [35265, 35272]]
['protein', [35315, 35322]]
['protein', [35374, 35381]]
['protein', [35426, 35433]]
['protein', [35467, 35474]]
['protein', [35917, 35924]]
['protein', [36976, 36983]]
['protein', [38762, 38769]]
['protein', [38881, 38888]]
['protein', [39516, 39523]]
['protein', [40881, 40888]]
['protein', [40944, 40951]]
['protein', [43977, 43984]]
['protein', [44604, 44611]]
['protein', [44786, 44793]]
['protein', [47656, 47663]]
['protein', [48878, 48885]]
['protein', [49193, 49200]]
['protein', [49347, 49354]]
['protein', [49476, 49483]]
['protein', [49767, 49774]]
['protein', [49919, 49926]]
['protein', [49928, 49935]]
['protein', [50530, 50537]]
['protein', [50809, 50816]]
['protein', [50859, 50866]]
['protein', [50918, 50925]]
['protein', [50970, 50977]]
['protein', [51011, 51018]]
['protein', [51461, 51468]]
['protein', [52520, 52527]]
['protein', [54306, 54313]]
['protein', [54425, 54432]]
['protein', [55060, 55067]]
['protein', [56425, 56432]]
['protein', [56488, 56495]]
['protein', [59521, 59528]]
['protein', [60148, 60155]]
['protein', [60330, 60337]]
['protein', [65564, 65571]]
['protein', [66786, 66793]]
['protein', [67101, 67108]]
['protein', [67255, 67262]]
['protein', [67384, 67391]]
['protein', [67675, 67682]]
['protein', [67827, 67834]]
['protein', [67836, 67843]]
['protein', [68438, 68445]]
['protein', [68717, 68724]]
['protein', [68767, 68774]]
['protein', [68826, 68833]]
['protein', [68878, 68885]]
['protein', [68919, 68926]]
['protein', [69369, 69376]]
['protein', [70428, 70435]]
['protein', [71520, 71527]]
['protein', [72742, 72749]]
['protein', [73057, 73064]]
['protein', [73211, 73218]]
['protein', [73340, 73347]]
['protein', [73631, 73638]]
