genia tagger: 2697['oct', [176, 179]]
['oct', [669, 672]]
['oct', [1421, 1424]]
['oct', [1709, 1712]]
['oct', [2097, 2100]]
['oct', [2233, 2236]]
['oct', [2423, 2426]]
['oct', [2607, 2610]]
['oct', [2643, 2646]]
['oct', [2805, 2808]]
['oct', [2877, 2880]]
['oct', [3042, 3045]]
['oct', [3290, 3293]]
['oct', [3551, 3554]]
['oct', [3969, 3972]]
['oct', [4279, 4282]]
['oct', [4504, 4507]]
['oct', [5133, 5136]]
['oct', [5563, 5566]]
['oct', [5960, 5963]]
['oct', [6234, 6237]]
['oct', [6261, 6264]]
['oct', [10616, 10619]]
['oct', [12175, 12178]]
['oct', [13332, 13335]]
['oct', [13359, 13362]]
['oct', [17717, 17720]]
['oct', [19276, 19279]]
['oct', [20769, 20772]]
['oct', [21068, 21071]]
['oct', [21913, 21916]]
['oct', [22075, 22078]]
['oct', [22223, 22226]]
['oct', [22304, 22307]]
['oct', [22420, 22423]]
['oct', [22606, 22609]]
['oct', [22874, 22877]]
['oct', [22957, 22960]]
['oct', [24091, 24094]]
['oct', [24159, 24162]]
['oct', [24397, 24400]]
['oct', [26431, 26434]]
['oct', [26802, 26805]]
['oct', [27051, 27054]]
['oct', [27140, 27143]]
['oct', [27835, 27838]]
['oct', [28291, 28294]]
['oct', [28500, 28503]]
['oct', [28549, 28552]]
['oct', [28887, 28890]]
['biopsy\\.', [1143, 1151]]
['1', [719, 720]]
['1', [1151, 1152]]
['1', [1653, 1654]]
['1', [2222, 2223]]
['1', [2406, 2407]]
['1', [2411, 2412]]
['1', [2612, 2613]]
['1', [2617, 2618]]
['1', [2963, 2964]]
['1', [3452, 3453]]
['1', [4847, 4848]]
['1', [4996, 4997]]
['1', [5003, 5004]]
['1', [5050, 5051]]
['1', [5397, 5398]]
['1', [5406, 5407]]
['1', [6064, 6065]]
['1', [6091, 6092]]
['1', [6169, 6170]]
['1', [6477, 6478]]
['1', [6514, 6515]]
['1', [6554, 6555]]
['1', [6806, 6807]]
['1', [6912, 6913]]
['1', [6939, 6940]]
['1', [6945, 6946]]
['1', [6947, 6948]]
['1', [7414, 7415]]
['1', [7416, 7417]]
['1', [7603, 7604]]
['1', [7650, 7651]]
['1', [7783, 7784]]
['1', [7955, 7956]]
['1', [7963, 7964]]
['1', [7965, 7966]]
['1', [8007, 8008]]
['1', [8096, 8097]]
['1', [8106, 8107]]
['1', [8426, 8427]]
['1', [8543, 8544]]
['1', [8639, 8640]]
['1', [9025, 9026]]
['1', [9037, 9038]]
['1', [9818, 9819]]
['1', [9826, 9827]]
['1', [9828, 9829]]
['1', [9892, 9893]]
['1', [9932, 9933]]
['1', [10034, 10035]]
['1', [10107, 10108]]
['1', [10176, 10177]]
['1', [10258, 10259]]
['1', [10282, 10283]]
['1', [10433, 10434]]
['1', [10495, 10496]]
['1', [10822, 10823]]
['1', [10824, 10825]]
['1', [10911, 10912]]
['1', [12074, 12075]]
['1', [12158, 12159]]
['1', [12368, 12369]]
['1', [12422, 12423]]
['1', [12446, 12447]]
['1', [12545, 12546]]
['1', [12580, 12581]]
['1', [13162, 13163]]
['1', [13189, 13190]]
['1', [13267, 13268]]
['1', [13575, 13576]]
['1', [13612, 13613]]
['1', [13652, 13653]]
['1', [13904, 13905]]
['1', [14010, 14011]]
['1', [14037, 14038]]
['1', [14043, 14044]]
['1', [14045, 14046]]
['1', [14513, 14514]]
['1', [14515, 14516]]
['1', [14702, 14703]]
['1', [14749, 14750]]
['1', [14882, 14883]]
['1', [15054, 15055]]
['1', [15062, 15063]]
['1', [15064, 15065]]
['1', [15106, 15107]]
['1', [15195, 15196]]
['1', [15205, 15206]]
['1', [15525, 15526]]
['1', [15642, 15643]]
['1', [15738, 15739]]
['1', [16125, 16126]]
['1', [16137, 16138]]
['1', [16918, 16919]]
['1', [16926, 16927]]
['1', [16928, 16929]]
['1', [16992, 16993]]
['1', [17032, 17033]]
['1', [17134, 17135]]
['1', [17207, 17208]]
['1', [17276, 17277]]
['1', [17358, 17359]]
['1', [17382, 17383]]
['1', [17533, 17534]]
['1', [17595, 17596]]
['1', [17923, 17924]]
['1', [17925, 17926]]
['1', [18012, 18013]]
['1', [19175, 19176]]
['1', [19259, 19260]]
['1', [19470, 19471]]
['1', [19524, 19525]]
['1', [19548, 19549]]
['1', [19647, 19648]]
['1', [19682, 19683]]
['1', [20341, 20342]]
['1', [21230, 21231]]
['1', [21322, 21323]]
['1', [21328, 21329]]
['1', [22579, 22580]]
['1', [22654, 22655]]
['1', [25806, 25807]]
['1', [26216, 26217]]
['1', [26416, 26417]]
['1', [27536, 27537]]
['1', [27877, 27878]]
['1', [27879, 27880]]
['1', [27921, 27922]]
['1', [27959, 27960]]
['1', [27964, 27965]]
['1', [28613, 28614]]
['1', [28963, 28964]]
['ocm', [1461, 1464]]
['ct', [13, 15]]
['ct', [177, 179]]
['ct', [522, 524]]
['ct', [670, 672]]
['ct', [728, 730]]
['ct', [765, 767]]
['ct', [1029, 1031]]
['ct', [1199, 1201]]
['ct', [1363, 1365]]
['ct', [1422, 1424]]
['ct', [1505, 1507]]
['ct', [1710, 1712]]
['ct', [1724, 1726]]
['ct', [1735, 1737]]
['ct', [1780, 1782]]
['ct', [2021, 2023]]
['ct', [2098, 2100]]
['ct', [2213, 2215]]
['ct', [2234, 2236]]
['ct', [2279, 2281]]
['ct', [2331, 2333]]
['ct', [2424, 2426]]
['ct', [2450, 2452]]
['ct', [2608, 2610]]
['ct', [2644, 2646]]
['ct', [2806, 2808]]
['ct', [2878, 2880]]
['ct', [3043, 3045]]
['ct', [3291, 3293]]
['ct', [3427, 3429]]
['ct', [3552, 3554]]
['ct', [3630, 3632]]
['ct', [3899, 3901]]
['ct', [3960, 3962]]
['ct', [3970, 3972]]
['ct', [4280, 4282]]
['ct', [4505, 4507]]
['ct', [4631, 4633]]
['ct', [5134, 5136]]
['ct', [5564, 5566]]
['ct', [5720, 5722]]
['ct', [5961, 5963]]
['ct', [6235, 6237]]
['ct', [6262, 6264]]
['ct', [6269, 6271]]
['ct', [7035, 7037]]
['ct', [7089, 7091]]
['ct', [9918, 9920]]
['ct', [10417, 10419]]
['ct', [10479, 10481]]
['ct', [10525, 10527]]
['ct', [10570, 10572]]
