genia tagger: 2836['bc', [762, 764]]
['bc', [2049, 2051]]
['bc', [4253, 4255]]
['bc', [12523, 12525]]
['bc', [36961, 36963]]
['bc', [40476, 40478]]
['bc', [53149, 53151]]
['70', [1471, 1473]]
['70', [2759, 2761]]
['70', [39130, 39132]]
['70', [39553, 39555]]
['70', [42645, 42647]]
['70', [43068, 43070]]
['70', [53489, 53491]]
['70', [53671, 53673]]
['70', [53818, 53820]]
['different', [1474, 1483]]
['different', [2762, 2771]]
['different', [6117, 6126]]
['different', [14387, 14396]]
['different', [23105, 23114]]
['different', [25583, 25592]]
['sites', [1484, 1489]]
['sites', [1880, 1885]]
['sites', [2772, 2777]]
['sites', [3169, 3174]]
['sites', [4127, 4132]]
['sites', [7801, 7806]]
['sites', [8529, 8534]]
['sites', [8662, 8667]]
['sites', [12167, 12172]]
['sites', [16071, 16076]]
['sites', [16799, 16804]]
['sites', [16932, 16937]]
['sites', [20437, 20442]]
['sites', [27268, 27273]]
['sites', [27996, 28001]]
['sites', [28129, 28134]]
['sites', [30416, 30421]]
['sites', [31144, 31149]]
['sites', [31277, 31282]]
['sites', [34783, 34788]]
['sites', [36447, 36452]]
['sites', [37397, 37402]]
['sites', [39133, 39138]]
['sites', [39219, 39224]]
['sites', [39924, 39929]]
['sites', [40912, 40917]]
['sites', [42648, 42653]]
['sites', [42734, 42739]]
['sites', [43439, 43444]]
['sites', [45591, 45596]]
['sites', [46371, 46376]]
['sites', [46958, 46963]]
['sites', [47056, 47061]]
['sites', [47282, 47287]]
['sites', [49525, 49530]]
['sites', [50305, 50310]]
['sites', [50892, 50897]]
['sites', [50990, 50995]]
['sites', [51216, 51221]]
['sites', [53674, 53679]]
['sites', [54344, 54349]]
['target', [3726, 3732]]
['target', [7277, 7283]]
['target', [8792, 8798]]
['target', [15547, 15553]]
['target', [17062, 17068]]
['target', [24265, 24271]]
['target', [26743, 26749]]
['target', [28259, 28265]]
['target', [31407, 31413]]
['target', [46779, 46785]]
['target', [50713, 50719]]
['site', [808, 812]]
['site', [1484, 1488]]
['site', [1880, 1884]]
['site', [2095, 2099]]
['site', [2772, 2776]]
['site', [3169, 3173]]
['site', [3733, 3737]]
['site', [4127, 4131]]
['site', [7801, 7805]]
['site', [8529, 8533]]
['site', [8662, 8666]]
['site', [9248, 9252]]
['site', [10656, 10660]]
['site', [12167, 12171]]
['site', [16071, 16075]]
['site', [16799, 16803]]
['site', [16932, 16936]]
