genia tagger: 8713['ethnic', [97, 103]]
['ethnic', [1042, 1048]]
['ethnic', [1729, 1735]]
['ethnic', [2334, 2340]]
['ethnic', [2721, 2727]]
['ethnic', [2863, 2869]]
['ethnic', [3121, 3127]]
['ethnic', [3640, 3646]]
['ethnic', [3890, 3896]]
['ethnic', [4644, 4650]]
['ethnic', [4863, 4869]]
['ethnic', [4935, 4941]]
['ethnic', [5600, 5606]]
['ethnic', [6145, 6151]]
['ethnic', [6561, 6567]]
['ethnic', [10010, 10016]]
['ethnic', [10051, 10057]]
['ethnic', [12345, 12351]]
['ethnic', [12890, 12896]]
['ethnic', [13306, 13312]]
['ethnic', [16758, 16764]]
['ethnic', [16799, 16805]]
['ethnic', [18774, 18780]]
['ethnic', [19146, 19152]]
['ethnic', [19973, 19979]]
['ethnic', [20253, 20259]]
['ethnic', [21277, 21283]]
['ethnic', [22332, 22338]]
['ethnic', [23090, 23096]]
['ethnic', [23885, 23891]]
['ethnic', [24883, 24889]]
['ethnic', [25255, 25261]]
['ethnic', [26082, 26088]]
['ethnic', [26362, 26368]]
['ethnic', [27386, 27392]]
['ethnic', [28441, 28447]]
['ethnic', [29199, 29205]]
['ethnic', [29994, 30000]]
['ethnic', [30863, 30869]]
['ethnic', [31044, 31050]]
['ethnic', [31159, 31165]]
['ethnic', [32067, 32073]]
['ethnic', [32378, 32384]]
['ethnic', [32645, 32651]]
['ethnic', [33145, 33151]]
['ethnic', [33793, 33799]]
['ethnic', [34113, 34119]]
['ethnic', [34800, 34806]]
['ethnic', [34875, 34881]]
['ethnic', [35438, 35444]]
['ethnic', [35656, 35662]]
['ethnic', [36060, 36066]]
['ethnic', [36780, 36786]]
['ethnic', [36978, 36984]]
['ethnic', [37792, 37798]]
['ethnic', [38585, 38591]]
['ethnic', [38653, 38659]]
['ethnic', [38703, 38709]]
['ethnic', [39114, 39120]]
['ethnic', [39395, 39401]]
['ethnic', [40227, 40233]]
['ethnic', [40716, 40722]]
['ethnic', [41235, 41241]]
['ethnic', [41766, 41772]]
['ethnic', [41947, 41953]]
['ethnic', [42062, 42068]]
['ethnic', [42970, 42976]]
['ethnic', [43281, 43287]]
['ethnic', [43548, 43554]]
['ethnic', [44048, 44054]]
['ethnic', [44696, 44702]]
['ethnic', [45016, 45022]]
['ethnic', [45703, 45709]]
['ethnic', [45778, 45784]]
['ethnic', [46341, 46347]]
['ethnic', [46559, 46565]]
['ethnic', [46963, 46969]]
['ethnic', [47683, 47689]]
['ethnic', [47881, 47887]]
['ethnic', [48695, 48701]]
['ethnic', [49488, 49494]]
['ethnic', [49556, 49562]]
['ethnic', [49606, 49612]]
['ethnic', [50017, 50023]]
['ethnic', [50298, 50304]]
['ethnic', [51130, 51136]]
['ethnic', [51619, 51625]]
['ethnic', [52138, 52144]]
['ethnic', [55929, 55935]]
['ethnic', [59367, 59373]]
['ethnic', [60758, 60764]]
['ethnic', [65273, 65279]]
['ethnic', [68711, 68717]]
['ethnic', [70102, 70108]]
['populations', [104, 115]]
['populations', [325, 336]]
['populations', [915, 926]]
['populations', [41071, 41082]]
['populations', [51974, 51985]]
['apis', [405, 409]]
['apis', [839, 843]]
['apis', [1001, 1005]]
['apis', [1066, 1070]]
['apis', [1393, 1397]]
['apis', [1707, 1711]]
['apis', [2010, 2014]]
['apis', [4714, 4718]]
['apis', [9249, 9253]]
['apis', [9279, 9283]]
['apis', [15997, 16001]]
['apis', [16027, 16031]]
['apis', [19766, 19770]]
['apis', [20212, 20216]]
['apis', [20277, 20281]]
['apis', [20621, 20625]]
['apis', [20825, 20829]]
['apis', [20959, 20963]]
['apis', [21585, 21589]]
['apis', [21854, 21858]]
['apis', [22463, 22467]]
['apis', [24528, 24532]]
['apis', [25875, 25879]]
['apis', [26321, 26325]]
['apis', [26386, 26390]]
['apis', [26730, 26734]]
['apis', [26934, 26938]]
['apis', [27068, 27072]]
['apis', [27694, 27698]]
['apis', [27963, 27967]]
['apis', [28572, 28576]]
['apis', [30637, 30641]]
['apis', [30766, 30770]]
['apis', [31230, 31234]]
['apis', [31321, 31325]]
['apis', [31550, 31554]]
['apis', [31720, 31724]]
['apis', [35461, 35465]]
['apis', [37236, 37240]]
['apis', [39353, 39357]]
['apis', [40579, 40583]]
['apis', [41312, 41316]]
['apis', [41669, 41673]]
['apis', [42133, 42137]]
['apis', [42224, 42228]]
['apis', [42453, 42457]]
['apis', [42623, 42627]]
['apis', [46364, 46368]]
['apis', [48139, 48143]]
['apis', [50256, 50260]]
['apis', [51482, 51486]]
['apis', [52215, 52219]]
['hrs', [626, 629]]
['hrs', [9604, 9607]]
['hrs', [16352, 16355]]
['hrs', [23204, 23207]]
['hrs', [29313, 29316]]
['hrs', [60228, 60231]]
['hrs', [61622, 61625]]
['hrs', [69572, 69575]]
['hrs', [70966, 70969]]
['cis', [662, 665]]
['cis', [9640, 9643]]
['cis', [16388, 16391]]
['cis', [41471, 41474]]
['cis', [52374, 52377]]
['chinese\\.', [1172, 1181]]
['chinese\\.', [1496, 1505]]
['chinese\\.', [38937, 38946]]
['chinese\\.', [49840, 49849]]
['other', [1006, 1011]]
['other', [1060, 1065]]
['other', [1387, 1392]]
['other', [1505, 1510]]
['other', [3091, 3096]]
['other', [5807, 5812]]
['other', [6032, 6037]]
['other', [6135, 6140]]
['other', [6251, 6256]]
['other', [8843, 8848]]
['other', [9243, 9248]]
['other', [10364, 10369]]
['other', [10443, 10448]]
['other', [10756, 10761]]
['other', [10793, 10798]]
['other', [11355, 11360]]
['other', [11373, 11378]]
['other', [12552, 12557]]
['other', [12777, 12782]]
['other', [12880, 12885]]
['other', [12996, 13001]]
['other', [15591, 15596]]
['other', [15991, 15996]]
['other', [17112, 17117]]
['other', [17191, 17196]]
['other', [17504, 17509]]
['other', [17541, 17546]]
['other', [18103, 18108]]
['other', [18121, 18126]]
['other', [18849, 18854]]
['other', [18889, 18894]]
['other', [19535, 19540]]
['other', [19760, 19765]]
['other', [19963, 19968]]
['other', [20217, 20222]]
['other', [20271, 20276]]
['other', [20615, 20620]]
['other', [20819, 20824]]
['other', [21496, 21501]]
['other', [21513, 21518]]
['other', [21579, 21584]]
['other', [21848, 21853]]
['other', [22062, 22067]]
['other', [22080, 22085]]
['other', [22351, 22356]]
['other', [22592, 22597]]
['other', [22898, 22903]]
['other', [23225, 23230]]
['other', [23243, 23248]]
['other', [23521, 23526]]
['other', [23652, 23657]]
['other', [24042, 24047]]
['other', [24232, 24237]]
['other', [24522, 24527]]
['other', [24958, 24963]]
['other', [24998, 25003]]
['other', [25644, 25649]]
['other', [25869, 25874]]
['other', [26072, 26077]]
['other', [26326, 26331]]
['other', [26380, 26385]]
['other', [26724, 26729]]
['other', [26928, 26933]]
['other', [27605, 27610]]
['other', [27622, 27627]]
['other', [27688, 27693]]
['other', [27957, 27962]]
['other', [28171, 28176]]
['other', [28189, 28194]]
['other', [28460, 28465]]
['other', [28701, 28706]]
['other', [29007, 29012]]
['other', [29334, 29339]]
['other', [29352, 29357]]
['other', [29630, 29635]]
['other', [29761, 29766]]
['other', [30151, 30156]]
['other', [30341, 30346]]
['other', [30631, 30636]]
['other', [30850, 30855]]
['other', [31544, 31549]]
['other', [31714, 31719]]
['other', [31876, 31881]]
['other', [31935, 31940]]
['other', [32365, 32370]]
['other', [33267, 33272]]
['other', [33783, 33788]]
['other', [34101, 34106]]
['other', [35521, 35526]]
['other', [37534, 37539]]
['other', [38033, 38038]]
['other', [38244, 38249]]
['other', [38534, 38539]]
['other', [38966, 38971]]
['other', [39456, 39461]]
['other', [39886, 39891]]
['other', [41501, 41506]]
['other', [41753, 41758]]
['other', [42447, 42452]]
['other', [42617, 42622]]
['other', [42779, 42784]]
['other', [42838, 42843]]
['other', [43268, 43273]]
['other', [44170, 44175]]
['other', [44686, 44691]]
['other', [45004, 45009]]
['other', [46424, 46429]]
['other', [48437, 48442]]
['other', [48936, 48941]]
['other', [49147, 49152]]
['other', [49437, 49442]]
['other', [49869, 49874]]
['other', [50359, 50364]]
['other', [50789, 50794]]
['other', [52404, 52409]]
['other', [52751, 52756]]
['other', [54778, 54783]]
['other', [54893, 54898]]
['other', [55452, 55457]]
['other', [55616, 55621]]
['other', [56063, 56068]]
['other', [58067, 58072]]
['other', [58183, 58188]]
['other', [58754, 58759]]
['other', [58924, 58929]]
['other', [59549, 59554]]
['other', [60133, 60138]]
['other', [60201, 60206]]
['other', [60335, 60340]]
['other', [60361, 60366]]
['other', [60941, 60946]]
['other', [61527, 61532]]
['other', [61595, 61600]]
['other', [61729, 61734]]
['other', [61755, 61760]]
['other', [62095, 62100]]
['other', [64122, 64127]]
['other', [64237, 64242]]
['other', [64796, 64801]]
['other', [64960, 64965]]
['other', [65407, 65412]]
['other', [67411, 67416]]
['other', [67527, 67532]]
['other', [68098, 68103]]
['other', [68268, 68273]]
['other', [68893, 68898]]
['other', [69477, 69482]]
['other', [69545, 69550]]
['other', [69679, 69684]]
['other', [69705, 69710]]
['other', [70285, 70290]]
['other', [70871, 70876]]
['other', [70939, 70944]]
['other', [71073, 71078]]
['other', [71099, 71104]]
['factors', [1511, 1518]]
['factors', [22357, 22364]]
['factors', [28466, 28473]]
['factors', [31893, 31900]]
['factors', [34156, 34163]]
['factors', [39597, 39604]]
['factors', [42796, 42803]]
['factors', [45059, 45066]]
['factors', [50500, 50507]]
['nsclc', [196, 201]]
['nsclc', [415, 420]]
['nsclc', [573, 578]]
['nsclc', [1751, 1756]]
['nsclc', [2092, 2097]]
['nsclc', [2575, 2580]]
['nsclc', [2646, 2651]]
['nsclc', [3158, 3163]]
['nsclc', [4583, 4588]]
['nsclc', [4847, 4852]]
['nsclc', [6857, 6862]]
['nsclc', [9784, 9789]]
['nsclc', [10974, 10979]]
['nsclc', [13602, 13607]]
['nsclc', [16532, 16537]]
['nsclc', [17722, 17727]]
['nsclc', [18591, 18596]]
['nsclc', [20029, 20034]]
['nsclc', [20338, 20343]]
['nsclc', [20438, 20443]]
['nsclc', [21042, 21047]]
['nsclc', [21559, 21564]]
['nsclc', [21815, 21820]]
['nsclc', [22444, 22449]]
['nsclc', [22907, 22912]]
['nsclc', [23826, 23831]]
['nsclc', [24700, 24705]]
['nsclc', [26138, 26143]]
['nsclc', [26447, 26452]]
['nsclc', [26547, 26552]]
['nsclc', [27151, 27156]]
['nsclc', [27668, 27673]]
['nsclc', [27924, 27929]]
['nsclc', [28553, 28558]]
['nsclc', [29016, 29021]]
['nsclc', [29935, 29940]]
['nsclc', [30819, 30824]]
['nsclc', [31133, 31138]]
['nsclc', [33182, 33187]]
['nsclc', [34279, 34284]]
['nsclc', [34633, 34638]]
['nsclc', [35189, 35194]]
['nsclc', [35583, 35588]]
['nsclc', [36356, 36361]]
['nsclc', [36400, 36405]]
['nsclc', [36958, 36963]]
['nsclc', [37072, 37077]]
['nsclc', [37224, 37229]]
['nsclc', [37711, 37716]]
['nsclc', [38478, 38483]]
['nsclc', [39639, 39644]]
['nsclc', [39813, 39818]]
['nsclc', [40039, 40044]]
['nsclc', [40655, 40660]]
['nsclc', [41722, 41727]]
['nsclc', [42036, 42041]]
['nsclc', [44085, 44090]]
['nsclc', [45182, 45187]]
['nsclc', [45536, 45541]]
['nsclc', [46092, 46097]]
['nsclc', [46486, 46491]]
['nsclc', [47259, 47264]]
['nsclc', [47303, 47308]]
['nsclc', [47861, 47866]]
['nsclc', [47975, 47980]]
['nsclc', [48127, 48132]]
['nsclc', [48614, 48619]]
['nsclc', [49381, 49386]]
['nsclc', [50542, 50547]]
['nsclc', [50716, 50721]]
['nsclc', [50942, 50947]]
['nsclc', [51558, 51563]]
['ses', [1589, 1592]]
['ses', [2848, 2851]]
['ses', [3765, 3768]]
['ses', [4655, 4658]]
['ses', [5291, 5294]]
['ses', [5819, 5822]]
['ses', [7081, 7084]]
['ses', [7193, 7196]]
['ses', [7412, 7415]]
['ses', [7679, 7682]]
['ses', [7746, 7749]]
['ses', [7810, 7813]]
['ses', [7848, 7851]]
['ses', [8852, 8855]]
['ses', [9193, 9196]]
['ses', [10594, 10597]]
['ses', [10615, 10618]]
['ses', [11097, 11100]]
['ses', [11410, 11413]]
['ses', [11664, 11667]]
['ses', [11674, 11677]]
['ses', [12036, 12039]]
['ses', [12564, 12567]]
['ses', [13827, 13830]]
['ses', [13939, 13942]]
['ses', [14158, 14161]]
['ses', [14425, 14428]]
['ses', [14492, 14495]]
['ses', [14556, 14559]]
['ses', [14594, 14597]]
['ses', [15600, 15603]]
['ses', [15941, 15944]]
['ses', [17342, 17345]]
['ses', [17363, 17366]]
['ses', [17845, 17848]]
['ses', [18158, 18161]]
['ses', [18412, 18415]]
['ses', [18422, 18425]]
['ses', [18806, 18809]]
['ses', [21384, 21387]]
['ses', [22709, 22712]]
['ses', [23781, 23784]]
['ses', [23987, 23990]]
['ses', [24337, 24340]]
['ses', [24443, 24446]]
['ses', [24915, 24918]]
['ses', [27493, 27496]]
['ses', [28818, 28821]]
['ses', [29890, 29893]]
['ses', [30096, 30099]]
['ses', [30446, 30449]]
['ses', [30552, 30555]]
['ses', [31855, 31858]]
['ses', [31985, 31988]]
['ses', [32144, 32147]]
['ses', [32162, 32165]]
['ses', [32305, 32308]]
['ses', [32585, 32588]]
['ses', [32780, 32783]]
['ses', [32887, 32890]]
['ses', [32968, 32971]]
['ses', [33260, 33263]]
['ses', [33487, 33490]]
['ses', [33641, 33644]]
['ses', [34179, 34182]]
['ses', [36465, 36468]]
['ses', [36883, 36886]]
['ses', [39152, 39155]]
['ses', [39711, 39714]]
['ses', [40305, 40308]]
['ses', [42758, 42761]]
['ses', [42888, 42891]]
['ses', [43047, 43050]]
['ses', [43065, 43068]]
['ses', [43208, 43211]]
['ses', [43488, 43491]]
['ses', [43683, 43686]]
['ses', [43790, 43793]]
['ses', [43871, 43874]]
