genia tagger: 7836['let-7', [29, 34]]
['let-7', [1052, 1057]]
['let-7', [1060, 1065]]
['let-7', [1068, 1073]]
['let-7', [1080, 1085]]
['let-7', [9023, 9028]]
['let-7', [10767, 10772]]
['let-7', [11044, 11049]]
['let-7', [19581, 19586]]
['let-7', [19589, 19594]]
['let-7', [28074, 28079]]
['let-7', [28082, 28087]]
['let-7', [34234, 34239]]
['let-7', [35977, 35982]]
['let-7', [36254, 36259]]
['let-7', [42431, 42436]]
['let-7', [44174, 44179]]
['let-7', [44451, 44456]]
['let-7', [54151, 54156]]
['let-7', [54284, 54289]]
['let-7', [54384, 54389]]
['let-7', [54468, 54473]]
['let-7', [54562, 54567]]
['let-7', [54702, 54707]]
['let-7', [54834, 54839]]
['let-7', [54988, 54993]]
['let-7', [55151, 55156]]
['let-7', [55235, 55240]]
['let-7', [55906, 55911]]
['let-7', [61443, 61448]]
['let-7', [61576, 61581]]
['let-7', [61676, 61681]]
['let-7', [61760, 61765]]
['let-7', [61854, 61859]]
['let-7', [61994, 61999]]
['let-7', [62126, 62131]]
['let-7', [62280, 62285]]
['let-7', [62443, 62448]]
['let-7', [62527, 62532]]
['let-7', [63198, 63203]]
['let-7', [64327, 64332]]
['let-7', [64752, 64757]]
['let-7', [65923, 65928]]
['let-7', [66219, 66224]]
['let-7', [66323, 66328]]
['let-7', [66420, 66425]]
['let-7', [66520, 66525]]
['let-7', [66621, 66626]]
['let-7', [66716, 66721]]
['let-7', [67069, 67074]]
['let-7', [67494, 67499]]
['let-7', [68665, 68670]]
['let-7', [68961, 68966]]
['let-7', [69065, 69070]]
['let-7', [69162, 69167]]
['let-7', [69262, 69267]]
['let-7', [69363, 69368]]
['let-7', [69458, 69463]]
['gemcitabine-resistant', [115, 136]]
['gemcitabine-resistant', [810, 831]]
['gemcitabine-resistant', [1123, 1144]]
['gemcitabine-resistant', [1438, 1459]]
['gemcitabine-resistant', [8006, 8027]]
['gemcitabine-resistant', [8817, 8838]]
['gemcitabine-resistant', [8938, 8959]]
['gemcitabine-resistant', [9059, 9080]]
['gemcitabine-resistant', [9171, 9192]]
['gemcitabine-resistant', [9379, 9400]]
['gemcitabine-resistant', [9629, 9650]]
['gemcitabine-resistant', [10029, 10050]]
['gemcitabine-resistant', [10163, 10184]]
['gemcitabine-resistant', [11222, 11243]]
['gemcitabine-resistant', [11564, 11585]]
['gemcitabine-resistant', [12419, 12440]]
['gemcitabine-resistant', [14515, 14536]]
['gemcitabine-resistant', [14601, 14622]]
['gemcitabine-resistant', [14791, 14812]]
['gemcitabine-resistant', [16097, 16118]]
['gemcitabine-resistant', [16271, 16292]]
['gemcitabine-resistant', [22239, 22260]]
['gemcitabine-resistant', [23724, 23745]]
['gemcitabine-resistant', [23828, 23849]]
['gemcitabine-resistant', [24761, 24782]]
['gemcitabine-resistant', [30735, 30756]]
['gemcitabine-resistant', [32222, 32243]]
['gemcitabine-resistant', [32326, 32347]]
['gemcitabine-resistant', [33217, 33238]]
['gemcitabine-resistant', [34028, 34049]]
['gemcitabine-resistant', [34149, 34170]]
['gemcitabine-resistant', [34270, 34291]]
['gemcitabine-resistant', [34382, 34403]]
['gemcitabine-resistant', [34590, 34611]]
['gemcitabine-resistant', [34840, 34861]]
['gemcitabine-resistant', [35240, 35261]]
['gemcitabine-resistant', [35374, 35395]]
['gemcitabine-resistant', [36432, 36453]]
['gemcitabine-resistant', [36773, 36794]]
['gemcitabine-resistant', [37628, 37649]]
['gemcitabine-resistant', [39723, 39744]]
['gemcitabine-resistant', [39809, 39830]]
['gemcitabine-resistant', [39998, 40019]]
['gemcitabine-resistant', [41304, 41325]]
['gemcitabine-resistant', [41414, 41435]]
['gemcitabine-resistant', [42225, 42246]]
['gemcitabine-resistant', [42346, 42367]]
['gemcitabine-resistant', [42467, 42488]]
['gemcitabine-resistant', [42579, 42600]]
['gemcitabine-resistant', [42787, 42808]]
['gemcitabine-resistant', [43037, 43058]]
['gemcitabine-resistant', [43437, 43458]]
['gemcitabine-resistant', [43571, 43592]]
['gemcitabine-resistant', [44629, 44650]]
['gemcitabine-resistant', [44970, 44991]]
['gemcitabine-resistant', [45825, 45846]]
['gemcitabine-resistant', [47920, 47941]]
['gemcitabine-resistant', [48006, 48027]]
['gemcitabine-resistant', [48195, 48216]]
['gemcitabine-resistant', [49501, 49522]]
['gemcitabine-resistant', [50723, 50744]]
['gemcitabine-resistant', [51849, 51870]]
['gemcitabine-resistant', [51988, 52009]]
['gemcitabine-resistant', [52818, 52839]]
['gemcitabine-resistant', [56016, 56037]]
['gemcitabine-resistant', [56187, 56208]]
['gemcitabine-resistant', [58015, 58036]]
['gemcitabine-resistant', [59141, 59162]]
['gemcitabine-resistant', [59280, 59301]]
['gemcitabine-resistant', [60110, 60131]]
['gemcitabine-resistant', [63308, 63329]]
