genia tagger: 1060['standard', [964, 972]]
['standard', [2678, 2686]]
['standard', [10726, 10734]]
['standard', [12442, 12450]]
['standard', [14354, 14362]]
['standard', [17540, 17548]]
['standard', [32013, 32021]]
['standard', [35176, 35184]]
['standard', [35456, 35464]]
['standard', [37366, 37374]]
['standard', [40529, 40537]]
['standard', [40809, 40817]]
['standard', [41562, 41570]]
['standard', [45590, 45598]]
['form\\.', [973, 979]]
['form\\.', [10735, 10741]]
['data', [487, 491]]
['data', [869, 873]]
['data', [979, 983]]
['data', [1943, 1947]]
['data', [2980, 2984]]
['data', [4210, 4214]]
['data', [4409, 4413]]
['data', [4524, 4528]]
['data', [4616, 4620]]
['data', [5016, 5020]]
['data', [5429, 5433]]
['data', [7818, 7822]]
['data', [7869, 7873]]
['data', [8082, 8086]]
['data', [10631, 10635]]
['data', [10741, 10745]]
['data', [11706, 11710]]
['data', [12633, 12637]]
['data', [13180, 13184]]
['data', [14027, 14031]]
['data', [14226, 14230]]
['data', [14332, 14336]]
['data', [14382, 14386]]
['data', [14912, 14916]]
['data', [15181, 15185]]
['data', [15351, 15355]]
['data', [15817, 15821]]
['data', [16364, 16368]]
['data', [17212, 17216]]
['data', [17412, 17416]]
['data', [17518, 17522]]
['data', [17568, 17572]]
['data', [18098, 18102]]
['data', [18367, 18371]]
['data', [18537, 18541]]
['data', [19043, 19047]]
['data', [19380, 19384]]
['data', [19542, 19546]]
['data', [21983, 21987]]
['data', [22034, 22038]]
['data', [22247, 22251]]
['data', [24664, 24668]]
['data', [25001, 25005]]
['data', [25163, 25167]]
['data', [27604, 27608]]
['data', [27655, 27659]]
['data', [27868, 27872]]
['data', [32115, 32119]]
['data', [34925, 34929]]
['data', [37468, 37472]]
['data', [40278, 40282]]
['data', [41894, 41898]]
['data', [41987, 41991]]
['data', [42322, 42326]]
['data', [42379, 42383]]
['data', [42588, 42592]]
['data', [42796, 42800]]
['data', [43942, 43946]]
['data', [45922, 45926]]
['data', [46015, 46019]]
['data', [46350, 46354]]
['data', [46407, 46411]]
['data', [46616, 46620]]
['data', [46824, 46828]]
['data', [47970, 47974]]
['items', [950, 955]]
['items', [984, 989]]
['items', [1167, 1172]]
['items', [10712, 10717]]
['items', [10746, 10751]]
['items', [10929, 10934]]
['items', [14649, 14654]]
['items', [17835, 17840]]
['included', [990, 998]]
['included', [1394, 1402]]
['included', [7860, 7868]]
['included', [9262, 9270]]
['included', [9638, 9646]]
['included', [10752, 10760]]
['included', [11156, 11164]]
['included', [14407, 14415]]
['included', [17593, 17601]]
['included', [22025, 22033]]
['included', [23427, 23435]]
['included', [23803, 23811]]
['included', [27646, 27654]]
['included', [29048, 29056]]
['included', [29424, 29432]]
['included', [31212, 31220]]
['included', [36565, 36573]]
['included', [41242, 41250]]
['included', [41428, 41436]]
['included', [45270, 45278]]
['included', [45456, 45464]]
['cancer', [28, 34]]
['cancer', [187, 193]]
['cancer', [671, 677]]
['cancer', [771, 777]]
['cancer', [999, 1005]]
['cancer', [1206, 1212]]
['cancer', [2407, 2413]]
['cancer', [2845, 2851]]
['cancer', [3176, 3182]]
['cancer', [3197, 3203]]
['cancer', [3385, 3391]]
['cancer', [3508, 3514]]
['cancer', [3561, 3567]]
['cancer', [3656, 3662]]
['cancer', [5702, 5708]]
['cancer', [5803, 5809]]
['cancer', [5926, 5932]]
['cancer', [6083, 6089]]
['cancer', [7879, 7885]]
['cancer', [10533, 10539]]
['cancer', [10761, 10767]]
['cancer', [10968, 10974]]
['cancer', [12171, 12177]]
['cancer', [12607, 12613]]
['cancer', [12934, 12940]]
['cancer', [13432, 13438]]
['cancer', [13538, 13544]]
['cancer', [13708, 13714]]
['cancer', [14416, 14422]]
['cancer', [16118, 16124]]
['cancer', [16617, 16623]]
['cancer', [16723, 16729]]
['cancer', [16893, 16899]]
['cancer', [17602, 17608]]
['cancer', [19244, 19250]]
['cancer', [19258, 19264]]
['cancer', [19735, 19741]]
['cancer', [19767, 19773]]
['cancer', [20092, 20098]]
['cancer', [20249, 20255]]
['cancer', [22044, 22050]]
['cancer', [24865, 24871]]
['cancer', [24879, 24885]]
['cancer', [25356, 25362]]
['cancer', [25388, 25394]]
['cancer', [25713, 25719]]
['cancer', [25870, 25876]]
['cancer', [27665, 27671]]
['cancer', [30431, 30437]]
['cancer', [30688, 30694]]
['cancer', [31053, 31059]]
['cancer', [33451, 33457]]
['cancer', [34616, 34622]]
['cancer', [35784, 35790]]
['cancer', [36041, 36047]]
['cancer', [36406, 36412]]
['cancer', [38804, 38810]]
['cancer', [39969, 39975]]
['cancer', [41085, 41091]]
['cancer', [41217, 41223]]
['cancer', [41309, 41315]]
['cancer', [42105, 42111]]
['cancer', [44661, 44667]]
['cancer', [44689, 44695]]
['cancer', [44701, 44707]]
['cancer', [45010, 45016]]
['cancer', [45113, 45119]]
['cancer', [45245, 45251]]
['cancer', [45337, 45343]]
['cancer', [46133, 46139]]
['cancer', [48689, 48695]]
['cancer', [48717, 48723]]
['cancer', [48729, 48735]]
['cancer', [49038, 49044]]
['site', [1006, 1010]]
['site', [10768, 10772]]
['site', [14423, 14427]]
['site', [17609, 17613]]
['site', [44696, 44700]]
['site', [44708, 44712]]
['site', [48724, 48728]]
['site', [48736, 48740]]
['table', [6117, 6122]]
['table', [9898, 9903]]
['table', [15552, 15557]]
['table', [15806, 15811]]
['table', [18738, 18743]]
['table', [18992, 18997]]
['table', [20283, 20288]]
['table', [24063, 24068]]
['table', [25904, 25909]]
['table', [29684, 29689]]
['table', [41029, 41034]]
['table', [41797, 41802]]
['table', [44623, 44628]]
['table', [45057, 45062]]
['table', [45825, 45830]]
['table', [48651, 48656]]
['2', [749, 750]]
['2', [1886, 1887]]
['2', [4421, 4422]]
['2', [6123, 6124]]
['2', [6225, 6226]]
['2', [6296, 6297]]
['2', [6327, 6328]]
['2', [6364, 6365]]
['2', [6370, 6371]]
['2', [7088, 7089]]
['2', [7296, 7297]]
['2', [7464, 7465]]
['2', [7490, 7491]]
['2', [7510, 7511]]
['2', [7560, 7561]]
['2', [7566, 7567]]
['2', [8325, 8326]]
['2', [8438, 8439]]
['2', [8537, 8538]]
['2', [10307, 10308]]
['2', [10511, 10512]]
['2', [11649, 11650]]
['2', [12806, 12807]]
['2', [15990, 15991]]
['2', [19444, 19445]]
['2', [20289, 20290]]
['2', [20391, 20392]]
['2', [20462, 20463]]
['2', [20493, 20494]]
['2', [20530, 20531]]
['2', [20536, 20537]]
['2', [21253, 21254]]
['2', [21461, 21462]]
['2', [21629, 21630]]
['2', [21655, 21656]]
['2', [21675, 21676]]
['2', [21725, 21726]]
['2', [21731, 21732]]
['2', [22490, 22491]]
['2', [22603, 22604]]
['2', [22702, 22703]]
['2', [24472, 24473]]
['2', [25065, 25066]]
['2', [25910, 25911]]
['2', [26012, 26013]]
['2', [26083, 26084]]
['2', [26114, 26115]]
['2', [26151, 26152]]
['2', [26157, 26158]]
['2', [26874, 26875]]
['2', [27082, 27083]]
['2', [27250, 27251]]
['2', [27276, 27277]]
['2', [27296, 27297]]
['2', [27346, 27347]]
['2', [27352, 27353]]
['2', [28111, 28112]]
['2', [28224, 28225]]
['2', [28323, 28324]]
['2', [30093, 30094]]
['2', [32053, 32054]]
['2', [34374, 34375]]
['2', [37406, 37407]]
['2', [39727, 39728]]
['2', [41126, 41127]]
['2', [41284, 41285]]
['2', [41481, 41482]]
['2', [43806, 43807]]
['2', [44298, 44299]]
['2', [44307, 44308]]
['2', [44629, 44630]]
['2', [44755, 44756]]
['2', [44763, 44764]]
['2', [44802, 44803]]
['2', [44818, 44819]]
['2', [44819, 44820]]
['2', [44824, 44825]]
['2', [44833, 44834]]
['2', [44969, 44970]]
['2', [44983, 44984]]
['2', [45018, 45019]]
['2', [45154, 45155]]
['2', [45312, 45313]]
['2', [45509, 45510]]
['2', [47834, 47835]]
['2', [48326, 48327]]
['2', [48335, 48336]]
['2', [48657, 48658]]
['2', [48783, 48784]]
['2', [48791, 48792]]
['2', [48830, 48831]]
['2', [48846, 48847]]
['2', [48847, 48848]]
['2', [48852, 48853]]
['2', [48861, 48862]]
['2', [48997, 48998]]
['2', [49011, 49012]]
['2', [49046, 49047]]
['\xe2\x80\x9cmodel', [1799, 1807]]
['\xe2\x80\x9cmodel', [4731, 4739]]
['\xe2\x80\x9cmodel', [7183, 7191]]
['\xe2\x80\x9cmodel', [7206, 7214]]
['\xe2\x80\x9cmodel', [11562, 11570]]
['\xe2\x80\x9cmodel', [21348, 21356]]
['\xe2\x80\x9cmodel', [21371, 21379]]
['\xe2\x80\x9cmodel', [26969, 26977]]
['\xe2\x80\x9cmodel', [26992, 27000]]
['fitting\xe2\x80\x9d', [1808, 1818]]
['fitting\xe2\x80\x9d', [4740, 4750]]
['fitting\xe2\x80\x9d', [7192, 7202]]
['fitting\xe2\x80\x9d', [11571, 11581]]
['fitting\xe2\x80\x9d', [21357, 21367]]
['fitting\xe2\x80\x9d', [26978, 26988]]
['natural', [328, 335]]
['natural', [3697, 3704]]
['natural', [3978, 3985]]
['natural', [6045, 6052]]
['natural', [12985, 12992]]
['natural', [13413, 13420]]
['natural', [13635, 13642]]
['natural', [13988, 13995]]
['natural', [16169, 16176]]
['natural', [16598, 16605]]
['natural', [16820, 16827]]
['natural', [17173, 17180]]
['natural', [19320, 19327]]
['natural', [19716, 19723]]
['natural', [20211, 20218]]
['natural', [24941, 24948]]
['natural', [25337, 25344]]
['natural', [25832, 25839]]
['natural', [33856, 33863]]
['natural', [39209, 39216]]
['history', [336, 343]]
['history', [3705, 3712]]
['history', [3986, 3993]]
['history', [6053, 6060]]
['history', [12993, 13000]]
['history', [13421, 13428]]
['history', [13643, 13650]]
['history', [13996, 14003]]
['history', [16177, 16184]]
['history', [16606, 16613]]
['history', [16828, 16835]]
['history', [17181, 17188]]
['history', [19328, 19335]]
['history', [19724, 19731]]
['history', [20219, 20226]]
['history', [24949, 24956]]
['history', [25345, 25352]]
['history', [25840, 25847]]
['history', [33864, 33871]]
['history', [39217, 39224]]
['component', [2453, 2462]]
['component', [5088, 5097]]
['component', [12217, 12226]]
['component', [13651, 13660]]
['component', [15032, 15041]]
['component', [15763, 15772]]
['component', [16836, 16845]]
['component', [18218, 18227]]
['component', [18949, 18958]]
['component', [30488, 30497]]
['component', [32324, 32333]]
['component', [35841, 35850]]
['component', [37677, 37686]]
['component', [41829, 41838]]
['component', [45857, 45866]]
['pre-determined', [935, 949]]
['pre-determined', [10697, 10711]]
['pre-determined', [14317, 14331]]
['pre-determined', [17503, 17517]]
['elements', [14337, 14345]]
['elements', [14387, 14395]]
['elements', [17523, 17531]]
['elements', [17573, 17581]]
['elements', [41660, 41668]]
['elements', [41708, 41716]]
['elements', [45688, 45696]]
['elements', [45736, 45744]]
['gof', [15259, 15262]]
['gof', [15585, 15588]]
['gof', [18445, 18448]]
['gof', [18771, 18774]]
['gof', [42520, 42523]]
['gof', [42956, 42959]]
['gof', [43996, 43999]]
['gof', [46548, 46551]]
['gof', [46984, 46987]]
['gof', [48024, 48027]]
['1', [736, 737]]
['1', [1565, 1566]]
['1', [1642, 1643]]
['1', [1644, 1645]]
['1', [1879, 1880]]
['1', [1887, 1888]]
['1', [2886, 2887]]
['1', [3339, 3340]]
['1', [3672, 3673]]
['1', [3673, 3674]]
['1', [4420, 4421]]
['1', [4427, 4428]]
['1', [4873, 4874]]
['1', [6006, 6007]]
['1', [6211, 6212]]
['1', [6363, 6364]]
['1', [6369, 6370]]
['1', [6375, 6376]]
['1', [6381, 6382]]
['1', [6387, 6388]]
['1', [6389, 6390]]
['1', [6393, 6394]]
['1', [6399, 6400]]
['1', [6414, 6415]]
['1', [6416, 6417]]
['1', [6720, 6721]]
['1', [6836, 6837]]
['1', [6838, 6839]]
['1', [7083, 7084]]
['1', [7087, 7088]]
['1', [7264, 7265]]
['1', [7265, 7266]]
['1', [7274, 7275]]
['1', [7297, 7298]]
['1', [7485, 7486]]
['1', [7529, 7530]]
['1', [7535, 7536]]
['1', [7541, 7542]]
