genia tagger: 5255['tmz', [28, 31]]
['tmz', [133, 136]]
['tmz', [186, 189]]
['tmz', [300, 303]]
['tmz', [347, 350]]
['tmz', [480, 483]]
['tmz', [489, 492]]
['tmz', [760, 763]]
['tmz', [826, 829]]
['tmz', [1332, 1335]]
['tmz', [1396, 1399]]
['tmz', [1451, 1454]]
['tmz', [1484, 1487]]
['tmz', [1596, 1599]]
['tmz', [1779, 1782]]
['tmz', [1831, 1834]]
['tmz', [2053, 2056]]
['tmz', [2206, 2209]]
['tmz', [2234, 2237]]
['tmz', [2375, 2378]]
['tmz', [2773, 2776]]
['tmz', [3243, 3246]]
['tmz', [3341, 3344]]
['tmz', [3546, 3549]]
['tmz', [3671, 3674]]
['tmz', [3738, 3741]]
['tmz', [3758, 3761]]
['tmz', [3984, 3987]]
['tmz', [4323, 4326]]
['tmz', [4332, 4335]]
['tmz', [4604, 4607]]
['tmz', [4670, 4673]]
['tmz', [5176, 5179]]
['tmz', [5240, 5243]]
['tmz', [5295, 5298]]
['tmz', [5328, 5331]]
['tmz', [5441, 5444]]
['tmz', [5624, 5627]]
['tmz', [6716, 6719]]
['tmz', [6823, 6826]]
['tmz', [6835, 6838]]
['tmz', [9193, 9196]]
['tmz', [9317, 9320]]
['tmz', [11147, 11150]]
['tmz', [11254, 11257]]
['tmz', [11266, 11269]]
['tmz', [13624, 13627]]
['tmz', [13748, 13751]]
['tmz', [14926, 14929]]
['tmz', [15033, 15036]]
['tmz', [15045, 15048]]
['tmz', [17406, 17409]]
['tmz', [17530, 17533]]
['tmz', [18487, 18490]]
['tmz', [19610, 19613]]
['tmz', [19775, 19778]]
['tmz', [19963, 19966]]
['tmz', [20013, 20016]]
['tmz', [20032, 20035]]
['tmz', [20424, 20427]]
['tmz', [20435, 20438]]
['tmz', [20710, 20713]]
['tmz', [20914, 20917]]
['tmz', [21005, 21008]]
['tmz', [21015, 21018]]
['tmz', [21341, 21344]]
['tmz', [21520, 21523]]
['tmz', [21726, 21729]]
['tmz', [21834, 21837]]
['tmz', [22129, 22132]]
['tmz', [22136, 22139]]
['tmz', [22976, 22979]]
['tmz', [23005, 23008]]
['tmz', [23470, 23473]]
['tmz', [23540, 23543]]
['tmz', [23651, 23654]]
['tmz', [23729, 23732]]
['tmz', [24075, 24078]]
['tmz', [24186, 24189]]
['tmz', [24406, 24409]]
['tmz', [24984, 24987]]
['tmz', [25457, 25460]]
['tmz', [25617, 25620]]
['tmz', [25849, 25852]]
['tmz', [25940, 25943]]
['tmz', [25975, 25978]]
['tmz', [25988, 25991]]
['tmz', [26008, 26011]]
['tmz', [26052, 26055]]
['tmz', [26057, 26060]]
['tmz', [26122, 26125]]
['tmz', [26321, 26324]]
['tmz', [26423, 26426]]
['tmz', [26443, 26446]]
['tmz', [26466, 26469]]
['tmz', [26578, 26581]]
['tmz', [26619, 26622]]
['tmz', [26791, 26794]]
['tmz', [27066, 27069]]
['tmz', [28189, 28192]]
['tmz', [28354, 28357]]
['tmz', [28542, 28545]]
['tmz', [28592, 28595]]
['tmz', [28611, 28614]]
['tmz', [29003, 29006]]
['tmz', [29014, 29017]]
['tmz', [29289, 29292]]
['tmz', [29493, 29496]]
['tmz', [29584, 29587]]
['tmz', [29594, 29597]]
['tmz', [29920, 29923]]
['tmz', [30099, 30102]]
['tmz', [30305, 30308]]
['tmz', [30413, 30416]]
['tmz', [30708, 30711]]
['tmz', [30715, 30718]]
['tmz', [31555, 31558]]
['tmz', [31584, 31587]]
['tmz', [32049, 32052]]
['tmz', [32119, 32122]]
['tmz', [32230, 32233]]
['tmz', [32308, 32311]]
['tmz', [32654, 32657]]
['tmz', [32765, 32768]]
['tmz', [32985, 32988]]
['tmz', [33563, 33566]]
['tmz', [34036, 34039]]
['tmz', [34196, 34199]]
['tmz', [34428, 34431]]
['tmz', [34519, 34522]]
['tmz', [34554, 34557]]
['tmz', [34567, 34570]]
['tmz', [34587, 34590]]
['tmz', [34631, 34634]]
['tmz', [34636, 34639]]
['tmz', [34701, 34704]]
['tmz', [34900, 34903]]
['tmz', [35002, 35005]]
['tmz', [35022, 35025]]
['tmz', [35045, 35048]]
['tmz', [35157, 35160]]
['tmz', [35198, 35201]]
['tmz', [35370, 35373]]
['tmz', [35637, 35640]]
['tmz', [36760, 36763]]
['tmz', [37060, 37063]]
['tmz', [38183, 38186]]
['tmz', [38349, 38352]]
['tmz', [38537, 38540]]
['tmz', [38587, 38590]]
['tmz', [38606, 38609]]
['tmz', [38998, 39001]]
['tmz', [39009, 39012]]
['tmz', [39284, 39287]]
['tmz', [39488, 39491]]
['tmz', [39579, 39582]]
['tmz', [39589, 39592]]
['tmz', [39718, 39721]]
['tmz', [39906, 39909]]
['tmz', [39956, 39959]]
['tmz', [39975, 39978]]
['tmz', [40367, 40370]]
['tmz', [40378, 40381]]
['tmz', [40653, 40656]]
['tmz', [40857, 40860]]
['tmz', [40948, 40951]]
['tmz', [40958, 40961]]
['tmz', [41285, 41288]]
['tmz', [41464, 41467]]
['tmz', [41670, 41673]]
['tmz', [41778, 41781]]
['tmz', [42073, 42076]]
['tmz', [42080, 42083]]
['tmz', [42920, 42923]]
['tmz', [42949, 42952]]
['tmz', [43414, 43417]]
['tmz', [43484, 43487]]
['tmz', [43595, 43598]]
['tmz', [43673, 43676]]
['tmz', [44019, 44022]]
['tmz', [44311, 44314]]
['tmz', [44490, 44493]]
['tmz', [44696, 44699]]
['tmz', [44804, 44807]]
['tmz', [45099, 45102]]
['tmz', [45106, 45109]]
['tmz', [45946, 45949]]
['tmz', [45975, 45978]]
['tmz', [46440, 46443]]
['tmz', [46510, 46513]]
['tmz', [46621, 46624]]
['tmz', [46699, 46702]]
['tmz', [47045, 47048]]
['tmz', [47157, 47160]]
['tmz', [47377, 47380]]
['tmz', [47955, 47958]]
['tmz', [48428, 48431]]
['tmz', [48560, 48563]]
['tmz', [48780, 48783]]
['tmz', [49358, 49361]]
['tmz', [49831, 49834]]
['tmz', [49992, 49995]]
['tmz', [50224, 50227]]
['tmz', [50315, 50318]]
['tmz', [50350, 50353]]
['tmz', [50363, 50366]]
['tmz', [50383, 50386]]
['tmz', [50427, 50430]]
['tmz', [50432, 50435]]
['tmz', [50497, 50500]]
['tmz', [50696, 50699]]
['tmz', [50798, 50801]]
['tmz', [50818, 50821]]
['tmz', [50841, 50844]]
['tmz', [50953, 50956]]
['tmz', [50994, 50997]]
['tmz', [51166, 51169]]
['tmz', [51346, 51349]]
['tmz', [51578, 51581]]
['tmz', [51669, 51672]]
['tmz', [51704, 51707]]
['tmz', [51717, 51720]]
['tmz', [51737, 51740]]
['tmz', [51781, 51784]]
['tmz', [51786, 51789]]
['tmz', [51851, 51854]]
['tmz', [52050, 52053]]
['tmz', [52152, 52155]]
['tmz', [52172, 52175]]
['tmz', [52195, 52198]]
['tmz', [52307, 52310]]
['tmz', [52348, 52351]]
['tmz', [52520, 52523]]
['tmz', [52642, 52645]]
['tmz', [52778, 52781]]
['tmz', [52869, 52872]]
['tmz', [53083, 53086]]
['tmz', [53177, 53180]]
['tmz', [53328, 53331]]
['tmz', [53388, 53391]]
['tmz', [53532, 53535]]
['tmz', [53731, 53734]]
['tmz', [54035, 54038]]
['tmz', [54213, 54216]]
['tmz', [54545, 54548]]
['tmz', [54772, 54775]]
['tmz', [54870, 54873]]
['tmz', [54964, 54967]]
['tmz', [55087, 55090]]
['tmz', [55140, 55143]]
['tmz', [55257, 55260]]
['tmz', [55327, 55330]]
['tmz', [55848, 55851]]
['tmz', [55923, 55926]]
['tmz', [56112, 56115]]
['tmz', [56132, 56135]]
['tmz', [56206, 56209]]
['tmz', [56303, 56306]]
['tmz', [56501, 56504]]
['tmz', [56672, 56675]]
['tmz', [56777, 56780]]
['tmz', [56912, 56915]]
['tmz', [56940, 56943]]
['tmz', [57065, 57068]]
['tmz', [57192, 57195]]
['tmz', [57235, 57238]]
['tmz', [57319, 57322]]
['tmz', [57904, 57907]]
['tmz', [58206, 58209]]
['tmz', [58290, 58293]]
['tmz', [58426, 58429]]
['tmz', [58517, 58520]]
['tmz', [58731, 58734]]
['tmz', [58825, 58828]]
['tmz', [58976, 58979]]
['tmz', [59036, 59039]]
['tmz', [59180, 59183]]
['tmz', [59379, 59382]]
['tmz', [59683, 59686]]
['tmz', [59861, 59864]]
['tmz', [60193, 60196]]
['tmz', [60420, 60423]]
['tmz', [60518, 60521]]
['tmz', [60612, 60615]]
['tmz', [60735, 60738]]
['tmz', [60788, 60791]]
['tmz', [60905, 60908]]
['tmz', [60975, 60978]]
['tmz', [61496, 61499]]
['tmz', [61571, 61574]]
['tmz', [61760, 61763]]
['tmz', [61780, 61783]]
['tmz', [61854, 61857]]
['tmz', [61951, 61954]]
['tmz', [62149, 62152]]
['tmz', [62320, 62323]]
['tmz', [62425, 62428]]
['tmz', [62560, 62563]]
['tmz', [62588, 62591]]
['tmz', [62713, 62716]]
['tmz', [62840, 62843]]
['tmz', [62883, 62886]]
['tmz', [62967, 62970]]
['tmz', [63552, 63555]]
['tmz', [63854, 63857]]
['tmz', [64662, 64665]]
['tmz', [64854, 64857]]
['tmz', [64899, 64902]]
['tmz', [64911, 64914]]
['tmz', [65574, 65577]]
['tmz', [65582, 65585]]
['tmz', [65633, 65636]]
['tmz', [66084, 66087]]
['tmz', [66215, 66218]]
['tmz', [66578, 66581]]
['tmz', [66693, 66696]]
['tmz', [66767, 66770]]
['tmz', [66792, 66795]]
['tmz', [66815, 66818]]
['tmz', [66828, 66831]]
['tmz', [66886, 66889]]
['tmz', [66915, 66918]]
