genia tagger: 2743['human', [28, 33]]
['human', [3480, 3485]]
['human', [5476, 5481]]
['human', [6138, 6143]]
['human', [8908, 8913]]
['human', [10907, 10912]]
['human', [11569, 11574]]
['angiosarcomas', [34, 47]]
['angiosarcomas', [92, 105]]
['vascular-specific', [619, 636]]
['receptor', [637, 645]]
['receptor', [13825, 13833]]
['receptor', [14280, 14288]]
['receptor', [14356, 14364]]
['receptor', [18659, 18667]]
['tyrosine', [646, 654]]
['tyrosine', [13716, 13724]]
['tyrosine', [13890, 13898]]
['tyrosine', [14012, 14020]]
['tyrosine', [17174, 17182]]
['tyrosine', [17342, 17350]]
['tyrosine', [17632, 17640]]
['tyrosine', [21449, 21457]]
['kinases', [655, 662]]
['tie1', [674, 678]]
['tie1', [13710, 13714]]
['kdr', [0, 3]]
['kdr', [681, 684]]
['kdr', [794, 797]]
['kdr', [811, 814]]
['kdr', [861, 864]]
['kdr', [1003, 1006]]
['kdr', [1122, 1125]]
['kdr', [4414, 4417]]
['kdr', [4664, 4667]]
['kdr', [4853, 4856]]
['kdr', [4917, 4920]]
['kdr', [5048, 5051]]
['kdr', [5253, 5256]]
['kdr', [5408, 5411]]
['kdr', [5482, 5485]]
['kdr', [5673, 5676]]
['kdr', [5698, 5701]]
['kdr', [5720, 5723]]
['kdr', [5957, 5960]]
['kdr', [6213, 6216]]
['kdr', [6391, 6394]]
['kdr', [6404, 6407]]
['kdr', [6429, 6432]]
['kdr', [6653, 6656]]
['kdr', [9844, 9847]]
['kdr', [10094, 10097]]
['kdr', [10283, 10286]]
['kdr', [10347, 10350]]
['kdr', [10478, 10481]]
['kdr', [10683, 10686]]
['kdr', [10839, 10842]]
['kdr', [10913, 10916]]
['kdr', [11104, 11107]]
['kdr', [11129, 11132]]
['kdr', [11151, 11154]]
['kdr', [11388, 11391]]
['kdr', [11644, 11647]]
['kdr', [11822, 11825]]
['kdr', [11835, 11838]]
['kdr', [11860, 11863]]
['kdr', [12084, 12087]]
['kdr', [13799, 13802]]
['kdr', [15608, 15611]]
['kdr', [15873, 15876]]
['kdr', [16021, 16024]]
['kdr', [16108, 16111]]
['kdr', [16246, 16249]]
['kdr', [16368, 16371]]
['kdr', [16425, 16428]]
['kdr', [16528, 16531]]
['kdr', [16585, 16588]]
['kdr', [16643, 16646]]
['kdr', [16697, 16700]]
['kdr', [17100, 17103]]
['kdr', [17186, 17189]]
['kdr', [17199, 17202]]
['kdr', [17386, 17389]]
['kdr', [17470, 17473]]
['kdr', [17624, 17627]]
['kdr', [17738, 17741]]
['kdr', [18004, 18007]]
['kdr', [18115, 18118]]
['kdr', [18234, 18237]]
['kdr', [18569, 18572]]
['kdr', [19529, 19532]]
['kdr', [19596, 19599]]
['kdr', [19626, 19629]]
['kdr', [19926, 19929]]
['kdr', [20063, 20066]]
['kdr', [20923, 20926]]
['kdr', [20953, 20956]]
['kdr', [21006, 21009]]
['kdr', [21199, 21202]]
['kdr', [21269, 21272]]
['kdr', [21305, 21308]]
['kdr', [21382, 21385]]
['kdr', [21395, 21398]]
['kdr', [21524, 21527]]
['kdr', [21600, 21603]]
['kdr', [21610, 21613]]
['kdr', [21634, 21637]]
['snrk', [687, 691]]
['snrk', [13851, 13855]]
['tek', [694, 697]]
['tek', [13880, 13883]]
['tek', [13886, 13889]]
['flt1', [704, 708]]
['flt1', [13994, 13998]]
['flt1', [15493, 15497]]
['breast', [910, 916]]
['breast', [1759, 1765]]
['breast', [7185, 7191]]
['breast', [14936, 14942]]
['breast', [14995, 15001]]
['breast', [15578, 15584]]
['breast', [15936, 15942]]
['breast', [16156, 16162]]
['breast', [16861, 16867]]
['breast', [19236, 19242]]
['breast', [19776, 19782]]
['breast', [19818, 19824]]
['breast', [20682, 20688]]
['breast', [20703, 20709]]
['breast', [20847, 20853]]
['breast', [20855, 20861]]
['breast', [20992, 20998]]
['breast', [21151, 21157]]
['anatomic', [204, 212]]
['anatomic', [917, 925]]
['anatomic', [1711, 1719]]
['anatomic', [7137, 7145]]
['anatomic', [14807, 14815]]
['anatomic', [15914, 15922]]
['anatomic', [19298, 19306]]
['anatomic', [19442, 19450]]
['anatomic', [19754, 19762]]
['anatomic', [20579, 20587]]
['site', [926, 930]]
['site', [5776, 5780]]
['site', [11207, 11211]]
['site', [16808, 16812]]
['site', [19307, 19311]]
['mutants', [1007, 1014]]
['mutants', [17474, 17481]]
['mutants', [17905, 17912]]
['mutants', [21782, 21789]]
