genia tagger: 0

spacy + metamap: 6734['chemoprevention', [0, 15]]
['chemoprevention', [1563, 1578]]
['chemoprevention', [1676, 1691]]
['chemoprevention', [2025, 2040]]
['chemoprevention', [2130, 2145]]
['chemoprevention', [3704, 3719]]
['chemoprevention', [14017, 14032]]
['chemoprevention', [16082, 16097]]
['chemoprevention', [21595, 21610]]
['chemoprevention', [23660, 23675]]
['chemoprevention', [30576, 30591]]
['chemoprevention', [31886, 31901]]
['chemoprevention', [33952, 33967]]
['chemoprevention', [36866, 36881]]
['chemoprevention', [42041, 42056]]
['chemoprevention', [43099, 43114]]
['chemoprevention', [43308, 43323]]
['chemoprevention', [44678, 44693]]
['chemoprevention', [44778, 44793]]
['chemoprevention', [45115, 45130]]
['chemoprevention', [45322, 45337]]
['chemoprevention', [46433, 46448]]
['chemoprevention', [47491, 47506]]
['chemoprevention', [47700, 47715]]
['chemoprevention', [49070, 49085]]
['chemoprevention', [49170, 49185]]
['chemoprevention', [49507, 49522]]
['chemoprevention', [49714, 49729]]
['tumorigenesis', [36, 49]]
['tumorigenesis', [484, 497]]
['tumorigenesis', [1593, 1606]]
['tumorigenesis', [3230, 3243]]
['tumorigenesis', [3630, 3643]]
['tumorigenesis', [11506, 11519]]
['tumorigenesis', [12127, 12140]]
['tumorigenesis', [12266, 12279]]
['tumorigenesis', [12499, 12512]]
['tumorigenesis', [12621, 12634]]
['tumorigenesis', [14042, 14055]]
['tumorigenesis', [14087, 14100]]
['tumorigenesis', [15525, 15538]]
['tumorigenesis', [19084, 19097]]
['tumorigenesis', [19705, 19718]]
['tumorigenesis', [19844, 19857]]
['tumorigenesis', [20077, 20090]]
['tumorigenesis', [20199, 20212]]
['tumorigenesis', [21620, 21633]]
['tumorigenesis', [21665, 21678]]
['tumorigenesis', [23103, 23116]]
['tumorigenesis', [26654, 26667]]
['tumorigenesis', [27275, 27288]]
['tumorigenesis', [27414, 27427]]
['tumorigenesis', [27647, 27660]]
['tumorigenesis', [27769, 27782]]
['tumorigenesis', [28064, 28077]]
['tumorigenesis', [28685, 28698]]
['tumorigenesis', [28824, 28837]]
['tumorigenesis', [29057, 29070]]
