genia tagger: 88['cyclin-dependent', [234, 250]]
['kinase', [251, 257]]
['cdkn2a', [273, 279]]
['cdkn2a', [439, 445]]
['cdkn2a', [496, 502]]
['cdkn2a', [603, 609]]
['cdkn2a', [794, 800]]
['cdkn2a', [1466, 1472]]
['cdkn2a', [1630, 1636]]
['cdkn2a', [2159, 2165]]
['cdkn2a', [2202, 2208]]
['cdkn2a', [2670, 2676]]
['cdkn2a', [2719, 2725]]
['cdkn2a', [2851, 2857]]
['cdkn2a', [2996, 3002]]
['cdkn2a', [4280, 4286]]
['cdkn2a', [4616, 4622]]
['cdkn2a', [5714, 5720]]
['cdkn2a', [5878, 5884]]
['cdkn2a', [6407, 6413]]
['cdkn2a', [6450, 6456]]
['cdkn2a', [6918, 6924]]
['cdkn2a', [6967, 6973]]
['cdkn2a', [7099, 7105]]
['cdkn2a', [7244, 7250]]
['cdkn2a', [8528, 8534]]
['cdkn2a', [8864, 8870]]
['cdkn2a', [9951, 9957]]
['cdkn2a', [10115, 10121]]
['cdkn2a', [10644, 10650]]
['cdkn2a', [10687, 10693]]
['cdkn2a', [11155, 11161]]
['cdkn2a', [11204, 11210]]
['cdkn2a', [11336, 11342]]
['cdkn2a', [11481, 11487]]
['cdkn2a', [12765, 12771]]
['cdkn2a', [13101, 13107]]
['cdkn2a', [14188, 14194]]
['cdkn2a', [14352, 14358]]
['cdkn2a', [14881, 14887]]
['cdkn2a', [14924, 14930]]
['cdkn2a', [15392, 15398]]
['cdkn2a', [15441, 15447]]
['cdkn2a', [15573, 15579]]
['cdkn2a', [15718, 15724]]
['cdkn2a', [17002, 17008]]
['cdkn2a', [17338, 17344]]
['cdkn2a', [18229, 18235]]
['cdkn2a', [18891, 18897]]
['having', [2564, 2570]]
['having', [6812, 6818]]
['having', [11049, 11055]]
['having', [15286, 15292]]
['multiple', [2571, 2579]]
['multiple', [2612, 2620]]
['multiple', [6819, 6827]]
['multiple', [6860, 6868]]
['multiple', [11056, 11064]]
['multiple', [11097, 11105]]
['multiple', [15293, 15301]]
['multiple', [15334, 15342]]
['family', [1063, 1069]]
['family', [2017, 2023]]
['family', [2580, 2586]]
['family', [3597, 3603]]
['family', [3791, 3797]]
['family', [5070, 5076]]
['family', [6265, 6271]]
['family', [6828, 6834]]
['family', [7845, 7851]]
['family', [8039, 8045]]
['family', [9318, 9324]]
['family', [10502, 10508]]
['family', [11065, 11071]]
['family', [12082, 12088]]
['family', [12276, 12282]]
['family', [13555, 13561]]
['family', [14739, 14745]]
['family', [15302, 15308]]
['family', [16319, 16325]]
['family', [16513, 16519]]
['family', [17792, 17798]]
['family', [18493, 18499]]
['family', [19155, 19161]]
['members', [2587, 2594]]
['members', [6835, 6842]]
['members', [11072, 11079]]
['members', [15309, 15316]]


spacy + metamap: 1687['selection criteria', [0, 18]]
['genetic assessment', [23, 41]]
['genetic assessment', [1283, 1301]]
['genetic assessment', [5531, 5549]]
['genetic assessment', [9768, 9786]]
['genetic assessment', [14005, 14023]]
['patients', [45, 53]]
['patients', [333, 341]]
['patients', [1252, 1260]]
['patients', [4339, 4347]]
['patients', [4769, 4777]]
['patients', [5500, 5508]]
['patients', [8587, 8595]]
['patients', [9017, 9025]]
['patients', [9737, 9745]]
['patients', [12824, 12832]]
['patients', [13254, 13262]]
['patients', [13974, 13982]]
['patients', [17061, 17069]]
['patients', [17491, 17499]]
['patients', [18685, 18693]]
['patients', [19347, 19355]]
['familial melanoma', [59, 76]]
['approximately', [77, 90]]
['10\\%', [97, 101]]
['melanoma', [68, 76]]
['melanoma', [104, 112]]
['melanoma', [158, 166]]
['melanoma', [557, 565]]
['melanoma', [730, 738]]
['melanoma', [859, 867]]
['melanoma', [912, 920]]
['melanoma', [965, 973]]
['melanoma', [1274, 1282]]
['melanoma', [1491, 1499]]
['melanoma', [2035, 2043]]
['melanoma', [2347, 2355]]
['melanoma', [2523, 2531]]
['melanoma', [2600, 2608]]
['melanoma', [2629, 2637]]
['melanoma', [2696, 2704]]
['melanoma', [2798, 2806]]
['melanoma', [2897, 2905]]
['melanoma', [2969, 2977]]
['melanoma', [3329, 3337]]
['melanoma', [3389, 3397]]
['melanoma', [3442, 3450]]
['melanoma', [3486, 3494]]
['melanoma', [3715, 3723]]
['melanoma', [3745, 3753]]
['melanoma', [4074, 4082]]
['melanoma', [4483, 4491]]
['melanoma', [5341, 5349]]
['melanoma', [5522, 5530]]
['melanoma', [5739, 5747]]
['melanoma', [6283, 6291]]
['melanoma', [6595, 6603]]
['melanoma', [6771, 6779]]
['melanoma', [6848, 6856]]
['melanoma', [6877, 6885]]
['melanoma', [6944, 6952]]
