genia tagger: 20275['cancer', [137, 143]]
['cancer', [756, 762]]
['cancer', [903, 909]]
['cancer', [1209, 1215]]
['cancer', [2548, 2554]]
['cancer', [6099, 6105]]
['cancer', [6828, 6834]]
['cancer', [7001, 7007]]
['cancer', [7501, 7507]]
['cancer', [14666, 14672]]
['cancer', [15395, 15401]]
['cancer', [15568, 15574]]
['cancer', [16068, 16074]]
['cancer', [24567, 24573]]
['cancer', [24814, 24820]]
['cancer', [24934, 24940]]
['cancer', [25291, 25297]]
['cancer', [25389, 25395]]
['cancer', [25732, 25738]]
['cancer', [26560, 26566]]
['cancer', [27797, 27803]]
['cancer', [28045, 28051]]
['cancer', [28337, 28343]]
['cancer', [30680, 30686]]
['cancer', [31682, 31688]]
['cancer', [32124, 32130]]
['cancer', [34864, 34870]]
['cancer', [35111, 35117]]
['cancer', [35231, 35237]]
['cancer', [35588, 35594]]
['cancer', [35686, 35692]]
['cancer', [36029, 36035]]
['cancer', [36857, 36863]]
['cancer', [38094, 38100]]
['cancer', [38342, 38348]]
['cancer', [38634, 38640]]
['cancer', [40977, 40983]]
['cancer', [41979, 41985]]
['cancer', [42421, 42427]]
['cancer', [45153, 45159]]
['cancer', [45400, 45406]]
['cancer', [45520, 45526]]
['cancer', [45877, 45883]]
['cancer', [45975, 45981]]
['cancer', [46318, 46324]]
['cancer', [48396, 48402]]
['cancer', [48643, 48649]]
['cancer', [48763, 48769]]
['cancer', [49120, 49126]]
['cancer', [49218, 49224]]
['cancer', [49561, 49567]]
['cancer', [50390, 50396]]
['cancer', [51627, 51633]]
['cancer', [51875, 51881]]
['cancer', [52167, 52173]]
['cancer', [52445, 52451]]
['cancer', [53682, 53688]]
['cancer', [53930, 53936]]
['cancer', [54222, 54228]]
['cancer', [56566, 56572]]
['cancer', [57568, 57574]]
['cancer', [58010, 58016]]
['cancer', [60413, 60419]]
['cancer', [61415, 61421]]
['cancer', [61857, 61863]]
['cancer', [65806, 65812]]
['cancer', [67236, 67242]]
['cancer', [70740, 70746]]
['cancer', [73665, 73671]]
['cancer', [76467, 76473]]
['cancer', [77897, 77903]]
['cancer', [81401, 81407]]
['cancer', [84326, 84332]]
['cells', [144, 149]]
['cells', [302, 307]]
['cells', [2011, 2016]]
['cells', [2664, 2669]]
['cells', [6013, 6018]]
['cells', [8238, 8243]]
['cells', [8835, 8840]]
['cells', [9296, 9301]]
['cells', [9663, 9668]]
['cells', [9990, 9995]]
['cells', [10108, 10113]]
['cells', [10219, 10224]]
['cells', [10479, 10484]]
['cells', [10660, 10665]]
['cells', [11206, 11211]]
['cells', [11327, 11332]]
['cells', [11837, 11842]]
['cells', [12091, 12096]]
['cells', [12209, 12214]]
['cells', [12570, 12575]]
['cells', [16807, 16812]]
['cells', [17404, 17409]]
['cells', [17866, 17871]]
['cells', [18233, 18238]]
['cells', [18560, 18565]]
['cells', [18679, 18684]]
['cells', [18790, 18795]]
['cells', [19050, 19055]]
['cells', [19231, 19236]]
['cells', [19777, 19782]]
['cells', [19898, 19903]]
