genia tagger: 1537['mpa', [591, 594]]
['mpa', [997, 1000]]
['mpa', [1123, 1126]]
['mpa', [1222, 1225]]
['mpa', [1520, 1523]]
['mpa', [1939, 1942]]
['mpa', [2048, 2051]]
['mpa', [2160, 2163]]
['mpa', [2166, 2169]]
['mpa', [2295, 2298]]
['mpa', [2489, 2492]]
['mpa', [3178, 3181]]
['mpa', [4318, 4321]]
['mpa', [8085, 8088]]
['mpa', [8686, 8689]]
['mpa', [11201, 11204]]
['mpa', [11245, 11248]]
['mpa', [11279, 11282]]
['mpa', [11444, 11447]]
['mpa', [12019, 12022]]
['mpa', [13378, 13381]]
['mpa', [17149, 17152]]
['mpa', [17750, 17753]]
['mpa', [20265, 20268]]
['mpa', [20309, 20312]]
['mpa', [20343, 20346]]
['mpa', [20508, 20511]]
['mpa', [21083, 21086]]
['mpa', [21688, 21691]]
['mpa', [21800, 21803]]
['mpa', [22382, 22385]]
['mpa', [22543, 22546]]
['mpa', [22846, 22849]]
['mpa', [22852, 22855]]
['mpa', [23171, 23174]]
['mpa', [23177, 23180]]
['mpa', [23337, 23340]]
['mpa', [23507, 23510]]
['mpa', [23550, 23553]]
['mpa', [23757, 23760]]
['mpa', [23990, 23993]]
['mpa', [24032, 24035]]
['mpa', [24626, 24629]]
['mpa', [25949, 25952]]
['mpa', [26227, 26230]]
['mpa', [26503, 26506]]
['mpa', [26991, 26994]]
['mpa', [27103, 27106]]
['mpa', [27685, 27688]]
['mpa', [27846, 27849]]
['mpa', [28149, 28152]]
['mpa', [28155, 28158]]
['mpa', [28474, 28477]]
['mpa', [28480, 28483]]
['mpa', [28640, 28643]]
['mpa', [28810, 28813]]
['mpa', [28853, 28856]]
['mpa', [29060, 29063]]
['mpa', [29293, 29296]]
['mpa', [29335, 29338]]
['mpa', [29929, 29932]]
['mpa', [31252, 31255]]
['mpa', [31530, 31533]]
['mpa', [31806, 31809]]
['mpa', [32141, 32144]]
['mpa', [32505, 32508]]
['mpa', [32616, 32619]]
['mpa', [32824, 32827]]
['mpa', [33673, 33676]]
['mpa', [33786, 33789]]
['mpa', [34353, 34356]]
